# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 3527cfd2-84e3-4900-97b5-b60899725b6f
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	0	0	0	0	0	27.930982901999815	41.39606930004132	47.60261268544998	47.03037964218657	33.13716109227241,20.507697616715284,31.030510139418034,35.88816058928837,27.97728092886531,13.402057895857238,34.744785247480586,34.219492525684224,28.55260340258983,26.93713212041696,27.14288529139339,14.109064277931132,31.60516635241683,15.437588547748065,33.135755291480294,18.19764340912987,19.620333064735078,28.571262716007496,28.177360365312893,24.610569964872415,26.010337394356878,26.573135001327717,29.915430223907485,32.83508610832004,16.536854398810796,32.15891367964432,24.394116166647986,29.80487068870947,21.44118463521847,28.450225350730694,18.014475455814555,24.661358984884878,23.589016546897398,41.39606930004132,29.460725167843822,31.837782469398068,31.795750798925962,32.51231727262194,31.17849153976765,30.72086379050258,34.81631537537491,30.955610308641972,22.03162277470042,24.727910715853934,30.899019898866502,33.30809464469744,29.233228129167447,33.048407146583465,22.151708249994613,29.610625438886018,29.622268786011247,22.34643025269837,25.659943007079136,26.739178677162688,24.497197184745424,28.414774438944207,29.079475524436578,29.70966169642798,34.88669057252471,37.924197990049464,33.78971667997043,23.010835857445617,28.47057001735862,26.469511227427006,17.981354462783422,24.721781038097113,32.46752885224435,23.077024900379293,21.032779301026096,27.44801547486115,30.89808138918758,25.80390569960678,35.577817588917796,14.412807247804636,23.094622594123994,22.24561141049459,29.497360938954518,35.146990703131266,10.455482600396673,33.89551849129099,25.578961642645393,28.371467029416955,34.82387957067264,35.70390445496333,24.771144025525473,33.61752277050938,21.553792786525996,28.427017063889434,15.62024279286131,25.10497433827755,31.009962875107597,38.754531800382864,30.63255891986536,26.223293837836803,24.176027144626886,35.66273779551508,23.279487111564084,28.420194261561097,33.64524108222622,27.930982901999815	0.9975653416775723	41.39606930004132	0	true	39
25	9	9	100	0	0	0	0	0	26.017079071468327	38.54192858954367	46.439509175084495	44.81537858744191	24.742965264245388,27.744563725650167,26.168163652285273,11.017487955039114,30.22919354424392,37.60113873030712,32.22938425602442,28.705282305170517,16.79825253404028,30.012363496814377,28.248772205009423,18.366909314630604,17.75837420125157,24.374332862283723,27.285661680749303,12.108788134837798,31.02188906869133,14.751322763946003,28.79133794466826,27.197339359482267,23.686915011172992,21.16923790812498,29.95587525782012,32.57308192201113,23.507646806040988,21.046332437851298,19.64960142003303,31.195139491097255,33.827467225969585,29.465651910099147,18.731362516887888,23.88053179425835,33.40603163844632,23.889802726908535,26.260535847749722,23.32703411125017,22.409961822425508,28.301443688487513,21.22272727510616,33.31152460396943,34.3561458512926,30.855604603903778,33.42307161513237,30.35204780022987,28.49673878114872,31.440129437519587,27.344667976347377,28.97815182075824,26.741770275369948,24.213300264120768,20.8665855946386,24.988375254497463,26.944252807988494,27.95357039923171,27.703620228006724,20.183467809673772,21.545059715505808,15.728181847806837,24.774618195359494,23.754461296826626,17.743030190282376,35.25714311273322,20.57781609386827,17.50404979285122,5.18690091026934,35.5290317392144,21.935282428099605,16.255680815409995,13.810601371636173,34.000353216690485,33.97427722399726,24.716656264468597,20.260549786846013,20.385952942938296,23.811031946684814,29.071448952032696,25.165924666552577,19.71268848109349,26.60812243674178,28.657396160124733,32.721253944042296,25.632858606349334,27.949965556824683,29.232285514153904,22.18770172166453,11.375932941682214,28.14483282082479,30.787309219552597,27.765940189121356,31.807427594759485,32.42728677520505,25.612057729515605,34.18897955089493,37.332200047791105,38.54192858954367,25.584921633606356,31.17648654835091,37.137214602362626,21.029100224681677,26.017079071468327	0.9975653416775723	38.54192858954367	0	true	3
26	9	9	100	0	0	0	0	0	24.602279045094743	39.22319726693718	46.809672236710085	46.60453002328835	21.628372272625455,23.78534614600799,26.7244370973506,29.326233610202138,30.30285410980506,39.14104955048874,25.464287343041338,25.032967166642887,20.98358044041451,31.303283457477004,26.907236688444986,27.625855381878335,-0.08384058286593543,34.13950219948271,14.1720167666972,14.63452130505079,19.205951506094486,18.975369311709088,34.789333625312715,23.83154873551724,37.984302947880806,24.219882763768414,25.078784823597996,23.460233896304903,30.236204852753104,22.981630291487605,14.918994822829859,32.235932884673545,36.958183335627886,28.124818960738654,25.7857979990608,25.945770959745328,27.80237008481745,30.408774218095534,28.707724989336317,24.321232373949133,25.689886863235074,33.939219777304146,24.760863017776977,37.91092844430178,24.221313215280713,28.06445396110428,30.678827472589287,26.808672706864737,32.12917453074736,35.133122140861786,27.692702363637814,20.760197316505135,36.346464167504045,29.578826877562772,26.895645305900434,29.971743472257703,26.096007501986477,39.22319726693718,33.323851586951854,25.845449375592914,23.923637158257723,27.114700797695846,35.32922770653285,32.12361921383072,25.707374336980862,23.311314749723337,27.02419407153433,25.301447300015294,33.216121868657304,22.329441145665637,24.456117139844892,18.636212962609303,30.928574843877783,33.507693128725975,22.81746000205961,21.79643636925374,26.95538253514827,16.051053336633373,30.19285768354814,30.351365209234174,20.95875680663915,24.924912069912303,34.07416091288712,21.109912772083103,21.956645608104726,27.37039563428097,19.702224859299264,12.675664829921397,32.3154585703468,29.82743428297842,25.618907115629785,30.913055355440072,35.18124937544046,30.57767317220558,31.491061445925652,31.985146494786846,24.06270436315265,30.906652165030877,29.790288214830806,27.290251338274754,23.966260103347437,24.81546634244228,26.996367671622977,24.602279045094743	0.9975653416775723	39.22319726693718	2	true	3
27	10	10	100	0	0	0	0	0	28.867770240673853	39.629719220937766	45.94331864974248	44.731119341935404	19.45538108536867,24.86403491091839,31.884595482261677,36.45302855055457,30.29859847202688,31.522096759057543,24.494675974489105,18.06898984645269,23.54614571061897,21.70468060089972,32.57098752569131,26.10725034721469,33.79071322403865,22.265940526789795,26.637583705994494,28.87254465101653,31.81938888097843,31.171146094820713,33.83587018536203,16.69742548554883,26.820758518618668,23.80328638906076,25.934472733084657,27.907584548885072,28.065910669894944,22.85511846254437,32.63988904498903,30.658461226371443,30.843347732047626,24.867418917743944,25.205808504911094,23.69821736859069,24.39392367353915,27.392456859138953,36.34822654051216,29.538273127923365,18.48938987199748,27.18402850750397,23.15158691622171,29.024498936125998,33.50328866178951,32.420500586382275,31.433189900103766,20.908980655582795,34.47210753413817,34.33825761811356,31.800010669331414,26.21891983671269,17.790348663420936,35.31293384353305,27.867891833318158,36.324136912296304,19.182238437408554,21.72982375766562,21.961532890519337,37.048838924005345,35.29761585346429,33.07007315568256,30.048109655366474,24.799797188783714,28.793422120808994,35.21667749482819,38.446703347905384,27.788063644761408,28.69468439131797,32.356229604066684,28.054464328162638,33.54922813536659,30.34153174992668,22.173632884572505,39.629719220937766,34.06176046700711,28.9989866935167,36.458421560646514,29.518899047896618,24.251290841979127,29.641585370806645,23.701600926519106,25.27174300892793,17.29580713610498,33.91754175976756,28.653043060110004,15.289040737816563,35.76370948164587,24.835901540327228,29.280015167680837,28.385855306982023,25.557705860886987,35.97208952800494,35.17974652666787,25.073391952607974,6.347794301068603,28.213060601066196,16.51574363873036,36.097630029752544,27.7254290546223,32.157744643372425,26.693072685800967,29.05308388338036,28.867770240673853	0.997262083184068	39.629719220937766	0	true	1
28	10	10	100	0	0	0	0	0	6.360641416782313	40.202411047344	52.12159408030037	52.16694182162395	20.32626126713501,23.50426201316118,23.35339128212746,7.662779300697077,34.542032354159815,17.05636590167444,27.28551081532542,32.21009773652545,26.23118926033687,5.591625087144562,25.500472489613262,24.058982065198826,23.194147064555327,29.5189444623718,32.6249121831802,25.049499478971843,34.77622145364981,35.21999009404122,11.5960142474078,21.728245605036857,23.58316915388737,4.244165331428775,23.233416377795244,31.15730949601047,26.70926412560635,31.693019478760046,28.189397597487616,20.161589683762195,40.202411047344,20.53342644868388,34.97929769950012,24.623661495139373,18.938697931008832,17.542160094554845,11.991839666706692,27.678086882655247,24.28592406441399,19.10345168974458,25.028361566017857,25.302133130962233,26.548090671066323,33.10136159238841,11.61585326961356,29.626295875370634,33.63574323920558,9.300577099954152,25.050687324881824,29.457724218682372,20.702279497176065,27.018079773268564,30.56392585704837,29.835201968740833,28.812770597950802,34.54854661170958,24.097491412818872,16.636661066627546,23.35220175115624,24.81910601044071,33.545325433675046,31.54269237769953,15.370156703605488,17.90649442947868,16.27780195849753,27.948022180124124,25.130289496180914,22.019297802307452,26.02976551772086,29.099977602719566,34.41277489140751,34.291446899827704,26.31556211934137,32.15024867677139,16.935068194422335,34.15893051220891,37.07542796214213,22.30203847772293,36.316873110917605,31.346113042294235,20.697678147521266,11.020626623749976,34.92042492027549,34.38717442765679,24.725175598764043,25.042441763523314,26.379419067626372,23.01901457837405,36.149493548236826,35.38897850276615,23.376749067720148,28.13781466258243,28.882973969000044,3.1808148027023133,27.138346273265316,24.35425175828055,18.706061764160125,36.986908628792776,27.98349764125337,24.56773771857526,32.45811133109418,6.360641416782313	0.9970015206790418	40.202411047344	1	true	3
29	12	12	100	0	0	0	0	0	31.158135631311595	36.990262896654556	53.121770483089136	51.58767287262594	20.226573879157087,20.873677383738514,32.673566865351205,20.448743800242067,27.565299203389973,10.425758266535428,30.700680364015373,34.53627457426364,25.555060155614743,30.04071912620803,24.54858568758552,30.871751240777755,34.93659424055738,16.363415357498052,11.209049483711889,21.515802694653896,30.76886788353461,19.250037383210696,25.292725474706184,17.755527248256882,33.654477574798065,31.71799648478678,24.551031617480145,26.680069111075756,12.631101955989015,28.208761187096215,28.61632883192784,28.821484451618236,16.66349365593206,26.761317005314282,34.48191715809669,8.776567656596105,29.611244378940082,30.24063543551489,18.6932930765835,22.052296227535233,28.708199840937652,29.130721543716646,36.990262896654556,20.753763032468846,20.942323434788,33.60935007152457,10.249801897949142,28.451554712554245,20.57428978593449,26.793763046542235,34.38591940431645,17.653278775381814,24.04043981562411,15.83617317259388,31.595821372064975,17.99702418033189,19.018930102040738,30.812044706405374,31.457666486642285,27.325631875133713,19.445135833605825,28.547089856494534,34.61336354596257,29.26952994647936,34.51800119328138,27.934870545754432,34.75563607217881,24.804231572776544,30.224184166544042,28.195794239264515,30.757748632124745,28.24665547056192,17.609063661608175,25.65543679789863,30.120829597459572,20.651480402265978,27.092865417266022,28.14582120115116,3.404604275725582,24.868330507245158,36.82646457829955,29.28286078921685,31.28203421965164,27.663805141263747,22.605924431647598,26.885838728454637,24.227567270642734,25.605101803954188,33.389317779650405,23.92053990035325,24.864848508959856,30.753544958633444,24.062122828538563,26.509577412509756,29.58515464412652,31.39552912055484,23.649018065092495,27.02056828753422,25.550989890947545,33.73404864341205,19.209200015278533,17.818988477369885,32.09090493222282,31.158135631311595	0.9966696763439367	36.990262896654556	2	true	3
30	13	13	100	0	0	0	0	0	14.194500806137192	40.12087730135292	51.37987183098012	52.629742307087064	13.297196162138503,29.793312175128886,34.34298428159596,31.832108190706506,27.453920494807225,31.36060590158575,19.358178283381545,19.755797066537276,33.764339860208445,32.71111038945901,36.92614359998751,24.11865911597163,26.87212878067825,34.3578727267444,22.51462804344733,32.41317260250533,38.20114302724958,21.01240408994882,30.63544014256224,20.015848290043177,30.931216609973653,15.914948486001945,11.073460150984767,27.092381132609226,27.73057010591739,31.86941975636053,30.014643119332824,27.40977714537968,33.628187967344424,23.606139248626356,22.19253745054586,37.96678772265866,17.51867257833694,29.609823476859763,25.070921988086962,35.90411604279488,25.068596664556704,24.778142267334744,23.36998143200953,19.244343700814454,21.47871939215808,38.99465604528023,36.52606321542625,31.456399854465744,33.42192330216149,17.141498535537142,33.676024165543566,14.527984224038605,22.9446120786747,24.554297574227594,34.587495958743965,10.946539188883168,28.971956730707976,26.62157869062987,32.527805459601936,24.08307882073807,35.34779491081657,30.339101791236793,27.94420759437205,35.83585839714006,29.403516468065803,26.356672351418585,28.330741855526405,26.270107121290305,29.304378562655117,21.707032166993425,27.542721319128166,39.45183585787162,27.1288878426968,9.90574145782051,27.81227582978986,26.3839450418605,36.93722124660189,21.36976078075302,17.69942548923032,30.16454242735361,40.12087730135292,34.8879295146184,28.051621396921625,19.918219127986855,20.51915481162861,23.729524931580876,17.975421163161272,30.374880507236828,24.25949951825933,27.05397577522246,10.808165129780834,16.22939913023423,27.818338607362936,22.25691819718505,15.484872749970053,30.3954577169252,35.77407802603161,21.591965639043813,29.29328557175557,26.219145037058656,35.170454867410804,26.664906739020164,28.52866614363538,14.194500806137192	0.9965839188191344	40.12087730135292	1	true	2
31	13	13	100	0	0	0	0	0	23.742300143007252	37.27890826873268	48.2594633837089	49.12478986081531	18.67311347744909,17.264630698227332,31.921242886528745,29.781022980506425,26.75488994327685,31.139419043166683,35.81326991644859,17.28262622477106,24.637134139951073,14.06558139919171,24.873290577618633,17.571159358848366,24.21393317867402,19.893333874653532,26.021813798999833,10.968177651884066,19.14247635370635,27.536779686472894,14.683127419076971,23.047084296661357,23.8071219245433,21.432065058216065,23.597092005361695,9.838398805805483,18.05194752551612,24.69117764928305,28.311862884220787,28.748880208327726,23.470997223736536,17.460941910705987,14.91925127599551,12.178490550811642,29.192659740877176,33.87138121772927,20.18700968533763,28.18234548832115,25.776344401282064,5.126635218271765,15.967304222236319,29.735029847267207,25.590550010940976,23.644166637193145,19.376149557074005,30.87487202739297,34.59841496166515,25.93974402813802,22.17655388476099,21.104295475952192,23.843252341180552,29.18324849565898,10.474177212398837,31.8516869992594,32.84324305195124,19.30558092136794,26.57918827554392,28.998496569707097,24.638340045269295,18.671724872338707,29.653779746897513,16.582112999533194,28.94592016521846,27.767934515771174,21.33179779967449,2.7712672136168024,24.564949479611773,26.288008636051014,22.435741460444774,25.534129418767073,25.61628085117656,27.79130103180453,29.589795203443582,26.451174672696244,26.134499872607403,29.54655802756697,21.19065876425865,22.46747538083466,28.700584312154305,15.582630152729891,28.836252876373347,13.015034933881566,16.84941494558516,30.061167900162452,29.481046613830507,24.863949785228307,17.363207392944947,34.1620889124249,37.27890826873268,29.395834260736045,2.3534989377508495,23.55207876836397,21.228207821342057,17.46211200976822,30.610543750754054,31.185707177800516,32.225724379827916,23.56083155277827,30.381947923778444,26.20784500177568,17.52343101504711,23.742300143007252	0.9960483181143581	37.27890826873268	1	true	2
32	13	13	100	0	0	0	0	0	18.880610798197495	33.3255019601568	44.90810639131418	47.52855617613972	18.168062196209686,30.599202736111536,20.289639999527953,9.771590284101253,21.214363868000152,10.223542803107001,23.471686205037216,18.442957595523893,14.11574133245913,19.27662686848471,29.008697997769335,27.698118046313823,24.91945838206078,18.122648742512705,17.231836737767047,32.47749808083382,24.621677870656725,16.05140343781151,28.717702057764612,20.01938454108666,7.917243236652306,20.857125596792763,17.420186896479294,9.445054070037486,22.584205322928383,28.696472738004378,18.001083107136125,12.053251584669376,3.2231254212329343,16.364197377221075,19.039488660909093,10.705347285231518,16.32771734338254,10.838821030064947,14.19042748995691,21.10432251417811,18.354637572938024,28.617160143731763,31.534458480352342,21.73708928716327,16.464683973059618,29.000216633865485,14.377746152195535,13.73256095825746,21.657827528342708,24.24236986634383,19.42888174725827,14.736381076512025,19.456525016122313,28.808267352168446,10.499679864482019,26.951025730652123,11.78673443471343,29.31726282644525,27.242265241483853,24.243317366673278,29.040490488131873,25.835100024194112,11.317363850999902,19.31485764385209,24.714969729756064,21.832997970426554,12.47270535153264,20.900896858361744,22.621725477291942,28.527497862422237,27.002771991581223,28.741487824010914,22.443165660374024,10.103417097123675,10.942998738395454,20.150003984454226,20.71082303275619,20.687986370570382,18.92511712490334,20.161277169282478,24.746179753172044,14.396701513472369,18.82596389706152,17.467275674255266,14.874161793236276,19.435093236867857,16.160102749861895,27.985607876283755,22.192514287564816,33.3255019601568,17.328824573244578,23.15880078953557,29.592893226749872,21.038168041604646,16.979518968097533,6.909570944561992,11.884605128872622,17.684741456778447,25.268025609446727,22.92029358649809,15.257325778357078,30.46190755223042,7.610400498811865,18.880610798197495	0.9955863021910939	33.3255019601568	0	true	1
33	15	15	100	0	0	0	0	0	21.005065945127143	35.245248723506506	47.2518282786414	46.22092607498208	19.2369355137767,24.741066615006122,15.586607495101317,15.08204533599515,21.757039650826304,26.808365160503083,13.878978571126577,18.058266467734033,17.52008211241307,13.775383723684794,20.355390526986668,29.395419471674035,16.982333446963334,11.089350700718295,11.662815801511162,10.496267751427538,26.355524475399076,29.249047781838634,12.274477578007957,20.70391431346635,16.586970413441147,12.620861135264452,18.95087875090696,10.034678800848447,23.588329871886856,18.15242235480066,20.7849835868913,20.159271936046014,21.990808277358717,12.111386285514076,11.03659167756572,15.872303912538648,15.658093464776492,15.19661534416202,12.177017274816915,23.90305958990521,17.494547320532682,0.4287153451969541,4.587754236683244,21.48082972516082,22.879128124538305,4.575511781819474,-1.3741062024739907,19.171768915216195,24.588247148475727,7.944815599798233,18.85752484471304,11.976086111530563,19.48613730152518,2.344397707105921,26.315142690627976,13.529433952420522,12.862009804966458,15.809288952743476,4.263933480461324,13.42657128796545,18.658965463424273,14.99541674113663,14.18773229471892,14.98534446106671,16.960749883716453,7.06073500973382,20.12052161423121,19.008723055838853,28.254607778908085,23.09259621180433,18.29386361138846,24.993241756027242,25.467271987994927,35.245248723506506,6.529970006314347,13.199640934621478,5.675855889755335,13.239673564294922,4.342772448437755,7.739287252855284,10.490872372135378,18.92944329318297,13.723277762355568,22.06854904348661,18.98956557193664,21.962407709631933,26.642930737961883,16.20819695514616,28.27011960287991,26.89879931795703,24.346908734840323,19.370116918555357,15.22500587334985,11.622763629708,7.866133065438856,28.12845481409074,18.342516824180546,25.161989209415175,10.052172551585226,24.593106156638356,14.386459387806896,22.124895930154086,14.987624307493615,21.005065945127143	0.9953466855776751	35.245248723506506	0	true	2
