# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0ba9632b-89c8-4482-808b-ef8df595dc70
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	192200	96624	772992	0	0	1.6669458958961427	1.6670782638027837	1.667073503877262	1.6670782638027837	1.6670782638027837,1.667073503877262,1.667073503877262,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427,1.6669458958961427	0.9991239280309399	1.6670782638027837	0	true	188
25	6	6	100	192400	97812	782496	0	0	1.8680092937452666	1.8681190956614067	1.868117264631847	1.8681190956614067	1.8681190956614067,1.868117264631847,1.868117264631847,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666,1.8680092937452666	0.9990443117099597	1.8681190956614067	0	true	86
26	6	6	100	192400	98208	785664	0	0	2.0491747440146377	2.0492671702481973	2.0492671702481973	2.0492671702481973	2.0492671702481973,2.0492671702481973,2.0492671702481973,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377	0.9990443117099597	2.0492671702481973	0	true	59
27	6	6	100	192400	98208	785664	0	0	2.2112634230485955	2.211340827920864	2.211340827920864	2.211340827920864	2.211340827920864,2.211340827920864,2.211340827920864,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955,2.2112634230485955	0.9990443117099597	2.211340827920864	0	true	58
28	6	6	100	192400	98208	785664	0	0	2.3601677602743822	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.3602281783234216,2.3602281783234216,2.3602281783234216,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822,2.3601677602743822	0.9990443117099597	2.3602281783234216	0	true	55
29	6	6	100	192400	98208	785664	0	0	2.493893657311238	2.4939390273058977	2.493938995428037	2.4939390273058977	2.4939390273058977,2.493938995428037,2.493938995428037,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238,2.493893657311238	0.9990443117099597	2.4939390273058977	0	true	61
30	6	6	100	192400	98208	785664	0	0	2.581332809375008	2.581366414144406	2.581366414144406	2.581366414144406	2.581366414144406,2.581366414144406,2.581366414144406,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008	0.99887542860485	2.581366414144406	0	true	54
31	6	6	100	192400	98208	785664	0	0	2.6868502818892686	2.68687202762418	2.68687202762418	2.68687202762418	2.68687202762418,2.68687202762418,2.68687202762418,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686,2.6868502818892686	0.99887542860485	2.68687202762418	0	true	53
32	7	7	100	192400	98208	785664	0	0	2.779226202883267	2.7792395906743352	2.7792393360220307	2.7792395906743352	2.7792395906743352,2.7792393360220307,2.7792393360220307,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267,2.779226202883267	0.9987036576717526	2.7792395906743352	0	true	51
33	7	7	100	192400	98604	788832	0	0	2.8546176442994406	2.8546176804276504	2.8546176442994406	2.8546176804276504	2.8546176804276504,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,-47.14539367694895,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406,2.8546176442994406	0.9986204224270916	2.8546176804276504	0	true	53
