# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: d357519d-a1c1-4003-8a1b-83a0980880dc
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	3	3	9	270	3078	24624	0	0	21.838193301545196	21.838193301545196	21.838193301545196	21.838193301545196	-2.2250129584015994,19.473764753848506,21.3015615727012,21.28834115741745,21.28834115741745,21.28834115741745,21.28834115741745,21.838193301545196,21.838193301545196	0.9985040319927475	21.838193301545196	9	false	15
24	3	3	6	180	2052	16416	0	0	21.513614812203222	21.513614812203222	21.513614812203222	21.513614812203222	15.640543619920924,19.169203273665666,19.96042997974883,20.99420971817161,21.513614812203222,21.513614812203222	0.9985040319927475	21.513614812203222	9	false	25
25	3	3	8	240	2736	21888	0	0	21.46354343674154	21.46354343674154	21.46354343674154	21.46354343674154	19.68174091288273,19.68174091288273,17.447887436882727,17.447887436882727,19.015549639878365,20.867517831211455,21.46354343674154,21.46354343674154	0.9985040319927475	21.46354343674154	9	false	10
26	3	3	6	180	2052	16416	0	0	22.580204173273593	22.580204173273593	22.580204173273593	22.580204173273593	20.997244067978812,20.997244067978812,20.997244067978812,22.013582399987428,22.580204173273593,22.580204173273593	0.9985040319927475	22.580204173273593	9	false	5
27	4	4	11	374	3762	30096	0	0	39.55589974454702	39.55589974454702	39.55589974454702	39.55589974454702	22.529176494654187,30.984089269954318,38.18542892258658,39.44369865085922,39.44369865085922,38.18532584319479,38.18532584319479,39.488363332146065,39.488363332146065,39.55589974454702,39.55589974454702	0.9982007734992433	39.55589974454702	5	false	2
28	4	4	10	340	3420	27360	0	0	39.831682829359764	39.831682829359764	39.831682829359764	39.831682829359764	28.161857822843785,33.10577023206406,38.49957405813886,39.716048950021445,39.716048950021445,39.716048950021445,39.716048950021445,39.716048950021445,39.831682829359764,39.831682829359764	0.9979812254626008	39.831682829359764	5	false	2
29	4	4	10	340	3420	27360	0	0	40.591107910172056	40.591107910172056	40.591107910172056	40.591107910172056	37.44483583191533,39.325508888701066,40.56320575393377,40.56320575393377,40.56320575393377,40.56320575393377,40.56320575393377,40.56320575393377,40.591107910172056,40.591107910172056	0.9979812254626008	40.591107910172056	5	false	7
30	4	4	15	510	5130	41040	0	0	41.301694106707814	41.301694106707814	41.301694106707814	41.301694106707814	31.675986269612466,31.675986269612466,36.70770751536534,36.599263489640336,39.248814305600014,39.248814305600014,39.248814305600014,39.248814305600014,41.269736372703434,41.269736372703434,41.269736372703434,41.269736372703434,41.269736372703434,41.301694106707814,41.301694106707814	0.9979812254626008	41.301694106707814	5	false	2
31	4	4	8	272	2736	21888	0	0	34.541196450740884	34.541196450740884	34.541196450740884	34.541196450740884	33.487568808797796,33.52954264861887,33.52954264861887,33.52954264861887,33.52954264861887,33.52954264861887,34.541196450740884,34.541196450740884	0.9976217457102962	34.541196450740884	6	false	1
32	4	4	12	408	4104	32832	0	0	32.02608345646722	32.02608345646722	32.02608345646722	32.02608345646722	18.89045259859781,18.89045259859781,23.508336203281914,23.508336203281914,29.079795375744393,30.97973733644894,25.494783550237834,29.188424582934793,31.02041113203603,31.02041113203603,32.02608345646722,32.02608345646722	0.9974347679867818	32.02608345646722	6	false	2
