# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ca77db6a-d2f7-424a-989f-bf6f744f977c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	191400	96228	769824	0	0	1.6969973227043929	1.6971398258449502	1.697132711725244	1.6971398258449502	1.6971398258449502,1.697132711725244,1.697132711725244,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929,1.6969973227043929	0.9991239280309399	1.6971398258449502	0	true	235
25	6	6	100	191600	97812	782496	0	0	1.9165188631124557	1.916640834127667	1.9166377497189409	1.916640834127667	1.916640834127667,1.9166377497189409,1.9166377497189409,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557,1.9165188631124557	0.9990443117099597	1.916640834127667	0	true	89
26	6	6	100	191600	97812	782496	0	0	2.110610768090232	2.1107135182512864	2.110713004825294	2.1107135182512864	2.1107135182512864,2.110713004825294,2.110713004825294,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232,2.110610768090232	0.9990443117099597	2.1107135182512864	0	true	202
27	6	6	100	191600	97812	782496	0	0	2.243821548281852	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295,2.2439078341090295,2.2439078341090295,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852,2.243821548281852	0.9990443117099597	2.2439078341090295	0	true	103
28	6	6	100	191600	97812	782496	0	0	2.404950154908863	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284,2.405021444597284,2.405021444597284,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863,2.404950154908863	0.9990443117099597	2.405021444597284	0	true	60
29	6	6	100	191600	97812	782496	0	0	2.5458751547636647	2.545931671342405	2.545931671342405	2.545931671342405	2.545931671342405,2.545931671342405,2.545931671342405,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647,2.5458751547636647	0.9990443117099597	2.545931671342405	0	true	53
30	6	6	100	191600	97812	782496	0	0	2.6698163126351333	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246,2.6698602317609246,2.6698602317609246,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333,2.6698163126351333	0.99887542860485	2.6698602317609246	0	true	79
31	6	6	100	191600	97812	782496	0	0	2.7724036690451537	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724368099423553,2.7724368099423553,2.7724368099423553,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537,2.7724036690451537	0.99887542860485	2.7724368099423553	0	true	70
32	7	7	100	191600	97812	782496	0	0	2.857611671247207	2.857635323496357	2.8576350855871278	2.857635323496357	2.857635323496357,2.8576350855871278,2.8576350855871278,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207,2.857611671247207	0.9987036576717526	2.857635323496357	0	true	66
33	7	7	100	191600	98208	785664	0	0	2.921229176870797	2.9212441466051633	2.921243821010684	2.9212441466051633	2.9212441466051633,2.921243821010684,2.921243821010684,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797,2.921229176870797	0.9986204224270916	2.9212441466051633	0	true	86
