# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 703ce4ed-65c1-4144-97b8-4984e327fd61
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	483	2	16	0	0	1.6277744219805281	1.6277744219805281	1.6277744219805281	1.6277744219805281	1.6277744219805281	0.9991239280309399	1.6277744219805281	0	true	7
25	6	6	3	1449	6	48	0	0	1.8348097669688488	1.8348097669688488	1.8348097669688488	1.8348097669688488	1.8285571602129207,1.8348097669688488,1.8348097669688488	0.9990443117099597	1.8348097669688488	0	true	2
26	6	6	1	483	2	16	0	0	2.02321536926044	2.02321536926044	2.02321536926044	2.02321536926044	2.02321536926044	0.9990443117099597	2.02321536926044	0	true	2
27	6	6	1	483	2	16	0	0	2.1835947670352205	2.1835947670352205	2.1835947670352205	2.1835947670352205	2.1835947670352205	0.9990443117099597	2.1835947670352205	0	true	2
28	6	6	3	1449	6	48	0	0	2.337874443713048	2.337874443713048	2.337874443713048	2.337874443713048	2.337874191045338,2.337874443713048,2.337874443713048	0.9990443117099597	2.337874443713048	0	true	1
29	6	6	23	11109	46	368	0	0	2.476191883002012	2.476191883002012	2.476191883002012	2.476191883002012	2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476190196437272,2.476191883002012,2.476191883002012	0.9990443117099597	2.476191883002012	0	true	4
30	6	6	12	5796	24	192	0	0	2.5961292700607195	2.5961292700607195	2.5961292700607195	2.5961292700607195	2.5961276669382913,2.5961276669382913,2.5961276669382913,2.5961276669382913,2.5961276669382913,2.5961276669382913,2.5961276669382913,2.5961276669382913,2.5961276669382913,2.5961276669382913,2.5961292700607195,2.5961292700607195	0.99887542860485	2.5961292700607195	0	true	1
31	6	6	5	2415	10	80	0	0	2.6970792543885165	2.6970792543885165	2.6970792543885165	2.6970792543885165	2.6970785349031363,2.6970785349031363,2.6970785349031363,2.6970792543885165,2.6970792543885165	0.99887542860485	2.6970792543885165	0	true	1
32	7	7	27	13041	54	432	0	0	2.7895432265729165	2.7895432265729165	2.7895432265729165	2.7895432265729165	2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895425285530298,2.7895432265729165,2.7895432265729165	0.9987036576717526	2.7895432265729165	0	true	2
33	7	7	1	483	2	16	0	0	2.863192946214296	2.863192946214296	2.863192946214296	2.863192946214296	2.863192946214296	0.9986204224270916	2.863192946214296	0	true	0
34	8	8	3	1449	6	48	0	0	2.9245363140796607	2.9245363140796607	2.9245363140796607	2.9245363140796607	-47.07546355480689,2.9245363140796607,2.9245363140796607	0.9984128643598162	2.9245363140796607	0	true	1
