# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 985abe37-1386-4fed-a981-5d2cae8552c4
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	68800	668844	5350752	0	0	-2313.228599423268	-1773.434696877944	-154.44293531120826	-148.2788238302627	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2087.795839103581,-2087.795839103581,-2087.795839103581,-2087.7958418303306,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958480813836,-2087.7958539793635,-2087.7958539793635,-2087.7958539793635,-2087.795884051759,-2087.795884051759,-2087.795895655514,-2087.795895655514,-2087.795906184567,-2087.79591019819,-2087.795951011787,-2087.795951011787,-2087.795951011787,-1787.7960508544015,-1787.7960508544015,-1787.7960508544015,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1783.3644279196142,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1774.8985459448877,-1775.065221062335,-1776.584913745238,-1776.584913745238,-1773.434696877944,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1981.3470139386673,-2086.8497210774685,-2086.8497210774685,-2086.8497210774685,-2088.2784829636234,-2107.141827375595,-2115.0307694176977,-2115.0307694176977,-2313.228599423268,-2313.228599423268	0.9977516614149626	-1773.434696877944	13	false	719
24	13	13	100	78200	687060	5496480	0	0	-2429.625535492301	-1481.3918200625842	-151.09773931625207	-73.35247515667581	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2111.757929182047,-2111.757946446897,-1511.7579526530612,-1511.7579526530612,-1511.7579556107457,-1511.7579612052718,-1511.757963675907,-1511.757963675907,-1511.757963675907,-1511.7579681642887,-1511.7579787408595,-1511.7579787408595,-1511.7579787408595,-1511.7579787408595,-1511.7579787408595,-2111.75799560088,-2111.75799560088,-2111.75799537193,-2111.758052776898,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580738085385,-2111.7580738085385,-2111.7580738085385,-2111.7580738085385,-2111.7580738085385,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581220477796,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.7581440440454,-2111.7581440440454,-2111.7581440440454,-2111.7581440440454,-2111.7581440440454,-2111.7581440440454,-2111.7581477541603,-2111.7581477541603,-2111.7581477541603,-2111.7581477541603,-1505.8436013367964,-1505.8436013367964,-1500.3252107829098,-1500.3252107829098,-1485.8254068678066,-1485.8254068678066,-1481.3918200625842,-1482.749696640362,-1482.749696640362,-1482.749696640362,-1482.749696640362,-1581.467612437751,-1681.553396326353,-1783.0038317627407,-1783.0038521575643,-1783.0038521575643,-1783.0038521575643,-1774.557539835855,-1773.3854321672814,-1767.4592105991212,-1767.4591940134546,-2372.074660889278,-2373.4318263225578,-2373.431836808828,-2375.6302244588755,-2399.0309131784884,-2405.4443383155,-2405.4443383155,-2405.480587617962,-2429.328461129795,-2433.950522348479,-2433.914273046016,-2429.625535492301	0.9975615034251832	-1481.3918200625842	15	true	526
25	15	15	100	72600	726660	5813280	0	0	-1530.7326950828487	-890.3041563857953	-4.540648881402848	-2.320174826152675	-2091.8961413962115,-2091.8961413962115,-1791.896152715782,-1791.896152715782,-1791.8961536497068,-1491.8961569755013,-1491.8961720638774,-1491.8961720638774,-1491.896185661106,-1491.896185661106,-1491.896185661106,-1491.8961868823242,-1491.8961871946597,-1491.8961871946597,-1490.1649520145413,-1490.3039988934052,-1490.3039988934052,-1490.3039988934052,-1490.3039988934052,-1490.3040000538774,-1490.3040000538774,-1490.3040000538774,-1490.3040043904214,-1490.3040043904214,-1490.3040590073385,-1490.3040590073385,-1490.304062620063,-1490.304062620063,-1490.304062620063,-1490.304062620063,-1490.304062620063,-1490.304062620063,-1490.304062620063,-1490.304062620063,-1490.304062620063,-1490.304096779645,-1490.304096779645,-1490.304096779645,-1490.3041036134646,-1490.3041036134646,-1490.304125157437,-1490.3041346152659,-1490.3041346152659,-1490.3041399342833,-1490.3041462147728,-1490.3041462147728,-1490.3041462147728,-1490.3041462147728,-1490.3041462147728,-1490.3041462147728,-1490.3041497304866,-1490.3041497304866,-1490.3041497304866,-1490.3041497304866,-1490.3041497304866,-1490.3041497304866,-1490.3041497304866,-1490.3041497304866,-1490.3041497304866,-1490.3041547342007,-1490.3041547342007,-1490.3041547342007,-1490.3041547342007,-1490.3041547342007,-1490.3041547342007,-890.3041563857953,-890.3041563857953,-890.3041563857953,-890.3041563857953,-890.3041563857953,-890.3041563857953,-890.3041563857953,-1085.3968679434925,-1085.3968679434925,-1188.7375434911864,-1188.737591842786,-1188.737591842786,-1188.737591842786,-1188.737591842786,-1176.3568597776186,-1176.3568597776186,-1171.7406929639258,-1171.7406929639258,-1176.3568597776186,-1175.3185351781246,-1178.688290286475,-1178.6883133946076,-1178.6883133946076,-1182.6292615764298,-1188.9211440105096,-1291.1880930210787,-1501.8727307534318,-1603.381193817477,-1705.931567605391,-1809.6579048619824,-1530.7326950828487,-1530.7326950828487,-1530.7326950828487,-1530.7326950828487,-1530.7326950828487	0.9966306358339244	-890.3041563857953	15	true	356
26	15	15	100	74000	723492	5787936	0	0	-2199.599845145435	-1488.8045081060557	-103.73275846618893	-48.51389559749218	-1488.8045081060557,-1488.8045081060557,-1488.8045405460923,-1488.8045414310143,-1490.634675500175,-1490.6346971978323,-1490.6347008234925,-1490.6347008234925,-1490.6347008234925,-1790.634701663259,-1790.634701663259,-1790.634701663259,-1790.634701663259,-1788.9615577288903,-1788.9615769253521,-1788.9615769253521,-1788.9615769253521,-1788.9615769253521,-1788.9615769253521,-1788.9615769253521,-1788.9615971476014,-1788.9616153934357,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.961679548862,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9617374974223,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1788.9618253961994,-1783.4395701791248,-1783.4395701791248,-1780.370149773648,-1780.370149773648,-1780.370149773648,-1780.370149773648,-1780.370149773648,-1780.370149773648,-1780.370149773648,-1780.370149773648,-1780.370149773648,-2065.425961209331,-2066.5208774472285,-2066.5208774472285,-2066.5208774472285,-2066.5208774472285,-2066.5208774472285,-2068.8053752291644,-2068.8053752291644,-2087.696318849198,-2087.696318849198,-2087.696318849198,-2087.696318849198,-2087.696318849198,-2190.0268642151345,-2196.15708920514,-2204.9173233026027,-2204.9173233026027,-2204.9173233026027,-2204.9173233026027,-2098.18394042834,-1991.8069817397432,-2199.599845145435	0.9960817657423182	-1488.8045081060557	16	true	430
27	15	15	100	78000	711216	5689728	0	0	-1798.3875285197591	-1470.8663051174356	-42.25241793861809	-40.853546001962414	-Infinity,-Infinity,-1772.6202796197056,-1772.6202848593034,-1772.6202883305666,-1772.6202883305666,-1772.620302092413,-1772.620302092413,-1772.6203229540758,-1772.6203430145151,-1770.781805966509,-1770.86621757117,-1770.8662347776103,-1770.8662347776103,-1770.8662347776103,-1770.8662347776103,-1770.8662347776103,-1770.8662347776103,-1770.866251395524,-1470.8663051174356,-1470.8663051174356,-1470.8663051174356,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866324706885,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1770.866273791421,-1765.8547779181993,-1771.0889117785453,-1771.0889117785453,-1771.0889117785453,-1771.0889117785453,-1771.0889117785453,-1471.0889095203643,-1471.0889095203643,-1471.0889095203643,-1789.009849397602,-1789.009849397602,-1789.009849397602,-1789.009849397602,-1789.009849397602,-1789.009849397602,-1787.732210078506,-1797.6636556034298,-1797.6636556034298,-1797.6636556034298,-1793.0563144834077,-1787.7682652265612,-1787.7682652265612,-1786.427457268534,-1790.8729667648008,-1790.8729667648008,-1792.7323741781072,-1793.3066734977283,-1793.3066734977283,-1798.3875285197591,-1798.3875285197591	0.9960817657423182	-1470.8663051174356	12	true	326
28	15	15	100	70800	707256	5658048	0	0	-1498.673040638945	-1095.1145884169198	-190.3183380220129	0.3815566839288387	-1476.1215075348553,-1476.1215075348553,-1776.1215916513759,-1776.1215916513759,-1776.121613178307,-1776.1216163493061,-1776.1216163493061,-1776.1216297587764,-1776.1216297587764,-1776.1216592131943,-1776.1216700662915,-1776.1216700662915,-1774.440080765405,-1774.4400868020277,-1774.44009026536,-1774.440159163158,-1774.4401981235908,-1774.4401981235908,-1774.4402759073284,-1774.4402759073284,-1774.4402952574849,-1774.4402952574849,-1774.4402952574849,-1774.4402952574849,-1774.4402952574849,-1774.4402952574849,-1774.4402952574849,-1774.4402952574849,-1774.4402952574849,-1774.4402952574849,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440301338428,-1774.440358740669,-1774.440358740669,-1774.440358740669,-1774.440358740669,-1774.440358740669,-1774.440358740669,-1774.440358740669,-1774.440358740669,-1774.440358740669,-1774.440313973709,-1774.440313973709,-1774.440313973709,-1774.440313973709,-1774.440313973709,-1774.440313973709,-1774.440413767186,-1774.440413767186,-1774.440413767186,-1774.440413767186,-1774.440413767186,-1774.440413767186,-1774.440413767186,-1774.440413767186,-1771.1632789765167,-1771.1632789765167,-1771.1632789765167,-1771.1632789765167,-1771.1632789765167,-1762.8015967155402,-1763.584571225716,-1771.370331659007,-1771.370331659007,-1771.370331659007,-1771.370331659007,-1771.370331659007,-1771.370331659007,-1975.1631292262869,-1975.1631292262869,-1975.1631292262869,-1995.114583114889,-1995.114583114889,-1995.114583114889,-1995.114583114889,-1995.114583114889,-1695.1145824797918,-1095.1145884169198,-1095.1157740894919,-1695.1157876504449,-1695.1146019778726,-1695.1146019778726,-1695.1146019778726,-1699.4106209496,-1699.4106209496,-1601.1342607060387,-1601.1342607060387,-1498.673040638945,-1498.673040638945,-1498.673040638945	0.9960817657423182	-1095.1145884169198	15	true	332
29	15	15	100	74000	696564	5572512	0	0	-1700.6257051392226	-581.1158074491399	-55.09904534407502	54.79605768290689	-581.1158074491399,-581.1158074491399,-1081.1158358024477,-1081.1160186270126,-1081.1160271912754,-1081.1160271912754,-1081.1160271912754,-1081.1160300366587,-781.1160333075695,-781.1160333075695,-781.1160474671078,-779.5153725629464,-779.5153725629464,-779.5153725629464,-1079.5153827403583,-1079.5155094169181,-1079.5155094169181,-1079.5155094169181,-1079.5155094169181,-1079.515493454006,-1079.5155443914223,-1079.5155443914223,-1079.5155443914223,-1079.5155443914223,-1079.5155443914223,-1079.5155443914223,-1079.5155443914223,-1079.5155443914223,-1079.5155443914223,-1079.5155457487913,-1079.5155457487913,-1079.5155457487913,-1079.5155457487913,-1079.5155457487913,-1079.5155457487913,-1479.2198729525276,-1583.2537640963442,-1583.2537640963442,-1583.2537640963442,-1583.2537640963442,-1583.2537640963442,-1583.2537797498649,-1583.2537884828434,-1583.2538661157719,-1583.2538661157719,-1583.2538661157719,-1583.2538661157719,-1283.2538898702464,-1283.2538898702464,-1583.253916758119,-1583.253916758119,-1583.2538793430617,-1575.5671171810686,-1575.5671171810686,-1574.8412267255223,-1574.8412267255223,-1671.603162033802,-1671.603162033802,-1772.5820433825984,-1772.5820433825984,-1774.480234463513,-1774.480234463513,-1774.480234463513,-1769.8635860050667,-1765.831717276477,-1765.831717276477,-1765.831717276477,-1765.831717276477,-1765.831717276477,-1765.831717276477,-1768.9636104008355,-1768.9636104008355,-1785.8356066145743,-1785.8356066145743,-1890.147808247662,-1901.5096030895138,-1901.5096030895138,-1901.5096030895138,-1909.0125908491145,-1909.0125908491145,-1900.664669734549,-1900.664669734549,-2008.1614468470054,-2008.1614468470054,-2008.1614468470054,-1698.5714648665216,-1699.8482252657334,-1708.4967424527692,-1708.4967424527692,-1708.4967424527692,-1708.4967424527692,-1708.4967424527692,-1708.4967424527692,-1708.4967424527692,-1708.4967424527692,-1700.625781855188,-1700.625781855188,-1700.625781855188,-1700.625781855188,-1700.6257051392226	0.9960817657423182	-581.1158074491399	13	true	330
30	15	15	100	68600	677160	5417280	0	0	-2506.8268780947205	-500.72802487490753	-64.29997350345366	0.8279870937943663	-500.72802487490753,-500.72802487490753,-800.728189495289,-800.7281910985979,-800.7282001728713,-800.7282001728713,-805.037947105583,-805.037947105583,-805.037947105583,-805.0379591321887,-803.5197918001634,-803.5198076329311,-803.5198076329311,-803.5198076329311,-803.5198076329311,-803.5198076329311,-803.5198117348068,-803.5198124522728,-803.5198124522728,-803.5198386248264,-803.5198386248264,-803.5198386248264,-803.5198640196484,-803.5198754679418,-803.5198754679418,-803.5198887748609,-803.5198887748609,-803.5198887748609,-803.5199381589703,-803.5199381589703,-803.5199381589703,-803.5199381589703,-803.519938233489,-810.8678313987886,-810.8678313987886,-1206.4332103553945,-1210.0846504996525,-1210.0846504996525,-1210.0846504996525,-1391.293569346594,-1391.293569346594,-1486.7577419752938,-1486.7577419752938,-1486.7577419752938,-1486.7577419752938,-1486.7577419752938,-1477.355061185615,-1477.355061185615,-1475.3406926226337,-1473.5764086092447,-1473.5764086092447,-1473.5764086092447,-1473.5764086092447,-1473.5764086092447,-1676.7460586149848,-1676.7460586149848,-1676.7460586149848,-1676.7460586149848,-1676.7460586149848,-1780.0871542747566,-1780.0871542747566,-1780.0871542747566,-1879.823622031966,-2198.5657401972776,-2302.8420904835093,-2302.8420904835093,-2302.8420904835093,-2302.8420904835093,-2410.581982913535,-2523.8563596926174,-2523.8563596926174,-2632.9853208267505,-2632.9853208267505,-2632.9853208267505,-2632.9853208267505,-2632.9853208267505,-2632.9852753749597,-2632.9852251957514,-2742.4066071033726,-2737.121984094261,-2742.394698574719,-2742.394698574719,-2632.9733166670976,-2632.9733166670976,-2632.9733166670976,-2632.973309449763,-2632.973309449763,-2632.973309449763,-2523.8443483156298,-2523.8443483156298,-2523.8443483156298,-2519.0364446352487,-2519.0364446352487,-2515.0920520474842,-2515.0920520474842,-2506.8268903950952,-2506.826880609067,-2506.826880609067,-2506.826880609067,-2506.8268780947205	0.9959128826372083	-500.72802487490753	15	true	366
31	15	15	100	66400	658548	5268384	0	0	-2325.2718859343076	-9.112552514913938	-32.997045836236694	39.82497055563799	-316.2351971753972,-316.2351971753972,-316.23530319558625,-316.23531218882886,-310.5634985815096,-310.5635430139243,-310.56354481005764,-310.56354481005764,-309.1122849198401,-309.11228677394064,-309.11229786397274,-309.11229786397274,-309.11230864867156,-309.11230864867156,-309.11230864867156,-309.11230857501863,-309.11230857501863,-309.11230857501863,-309.11236397874103,-309.11236397874103,-309.11243780057004,-309.11243780057004,-309.11243780057004,-309.11243780057004,-309.11243780057004,-309.11248096795765,-309.11248096795765,-309.1125099354169,-309.1125099354169,-309.11252356419317,-309.11252356419317,-309.11252470930657,-9.112552514913938,-309.11258484513,-309.11258484513,-309.1125416777425,-500.6428206293281,-500.6428206293281,-598.2928713530421,-598.2928713530421,-696.9627248329231,-696.9627248329231,-696.9627248329231,-902.2311620344245,-1209.8372755308503,-1312.2194616569748,-1420.4514704284752,-1420.4514704284752,-1529.0143894557552,-1529.0143894557552,-1529.0143894557552,-1529.0143883106418,-1529.0143883106418,-1529.0143883106418,-1529.0143883106418,-1529.0143883106418,-1529.0143883106418,-1529.0143883106418,-1529.0143883106418,-1521.3552631996276,-1515.9495877737022,-1610.6551493452575,-1705.8590447786373,-1705.8590447786373,-1705.8590447786373,-1705.8590447786373,-1705.8590447786373,-1705.8590447786373,-1803.7383372955235,-1803.7383372955235,-1803.7383372955235,-1797.0584312020505,-1797.0584060554215,-1797.0584060554215,-1797.0584060554215,-1794.0928265445486,-1795.2956313938505,-1797.2792247248412,-1797.2791753114343,-1804.0711620687734,-1804.0711620687734,-1809.5396142248946,-1809.5396142248946,-1809.5395932274478,-1817.296499721486,-1817.296499721486,-1925.278380030946,-1925.278380030946,-1925.278380030946,-2119.9958822814574,-2325.2718859343076,-2325.2718859343076,-2325.2718859343076,-2325.2718859343076,-2325.2718859343076,-2325.2718859343076,-2325.2718859343076,-2325.2718859343076,-2325.2718859343076,-2325.2718859343076	0.9957029850637148	-9.112552514913938	16	true	282
32	16	16	100	67600	670824	5366592	0	0	-2125.1761307249367	-29.99828688651632	-22.892274958445938	49.50635271374279	-Infinity,-Infinity,-335.9706901479692,-335.9706927227654,-331.4414071119548,-331.4414071119548,-331.4414219602367,-331.44142423085435,-329.9980899414156,-329.9980925206882,-329.99811670359696,-329.9981245606025,-329.9981245606025,-329.9981245606025,-329.9981464276674,-329.9981651450059,-329.9981907762165,-329.9981907762165,-329.9981907762165,-329.9981907762165,-329.9981907762165,-329.9981907762165,-329.9981907762165,-329.9981907762165,-329.9981907762165,-329.9981907762165,-329.9982496789629,-329.99824935474317,-329.99824935474317,-29.99828688651632,-329.9983169115134,-329.9983169115134,-329.9984208732995,-329.9984208732995,-329.9984208732995,-329.9984208732995,-421.78073517131935,-518.4526340923056,-518.4526340923056,-518.4526340923056,-914.7175809266425,-1218.6486740777184,-1218.6486740777184,-1321.5275327203285,-1321.5275327203285,-1321.5275327203285,-1321.5275327203285,-1741.7147847346732,-1741.7147847346732,-1741.7147847346732,-1741.7147847346732,-1741.7147847346732,-1741.7147847346732,-1741.7147847346732,-1730.5328477544888,-1723.6469638540145,-1723.6469638540145,-1719.7696403421503,-1719.7696403421503,-1917.3043877856378,-1917.3043877856378,-2019.1238361089518,-2019.123841824406,-2019.123841824406,-2019.123841824406,-2019.123841824406,-2019.123841824406,-2019.123841824406,-2019.123841824406,-2019.123841824406,-2019.123841824406,-2019.123841824406,-2018.1528444726105,-2018.175951792714,-2018.175951792714,-2019.1710637547023,-2020.8376504114913,-2023.1992736341194,-2023.1992736341194,-2023.1992736341194,-2023.1991767522031,-2023.1991767522031,-2126.32066289571,-2130.2828693330703,-2130.2828693330703,-2130.2828693330703,-2125.7149450327993,-2122.434474121904,-2123.160836300999,-2131.3986250668063,-2125.1761822104054,-2125.1761822104054,-2125.1761822104054,-2125.1761822104054,-2125.1761822104054,-2125.1761822104054,-2125.1761822104054,-2125.1761307249367,-2125.1761307249367,-2125.1761307249367	0.9954926853875903	-29.99828688651632	18	true	308
