# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 4c4d16f3-9e9e-4ee2-b41a-ad06f079b914
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	1	0	0	0	0	0	-4.895262967650169	-4.895262967650169	46.034267523202075	46.034267523202075	-4.895262967650169	0.9975653416775723	-4.895262967650169	12	true	5
25	9	9	1	0	0	0	0	0	7.394572756449074	7.394572756449074	46.777416374785176	46.777416374785176	7.394572756449074	0.9975653416775723	7.394572756449074	10	true	3
26	9	9	1	0	0	0	0	0	6.5590803548302254	6.5590803548302254	46.792788205266994	46.792788205266994	6.5590803548302254	0.9975653416775723	6.5590803548302254	10	true	2
27	10	10	1	0	0	0	0	0	13.86897173346594	13.86897173346594	47.15873548578891	47.15873548578891	13.86897173346594	0.997262083184068	13.86897173346594	10	true	6
28	10	10	1	0	0	0	0	0	31.470095919482027	31.470095919482027	51.451046505146174	51.451046505146174	31.470095919482027	0.9970015206790418	31.470095919482027	6	true	7
29	12	12	1	0	0	0	0	0	23.16965553630574	23.16965553630574	49.86141300505965	49.86141300505965	23.16965553630574	0.9966696763439367	23.16965553630574	8	true	2
30	13	13	1	0	0	0	0	0	20.96813906928371	20.96813906928371	49.9938384146476	49.9938384146476	20.96813906928371	0.9965839188191344	20.96813906928371	8	true	2
31	13	13	1	0	0	0	0	0	21.187432704496686	21.187432704496686	46.4329090394139	46.4329090394139	21.187432704496686	0.9960483181143581	21.187432704496686	8	true	2
32	13	13	1	0	0	0	0	0	6.105419600675361	6.105419600675361	44.5483434360968	44.5483434360968	6.105419600675361	0.9955863021910939	6.105419600675361	9	true	2
33	15	15	1	0	0	0	0	0	13.517338061295135	13.517338061295135	44.220974722793194	44.220974722793194	13.517338061295135	0.9953466855776751	13.517338061295135	8	true	2
34	15	15	1	0	0	0	0	0	7.52322895378259	7.52322895378259	47.69999253044419	47.69999253044419	7.52322895378259	0.9953466855776751	7.52322895378259	10	true	2
35	16	16	1	0	0	0	0	0	7.786917396099019	7.786917396099019	47.80546624749503	47.80546624749503	7.786917396099019	0.9952708709542991	7.786917396099019	10	true	2
