# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: e84d863d-da17-4691-9d63-b850925892ee
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	10	5050	1350	10800	0	0	8.835526080441008	8.835526080441008	8.835526080441008	8.835526080441008	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.6375025799848402,4.36527720596054,7.231990569478436,8.835526080441008,8.835526080441008	0.9986384073811424	8.835526080441008	0	true	23
25	8	8	27	13716	3645	29160	0	0	7.7841674547434225	7.7841674547434225	7.7841674547434225	7.7841674547434225	4.468056904574521,6.53241531872721,6.53241531872721,7.658452803257746,7.658452803257746,7.658452803257746,7.658452803257746,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.721524284000151,7.7841674547434225,7.7841674547434225	0.9977871561108634	7.7841674547434225	0	true	19
26	8	8	22	11000	2904	23232	0	0	13.574980471434081	13.574980471434081	13.574980471434081	13.574980471434081	-253.0005435921008,-51.10086128766372,-51.10086128766372,-49.4545408477901,-44.254985824169076,-40.33357776380711,-40.33357776380711,-40.33357776380711,-40.33357776380711,-40.33357776380711,-38.348652039283984,-38.348652039283984,-38.348652039283984,-38.348652039283984,-38.348652039283984,-38.348652039283984,-38.348652039283984,-38.348652039283984,-38.348652039283984,-36.42508987034353,13.574980471434081,13.574980471434081	0.997238286019257	13.574980471434081	0	true	8
27	8	8	2	988	264	2112	0	0	15.488809013786526	15.488809013786526	15.488809013786526	15.488809013786526	15.488809013786526,15.488809013786526	0.997238286019257	15.488809013786526	0	true	4
28	8	8	17	8398	2244	17952	0	0	17.401419893888878	17.401419893888878	17.401419893888878	17.401419893888878	17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.40141956589747,17.401419893888878,17.401419893888878	0.997238286019257	17.401419893888878	0	true	5
29	8	8	1	494	132	1056	0	0	18.98911739455048	18.98911739455048	18.98911739455048	18.98911739455048	18.98911739455048	0.997238286019257	18.98911739455048	0	true	2
30	8	8	14	6832	1806	14448	0	0	20.089421554400932	20.089421554400932	20.089421554400932	20.089421554400932	-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,-29.91057832792613,20.089421554400932,20.089421554400932	0.997238286019257	20.089421554400932	0	true	5
31	8	8	6	2916	774	6192	0	0	20.92943592272387	20.92943592272387	20.92943592272387	20.92943592272387	14.378700879514078,18.30141728899845,19.23121796728057,19.23121796728057,20.92943592272387,20.92943592272387	0.9970283884457635	20.92943592272387	0	true	3
32	9	9	33	16071	4257	34056	0	0	22.22189865607969	22.22189865607969	22.22189865607969	22.22189865607969	-127.76384382675255,-127.76384382675255,-127.76384382675255,-28.686215104531495,-28.686215104531495,-28.669524603302104,-28.669524603302104,-28.669524603302104,-28.66946112612236,-28.66946112612236,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,-27.778109123318725,22.22189865607969,22.22189865607969	0.9968506590827672	22.22189865607969	0	true	7
33	9	9	19	9120	2394	19152	0	0	23.65523657027529	23.65523657027529	23.65523657027529	23.65523657027529	21.81651821340771,21.81651821340771,21.87788787461798,21.87790158137654,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.655214027882103,23.65523657027529,23.65523657027529	0.9968506590827672	23.65523657027529	0	true	4
