# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 931f56e0-6d56-443d-9115-8148cdd0f9cb
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	483	2	16	0	0	1.697132753719181	1.697132753719181	1.697132753719181	1.697132753719181	1.697132753719181	0.9991239280309399	1.697132753719181	0	true	4
25	6	6	4	1932	8	64	0	0	1.9164682620877687	1.9164682620877687	1.9164682620877687	1.9164682620877687	1.9113624490738337,1.9113624490738337,1.9164682620877687,1.9164682620877687	0.9990443117099597	1.9164682620877687	0	true	3
26	6	6	1	483	2	16	0	0	2.110712607203888	2.110712607203888	2.110712607203888	2.110712607203888	2.110712607203888	0.9990443117099597	2.110712607203888	0	true	1
27	6	6	1	483	2	16	0	0	2.2440136578837047	2.2440136578837047	2.2440136578837047	2.2440136578837047	2.2440136578837047	0.9990443117099597	2.2440136578837047	0	true	1
28	6	6	5	2415	10	80	0	0	2.405242047790209	2.405242047790209	2.405242047790209	2.405242047790209	2.405240949573988,2.405240949573988,2.405240949573988,2.405242047790209,2.405242047790209	0.9990443117099597	2.405242047790209	0	true	1
29	6	6	23	11109	46	368	0	0	2.5456432357119865	2.5456432357119865	2.5456432357119865	2.5456432357119865	2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456432357119865,2.5456432357119865	0.9990443117099597	2.5456432357119865	0	true	3
30	6	6	12	5796	24	192	0	0	2.6698601489192897	2.6698601489192897	2.6698601489192897	2.6698601489192897	2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.6698601489192897,2.6698601489192897	0.99887542860485	2.6698601489192897	0	true	1
31	6	6	5	2415	10	80	0	0	2.772394309809611	2.772394309809611	2.772394309809611	2.772394309809611	2.7723928516393945,2.7723928516393945,2.7723928516393945,2.772394309809611,2.772394309809611	0.99887542860485	2.772394309809611	0	true	1
32	7	7	27	13041	54	432	0	0	2.857288718220247	2.857288718220247	2.857288718220247	2.857288718220247	2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.857288718220247,2.857288718220247	0.9987036576717526	2.857288718220247	0	true	16
33	7	7	1	483	2	16	0	0	2.9213486673081035	2.9213486673081035	2.9213486673081035	2.9213486673081035	2.9213486673081035	0.9986204224270916	2.9213486673081035	0	true	0
34	8	8	1	483	2	16	0	0	2.9651224656740856	2.9651224656740856	2.9651224656740856	2.9651224656740856	2.9651224656740856	0.9984128643598162	2.9651224656740856	0	true	1
35	9	9	1	484	2	16	0	0	2.999880289195042	2.999880289195042	2.999880289195042	2.999880289195042	2.999880289195042	0.998144332911735	2.999880289195042	0	true	0
36	10	10	7	3388	14	112	0	0	2.9999078873230283	2.9999078873230283	2.9999078873230283	2.9999078873230283	2.999397780545719,2.999397780545719,2.999397798560574,2.999397798560574,2.999397798560574,2.9999078873230283,2.9999078873230283	0.9981368757356651	2.9999078873230283	0	true	1
37	11	11	1	485	2	16	0	0	2.9995317813684617	2.9995317813684617	2.9995317813684617	2.9995317813684617	2.9995317813684617	0.9979193747669632	2.9995317813684617	0	true	0
38	11	11	5	2430	10	80	0	0	2.9993346583121916	2.9993346583121916	2.9993346583121916	2.9993346583121916	2.999332975083756,2.999332975083756,2.999332975083756,2.9993346583121916,2.9993346583121916	0.9975972905593614	2.9993346583121916	0	true	1
39	12	12	1	486	2	16	0	0	2.999539619474338	2.999539619474338	2.999539619474338	2.999539619474338	2.999539619474338	0.9975264473866985	2.999539619474338	0	true	1
40	12	12	15	7305	30	240	0	0	2.999899532861312	2.999899532861312	2.999899532861312	2.999899532861312	2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.9998985201957016,2.999899532861312,2.999899532861312	0.9975264473866985	2.999899532861312	0	true	2
41	13	13	1	487	2	16	0	0	2.9996077970183936	2.9996077970183936	2.9996077970183936	2.9996077970183936	2.9996077970183936	0.9974928900943846	2.9996077970183936	0	true	0
42	15	15	1	487	2	16	0	0	2.999262594242382	2.999262594242382	2.999262594242382	2.999262594242382	2.999262594242382	0.9973089464179967	2.999262594242382	0	true	1
43	15	15	1	488	2	16	0	0	2.999766506597886	2.999766506597886	2.999766506597886	2.999766506597886	2.999766506597886	0.9972257111733355	2.999766506597886	0	true	1
