# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: af2593db-9c15-4133-a596-7c914c01f286
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.6665904074628892	1.6665904074628892	1.6665904074628892	1.6665904074628892	1.6665904074628892	0.9991239280309399	1.6665904074628892	0	true	1
25	6	6	1	0	0	0	0	0	1.8686329352791466	1.8686329352791466	1.8686329352791466	1.8686329352791466	1.8686329352791466	0.9990443117099597	1.8686329352791466	0	true	0
26	6	6	1	0	0	0	0	0	2.0493290770296997	2.0493290770296997	2.0493290770296997	2.0493290770296997	2.0493290770296997	0.9990443117099597	2.0493290770296997	0	true	1
27	6	6	1	0	0	0	0	0	2.2110670757584123	2.2110670757584123	2.2110670757584123	2.2110670757584123	2.2110670757584123	0.9990443117099597	2.2110670757584123	0	true	0
28	6	6	1	0	0	0	0	0	2.3606413823956816	2.3606413823956816	2.3606413823956816	2.3606413823956816	2.3606413823956816	0.9990443117099597	2.3606413823956816	0	true	0
29	6	6	1	0	0	0	0	0	2.494012683380532	2.494012683380532	2.494012683380532	2.494012683380532	2.494012683380532	0.9990443117099597	2.494012683380532	0	true	0
30	6	6	1	0	0	0	0	0	2.5811432635888534	2.5811432635888534	2.5811432635888534	2.5811432635888534	2.5811432635888534	0.99887542860485	2.5811432635888534	0	true	0
31	6	6	1	0	0	0	0	0	2.687419755261121	2.687419755261121	2.687419755261121	2.687419755261121	2.687419755261121	0.99887542860485	2.687419755261121	0	true	0
32	7	7	1	0	0	0	0	0	2.7789248727014737	2.7789248727014737	2.7789248727014737	2.7789248727014737	2.7789248727014737	0.9987036576717526	2.7789248727014737	0	true	0
33	7	7	1	0	0	0	0	0	2.8552275043810154	2.8552275043810154	2.8552275043810154	2.8552275043810154	2.8552275043810154	0.9986204224270916	2.8552275043810154	0	true	0
