# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: a4bec7f2-4e9d-42e8-9457-6a5d0c50696b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	0	0	0	0	0	-2467.0262884793488	-2298.8502797135193	-105.45930799706706	-55.68921064625923	-Infinity,-Infinity,-Infinity,-3175.398454096294,-Infinity,-2669.042515296384,-Infinity,-Infinity,-Infinity,-2674.078692032347,-Infinity,-2777.297360995612,-Infinity,-2879.984007982738,-3228.572389051029,-Infinity,-Infinity,-Infinity,-3382.1260828533154,-2736.7921956844134,-Infinity,-Infinity,-3170.087764913752,-2945.915160348874,-3224.9242809490784,-2874.50349787447,-3169.3357313468878,-2676.615558111659,-Infinity,-Infinity,-2927.029876697191,-2688.3601523835887,-2773.2711689527796,-Infinity,-Infinity,-Infinity,-3280.7812171036617,-2774.0909050713244,-3333.3124912983867,-2298.8502797135193,-Infinity,-3075.885815976287,-3287.2198255197504,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3389.2056715309204,-Infinity,-2618.999256171141,-Infinity,-Infinity,-Infinity,-3078.802743596969,-3037.2539270683183,-3271.550289463114,-2933.875350060077,-Infinity,-2575.075619597534,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2327.375625007279,-Infinity,-Infinity,-2637.057730143613,-Infinity,-3290.3416035180594,-Infinity,-2670.7952050261138,-Infinity,-Infinity,-Infinity,-3077.7545067622455,-Infinity,-Infinity,-Infinity,-2927.542574227257,-3233.27078832433,-Infinity,-2666.5290924521937,-3266.914556764134,-Infinity,-Infinity,-Infinity,-Infinity,-2730.642947796242,-2935.1301867422426,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2773.9943008350574,-3074.3560249557754,-3028.7571994397317,-2467.0262884793488	0.9977516614149626	-2298.8502797135193	9	false	26
24	13	13	100	0	0	0	0	0	-3270.957159870039	-2109.2238165115846	-300.9767118414583	-237.09997302186974	-Infinity,-Infinity,-2962.0495120384257,-3323.4137610813987,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2262.979951397977,-2815.1226063443087,-2869.93823621722,-2777.2427449137404,-Infinity,-2961.852328994915,-3279.089616336701,-2721.2891461620284,-Infinity,-3216.0461562032147,-3175.5735550444388,-3313.1664913983286,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2274.545338660355,-3271.459085351088,-Infinity,-2776.704134678728,-Infinity,-3281.0417817442476,-2573.726197883665,-2615.186982841867,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2411.748163284037,-Infinity,-Infinity,-2884.5206104296044,-3022.716744040978,-3073.6466050038234,-Infinity,-Infinity,-Infinity,-Infinity,-3317.7077965807316,-2819.586139741085,-Infinity,-Infinity,-Infinity,-Infinity,-2671.217841311798,-Infinity,-Infinity,-Infinity,-3419.5987726325807,-3011.359452723745,-Infinity,-3171.0622737570957,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2371.234182298045,-Infinity,-Infinity,-2109.2238165115846,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2976.9199961046643,-3266.428572396062,-2720.723922132876,-2912.668424820272,-Infinity,-Infinity,-Infinity,-Infinity,-2468.0574373470026,-Infinity,-Infinity,-3071.8981338399417,-Infinity,-2764.890305882686,-Infinity,-3030.124839223583,-Infinity,-Infinity,-3270.957159870039	0.9975615034251832	-2109.2238165115846	3	true	18
25	15	15	100	0	0	0	0	0	-3164.5697871069488	-2113.2000347267503	-193.91183746508122	-200.18723021521353	-Infinity,-3174.3404156986685,-Infinity,-Infinity,-3034.6532564322893,-Infinity,-2773.3422609247455,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2821.185482447924,-Infinity,-Infinity,-3122.153006536388,-2419.7266412896834,-2917.194783218825,-2967.366025274638,-2766.655050441829,-Infinity,-3026.276343229731,-Infinity,-Infinity,-Infinity,-3105.8266299946667,-3061.602581875261,-3167.4027392670937,-Infinity,-Infinity,-2217.0357545312486,-Infinity,-3268.23931316579,-Infinity,-2666.7069121239115,-Infinity,-2364.5264510099555,-Infinity,-2318.860748009603,-Infinity,-Infinity,-3107.0890680395783,-Infinity,-Infinity,-Infinity,-2729.1013853300524,-2764.4428653115956,-3129.664819702179,-Infinity,-Infinity,-Infinity,-2960.0933914252532,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2475.292084075432,-3168.6421867778377,-3264.6133232450243,-2863.0677679939304,-Infinity,-Infinity,-2710.2960190988897,-Infinity,-Infinity,-3227.456292399865,-2113.2000347267503,-3309.9890650542097,-2222.5559218809217,-Infinity,-2719.8753915708644,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2721.0775132628087,-3014.749005228198,-2364.296363738625,-2868.21607868524,-Infinity,-Infinity,-Infinity,-Infinity,-2971.583385369937,-Infinity,-Infinity,-Infinity,-2721.807975802323,-Infinity,-Infinity,-Infinity,-Infinity,-3112.0005307319393,-2677.9322385876812,-3164.5697871069488	0.9966306358339244	-2113.2000347267503	3	true	18
26	15	15	100	0	0	0	0	0	-Infinity	-2262.8976151730244	-435.7247181278684	-205.50472311753904	-2917.533899168406,-Infinity,-3114.3837496355777,-Infinity,-Infinity,-Infinity,-2971.2467196615025,-3367.987364401581,-Infinity,-3175.5832761056317,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2814.500803224029,-Infinity,-2773.8999234062917,-2834.38619008488,-Infinity,-Infinity,-2415.663101258223,-2262.8976151730244,-3166.740292005547,-2678.7496710547034,-2635.3429031607493,-Infinity,-Infinity,-Infinity,-Infinity,-3411.3672693726116,-Infinity,-Infinity,-3384.9320954542195,-Infinity,-Infinity,-2678.5872562187146,-Infinity,-Infinity,-2967.876580808639,-Infinity,-Infinity,-2711.6047484931973,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2474.836203534649,-Infinity,-Infinity,-3071.3290041359064,-2672.450116157695,-3176.73845083203,-3262.2260442535026,-3108.9185078990467,-3330.0395845553535,-Infinity,-2712.824637276393,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3024.5839317488167,-Infinity,-2876.458767632848,-Infinity,-Infinity,-2523.191550700565,-Infinity,-2624.2077263610213,-Infinity,-2408.9462697076524,-Infinity,-Infinity,-2876.0879168531833,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2619.362890660383,-Infinity	0.9960817657423182	-2262.8976151730244	5	true	15
27	15	15	100	0	0	0	0	0	-2723.3978616379845	-1921.3936373721149	-43.404679349302086	8.632953017218428	-Infinity,-3019.8977806783582,-Infinity,-Infinity,-Infinity,-3013.850434861725,-2765.737995285048,-3222.343605582326,-Infinity,-Infinity,-3017.347640028095,-Infinity,-Infinity,-3272.3334552312867,-2576.913607458266,-Infinity,-2867.7529720892185,-2670.7067238043073,-2713.8158855338297,-Infinity,-Infinity,-3267.595021398285,-2919.3403806473952,-Infinity,-2913.47257555636,-Infinity,-2468.175461963573,-Infinity,-3016.330255886754,-3057.6107688411444,-3269.339877043565,-Infinity,-Infinity,-Infinity,-3023.5260127999095,-2774.890504786487,-2263.055227889862,-Infinity,-Infinity,-Infinity,-2073.9421110226713,-Infinity,-3019.3113013921643,-Infinity,-Infinity,-Infinity,-2253.7325562058736,-Infinity,-Infinity,-2826.2519570256995,-2219.7551212061517,-Infinity,-1921.3936373721149,-2624.0808610834006,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3016.152908641944,-Infinity,-Infinity,-Infinity,-2708.06581929728,-2779.9290357980267,-2859.806901413913,-Infinity,-Infinity,-2917.326182598595,-Infinity,-3068.461123285903,-2920.251780814462,-3029.281292372954,-Infinity,-Infinity,-Infinity,-2917.1587393582945,-Infinity,-Infinity,-2780.40232177695,-Infinity,-3031.2369149218343,-Infinity,-3211.1016758003357,-2774.869683285183,-Infinity,-2857.783047298748,-2963.593152765036,-Infinity,-3024.561120997951,-Infinity,-2874.784747277335,-3013.1915849221373,-Infinity,-Infinity,-Infinity,-Infinity,-2618.3743298781037,-Infinity,-2723.3978616379845	0.9960817657423182	-1921.3936373721149	6	true	16
28	15	15	100	0	0	0	0	0	-2315.914971691941	-1664.9782533396315	-131.05752359396607	55.74784846817451	-2269.276802591242,-Infinity,-Infinity,-Infinity,-2827.0108323637282,-Infinity,-Infinity,-Infinity,-Infinity,-1879.9866564913639,-Infinity,-Infinity,-2527.9930745381935,-2415.4779525986423,-Infinity,-1960.0857802268538,-Infinity,-2569.9054558228922,-Infinity,-2804.297028990248,-Infinity,-Infinity,-Infinity,-Infinity,-2070.554284104059,-2563.100695729792,-Infinity,-Infinity,-2361.018413302806,-2666.3327433309983,-2615.706350059507,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2274.56458599146,-Infinity,-Infinity,-Infinity,-Infinity,-2554.502355842027,-Infinity,-2458.6433065311758,-Infinity,-2410.732113049773,-Infinity,-Infinity,-Infinity,-Infinity,-2780.722662550166,-Infinity,-2665.75691335637,-Infinity,-2713.527582108817,-2718.3935766614804,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1717.9105275081822,-Infinity,-2628.870091378524,-Infinity,-2618.5949712022143,-2823.214817627898,-Infinity,-2131.5832173460863,-2561.531176636868,-Infinity,-Infinity,-2066.7467058642255,-Infinity,-2422.6485909787552,-Infinity,-2116.43105533615,-2511.3744536273043,-Infinity,-2712.8454367192844,-2763.218391200119,-Infinity,-Infinity,-Infinity,-Infinity,-2516.6079375853737,-1664.9782533396315,-Infinity,-1923.8461603433632,-2719.458272678507,-Infinity,-2575.5848186674493,-2819.3977918786163,-Infinity,-Infinity,-Infinity,-Infinity,-2315.914971691941	0.9960817657423182	-1664.9782533396315	5	true	17
29	15	15	100	0	0	0	0	0	-2806.708575224345	-1665.0263074215409	10.400402424526119	4.82057172625559	-2106.7343676524333,-2463.3167121272,-Infinity,-2568.100871025476,-2810.761033350315,-Infinity,-2982.701102659153,-Infinity,-2768.352862693268,-3016.9218178254323,-2775.059313892767,-2925.7655955933606,-2827.8921739052093,-Infinity,-Infinity,-Infinity,-2355.4551752643706,-2926.8588309516904,-Infinity,-2639.5842296732303,-Infinity,-Infinity,-2725.946208996089,-2968.614429540518,-2585.5388216165056,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2973.14856834921,-Infinity,-Infinity,-2679.4938097147574,-Infinity,-Infinity,-2913.1555979351574,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2822.003751561688,-2517.6177350856656,-Infinity,-2468.4516278294273,-Infinity,-2873.370543836053,-2426.008349373329,-2256.5507453593086,-2660.3680463185046,-Infinity,-Infinity,-Infinity,-2873.049361737797,-Infinity,-3160.650257172484,-Infinity,-2717.307958971889,-3016.675163588658,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1665.0263074215409,-Infinity,-3021.3188022497875,-Infinity,-Infinity,-Infinity,-2811.564018349217,-Infinity,-Infinity,-Infinity,-2728.201045595405,-3068.898888535359,-1819.5265783793523,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2433.6351172651275,-Infinity,-2929.6954745621974,-Infinity,-Infinity,-2669.7199022455006,-Infinity,-2767.5795822202695,-2664.698062734818,-2607.3072373359837,-Infinity,-Infinity,-Infinity,-2658.998248643172,-2516.564594658226,-2806.708575224345	0.9960817657423182	-1665.0263074215409	4	true	15
30	15	15	100	0	0	0	0	0	-2821.6475702717603	-2035.989790344229	-13.88253883601279	-56.28656694175773	-Infinity,-2284.229797934095,-Infinity,-2807.0753160624063,-Infinity,-2682.4294563622657,-2520.293387130861,-Infinity,-2589.850740739929,-Infinity,-2964.1338693463426,-3117.546141973605,-Infinity,-Infinity,-Infinity,-2477.5586220502405,-2779.847908115061,-Infinity,-2479.410032987312,-Infinity,-Infinity,-2315.605418113899,-Infinity,-2475.0517479217287,-2515.9386032869825,-Infinity,-2776.007508132682,-2035.989790344229,-2933.3360647871013,-Infinity,-2711.1706839438366,-Infinity,-2454.5849900192716,-2246.316350941372,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2476.966725828906,-Infinity,-Infinity,-Infinity,-Infinity,-2910.534602545515,-2488.764618156276,-Infinity,-Infinity,-2721.1931121403863,-Infinity,-Infinity,-Infinity,-2561.9177110352884,-Infinity,-Infinity,-Infinity,-2426.9980983860955,-Infinity,-2615.877311154607,-Infinity,-Infinity,-Infinity,-Infinity,-2570.484194703911,-Infinity,-2132.5753730121346,-2485.3965947052366,-2523.8746157195847,-Infinity,-2130.3274684370945,-Infinity,-Infinity,-2672.5661630728723,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2933.3475051925643,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2214.1573560443735,-2630.2520778368576,-2630.9176408790663,-Infinity,-2725.3900287584765,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2623.2932200517826,-2821.6475702717603	0.9959128826372083	-2035.989790344229	8	true	16
31	15	15	100	0	0	0	0	0	-Infinity	-1576.7147295701973	-Infinity	43.80252171652168	-2571.865857099191,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2881.1775605382413,-Infinity,-2269.164537782801,-2459.3269297518696,-Infinity,-2623.176159955565,-Infinity,-Infinity,-2565.985264977122,-Infinity,-Infinity,-Infinity,-Infinity,-2477.406054660952,-Infinity,-Infinity,-Infinity,-2467.4127587501926,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2427.5028015329945,-2072.9032185908127,-2218.86233288787,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2332.538460752607,-Infinity,-Infinity,-Infinity,-2420.2874942253134,-2771.474787715183,-3085.7201264608284,-Infinity,-Infinity,-2571.36326171656,-Infinity,-Infinity,-2266.125688484181,-2231.699163124345,-Infinity,-Infinity,-2518.3844463747887,-Infinity,-1576.7147295701973,-Infinity,-Infinity,-2272.29376993996,-2422.23022536424,-Infinity,-2528.332026663666,-2225.0583877272215,-2806.232381366214,-2682.4831722000754,-Infinity,-Infinity,-Infinity,-2525.896159910818,-Infinity,-2413.749864171088,-2566.3663400391797,-2981.458631411842,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2796.176246194418,-Infinity,-2969.2075776266006,-Infinity,-Infinity,-Infinity,-Infinity,-2021.345153417022,-2424.3172614509544,-2288.360875196652,-2971.0033554243755,-Infinity,-Infinity,-Infinity,-2727.370947263652,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9957029850637148	-1576.7147295701973	7	true	10
32	16	15	100	0	0	0	0	0	-Infinity	-1631.9049184326939	-1376.2199615606335	-153.72247325861252	-Infinity,-2671.401372334891,-2922.9189791394933,-Infinity,-Infinity,-Infinity,-1920.1220265536685,-Infinity,-Infinity,-Infinity,-2716.1168259995343,-Infinity,-2815.0714904926863,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3028.110879366237,-2241.003028011468,-2584.250812950618,-Infinity,-Infinity,-2223.9009842169135,-Infinity,-Infinity,-2230.8412937435023,-2931.5267562818276,-Infinity,-Infinity,-2368.7974741780968,-1793.410567885133,-2620.8460966131183,-Infinity,-Infinity,-2364.706370411665,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2272.8156025525336,-2874.9368725439563,-Infinity,-Infinity,-2642.252265103198,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2374.8032438484756,-Infinity,-Infinity,-Infinity,-2463.055654017505,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2435.9927010663155,-2321.7382563245756,-Infinity,-2716.1034772767375,-2076.008771165825,-Infinity,-Infinity,-Infinity,-2423.3045752751536,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2671.680278623531,-Infinity,-2621.976182430976,-Infinity,-Infinity,-Infinity,-Infinity,-1631.9049184326939,-2430.1032999796844,-2418.5475951429617,-2985.1407917935694,-Infinity	0.99553413851339	-1631.9049184326939	8	true	11
