# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0d6d6c53-f24b-4a07-9cbd-f76eb39a1933
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	4	1924	8	64	0	0	2.946860735642216	2.946860735642216	2.946860735642216	2.946860735642216	-97.05299358717427,-97.05299358717427,2.946860735642216,2.946860735642216	0.9991239280309399	2.946860735642216	0	true	9
25	6	6	5	2415	10	80	0	0	2.9694095104350566	2.9694095104350566	2.9694095104350566	2.9694095104350566	1.9670230698951592,1.9670230698951592,1.9670230698951592,2.9694095104350566,2.9694095104350566	0.9990443117099597	2.9694095104350566	0	true	2
26	6	6	1	484	2	16	0	0	2.9997806220605883	2.9997806220605883	2.9997806220605883	2.9997806220605883	2.9997806220605883	0.9990443117099597	2.9997806220605883	0	true	1
27	6	6	1	484	2	16	0	0	2.9995553823896297	2.9995553823896297	2.9995553823896297	2.9995553823896297	2.9995553823896297	0.9990443117099597	2.9995553823896297	0	true	1
28	6	6	1	484	2	16	0	0	2.9989600848920794	2.9989600848920794	2.9989600848920794	2.9989600848920794	2.9989600848920794	0.9990443117099597	2.9989600848920794	0	true	1
29	6	6	1	484	2	16	0	0	2.999369302694923	2.999369302694923	2.999369302694923	2.999369302694923	2.999369302694923	0.9990443117099597	2.999369302694923	0	true	1
30	6	6	1	484	2	16	0	0	2.9996521363556723	2.9996521363556723	2.9996521363556723	2.9996521363556723	2.9996521363556723	0.99887542860485	2.9996521363556723	0	true	0
31	6	6	1	484	2	16	0	0	2.9996858664229156	2.9996858664229156	2.9996858664229156	2.9996858664229156	2.9996858664229156	0.99887542860485	2.9996858664229156	0	true	1
32	6	6	1	484	2	16	0	0	2.9995326508084506	2.9995326508084506	2.9995326508084506	2.9995326508084506	2.9995326508084506	0.9988428582917216	2.9995326508084506	0	true	1
33	7	7	1	484	2	16	0	0	2.99953979147956	2.99953979147956	2.99953979147956	2.99953979147956	2.99953979147956	0.9987036576717526	2.99953979147956	0	true	1
34	7	7	1	484	2	16	0	0	2.999276296454609	2.999276296454609	2.999276296454609	2.999276296454609	2.999276296454609	0.9987036576717526	2.999276296454609	0	true	1
35	8	8	17	8228	34	272	0	0	2.984709240124346	2.984709240124346	2.984709240124346	2.984709240124346	1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,2.984702209315348,2.984702209315348,2.984702209315348,2.984702209315348,2.984709240124346,2.984709240124346	0.9983518909790103	2.984709240124346	0	true	2
36	8	8	1	481	2	16	0	0	2.99940168669908	2.99940168669908	2.99940168669908	2.99940168669908	2.99940168669908	0.9983518909790103	2.99940168669908	0	true	1
