# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 3e88bc7c-b498-4ddd-aa3d-57b410510257
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	34752	75240	601920	0	0	-7.09316423454289	-1.921581337331581	45.50728544381133	46.088713799447476	-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289	0.9975653416775723	-1.921581337331581	11	true	193
25	9	9	100	34814	75240	601920	0	0	20.521648650253738	27.781827527484424	47.38271560148153	47.16178478778905	2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,2.454941835108901,-1.1572018285633234,-1.1572018285633234,-1.1572018285633234,-1.1572018285633234,-1.1572018285633234,-1.1572018285633234,-1.1572018285633234,-1.1572018285633234,5.724353441024107,5.724353441024107,5.724353441024107,5.724353441024107,5.724353441024107,5.724353441024107,5.724353441024107,5.724353441024107,5.724353441024107,7.712965102247523,7.712965102247523,7.712965102247523,7.712965102247523,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,14.290725731650156,18.557752496064097,18.557752496064097,18.557752496064097,18.557752496064097,22.454662590627578,22.454662590627578,22.454662590627578,25.78375069149935,25.78375069149935,27.781827527484424,27.781827527484424,27.781827527484424,26.704784617658262,26.704784617658262,26.704784617658262,24.44435250973718,24.44435250973718,24.44435250973718,24.44435250973718,24.44435250973718,24.44435250973718,20.521648650253738,20.521648650253738	0.9975653416775723	27.781827527484424	7	true	88
26	9	9	100	34739	75240	601920	0	0	31.452244569965664	31.452244569965664	46.27388835151975	46.27388835151975	10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,10.169753748398637,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,13.440507799083221,16.429375092815743,16.429375092815743,16.429375092815743,16.429375092815743,16.429375092815743,16.429375092815743,16.429375092815743,16.429375092815743,16.429375092815743,18.31258510725879,18.31258510725879,18.31258510725879,18.31258510725879,18.31258510725879,18.31258510725879,18.31258510725879,18.31258510725879,19.22630833241741,19.22630833241741,19.22630833241741,24.31184691322516,24.31184691322516,23.81629146753467,22.308126772727533,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,19.66154457202572,29.07758312476654,30.887734430028615,30.887734430028615,30.887734430028615,30.887734430028615,30.887734430028615,31.452244569965664,31.452244569965664,31.452244569965664	0.9975653416775723	31.452244569965664	7	true	54
27	10	10	100	34912	75240	601920	0	0	29.583267931861897	32.03136359303017	45.485603107662776	45.87764761145243	12.920001568186107,12.920001568186107,12.920001568186107,12.920001568186107,12.920001568186107,18.838586746963507,18.838586746963507,18.838586746963507,18.838586746963507,18.838586746963507,18.838586746963507,22.871016639189268,24.372673915738936,24.372673915738936,24.861450700766696,24.861450700766696,24.861450700766696,24.36930180254585,24.36930180254585,24.36930180254585,24.36930180254585,24.36930180254585,22.863077287523197,22.863077287523197,22.863077287523197,22.863077287523197,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,20.217421758749822,26.124961065654702,26.124961065654702,26.124961065654702,26.124961065654702,26.124961065654702,29.647240912202257,29.647240912202257,29.647240912202257,31.46292542519288,31.46292542519288,31.46292542519288,31.46292542519288,31.46292542519288,31.46292542519288,31.46292542519288,31.46292542519288,32.03136359303017,32.03136359303017,32.03136359303017,29.583267931861897,29.583267931861897,29.583267931861897,29.583267931861897,29.583267931861897,29.583267931861897,29.583267931861897,29.583267931861897,29.583267931861897,29.583267931861897,29.583267931861897	0.997262083184068	32.03136359303017	7	true	110
28	10	10	100	35610	82764	662112	0	0	49.58155983567636	49.58155983567636	52.116435691917125	52.116435691917125	27.034516771964483,27.034516771964483,27.034516771964483,27.034516771964483,27.034516771964483,27.034516771964483,32.57001026692103,32.57001026692103,32.57001026692103,32.57001026692103,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,37.67755751109188,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,46.312499415385304,49.58155983567636,49.58155983567636,49.58155983567636,49.58155983567636,49.58155983567636,49.58155983567636,49.58155983567636,49.58155983567636,49.58155983567636,49.58155983567636	0.9970015206790418	49.58155983567636	2	true	53
29	12	12	100	35610	82764	662112	0	0	50.47363683294712	50.47363683294712	51.76728545213413	51.76728545213413	38.56728964177013,38.56728964177013,38.56728964177013,38.56728964177013,38.56728964177013,38.56728964177013,43.9397216909441,47.21751948845706,47.21751948845706,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,45.18369668968308,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,47.208254007197,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712,50.47363683294712	0.9966696763439367	50.47363683294712	2	true	74
30	13	13	100	36316	97812	782496	0	0	49.924473694500094	51.210253804418706	52.14000735623464	52.81087167427689	40.6301042780641,40.6301042780641,40.6301042780641,40.6301042780641,40.6301042780641,39.29034561121702,39.29034561121702,39.29008299695565,40.629709283995076,40.629709283995076,40.629709283995076,40.629709283995076,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,44.66233879141724,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,47.94019634964904,51.210253804418706,51.210253804418706,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,51.20203969678018,51.20203969678018,51.20203969678018,51.20203969678018,51.20203969678018,51.20203969678018,51.20203969678018,51.20203969678018,51.20203969678018,51.20203969678018,51.20203969678018,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094,49.924473694500094	0.9965839188191344	51.210253804418706	2	true	61
31	13	13	100	37094	105336	842688	0	0	36.52993161217627	39.15243346693794	48.45482974915706	48.91342740358556	36.53558021794667,36.53558021794667,36.53558021794667,36.53558021794667,36.53558021794667,36.53558021794667,36.53558021794667,36.53558021794667,39.15243346693794,39.15243346693794,39.15243346693794,39.15243346693794,36.53379324522453,36.53379324522453,36.53379324522453,36.53379324522453,36.53379324522453,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,37.1178730553989,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627,36.52993161217627	0.9960483181143581	39.15243346693794	6	true	137
32	13	13	100	37214	105336	842688	0	0	27.726282672792323	28.21687374566548	47.18096976978341	46.8203585143695	27.72688535660263,27.72688535660263,27.72688535660263,27.72688535660263,28.21687374566548,28.21687374566548,28.21687374566548,28.21687374566548,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,23.552945969893322,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,26.209855823087167,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323,27.726282672792323	0.9955863021910939	28.21687374566548	8	true	79
33	15	15	100	36998	105336	842688	0	0	27.991036029854065	27.991036029854065	47.45211981716338	47.45211981716338	23.84984075418059,23.84984075418059,23.84984075418059,23.84984075418059,23.84984075418059,23.84984075418059,23.84984075418059,26.490145763164943,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,23.81757419482411,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,26.4746380363395,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065,27.991036029854065	0.9953466855776751	27.991036029854065	8	true	56
