# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: e2776d07-30c1-45eb-94f8-246c8dbf8b4f
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	1.627947584120558	1.6283967431844741	1.628418555981387	1.628418555981387	-98.45019902498177,-98.45017421988135,-98.4501801474984,1.5719630056957372,1.6283429137892693,-48.427920292382346,-48.37172264154541,1.6283262123834623,1.5718874601176747,1.5720161157419856,-48.371698323242995,1.5720926525848078,-48.4279587965602,-148.47691718981582,1.6282700135267487,-48.42815902573479,-98.47705875329342,-48.42796098030375,1.571977611738095,-98.45062549657956,1.6283967431844741,-48.37171492610892,-98.45032987157053,-148.4504481134731,1.572034377269892,-98.47717082023075,-48.37172511520289,-98.47730320434869,1.628143014637439,-48.37162732831032,-48.427999925307084,-148.45028198993847,-98.45033211836673,-148.47697590367213,-48.42816326807905,-98.4769741042059,-48.428016440772154,-98.45020890391675,-148.47692494789612,1.6281018109815548,-148.45030552851046,-148.47694862784346,-48.42787856445776,1.5721089402399022,-148.47729322095813,1.628387231541974,1.572040699389993,-148.47697644652658,-48.37162432570334,1.628286661826131,-148.47687478617897,1.6282920955110831,-148.47740627223536,1.572083582397951,-148.47695707337587,1.5719630037994468,-98.47706626501969,-98.4502120532762,-98.47699767767124,1.5718550415322456,-98.47719611541822,1.6283476451515528,-148.47697644652658,1.6281925473566954,-98.47690895700299,-148.47710436640446,-98.45029114779102,-148.47729322095813,-48.428266736896475,1.6280655041578673,-148.47694840010308,-98.47711925305849,1.6281780066073497,-98.47695826956479,-98.45040566008812,1.572048334832103,1.6283716134192683,-98.45033211836673,-148.45024417490887,1.5717240900868032,1.5718369564535835,1.6283349899567308,1.6283967431844741,1.628310694699152,-148.4768715525068,-48.37163612675717,-148.47691718981582,-98.47685404528477,-98.47696145262037,-98.4501964351535,-98.47719460885368,-98.47683223248787,1.6280799682384925,-48.37194499951811,-48.37166455559746,1.628388299739181,1.5719592161677811,-48.37204197100158,-98.47725458553249,1.627947584120558	0.9991239280309399	1.6283967431844741	0	true	19
25	6	6	100	0	0	0	0	0	1.7762560475035787	1.834182575804007	1.834195631740678	1.834195631740678	-98.26771542782488,-99.24381763893605,-48.16617676572585,1.7762535524013494,1.8341258583646538,-48.17100306471686,1.7760463318747275,-49.210372360924765,-48.166056842747246,1.833863908153639,-98.26769969988251,1.7761459853831498,-99.24388575633922,1.7760022407796894,-148.26755910869008,0.7896218872070792,1.8341258583646538,-48.223743864559076,-98.26774359969113,-48.17069201139256,1.8293998753663472,1.7760022407796894,1.8292084582157162,-99.24379143408463,1.829164476442899,-48.223844106828764,-48.223948265580376,0.789501465077865,-99.24392205208,1.834172594566702,-48.17074650783331,1.7762363757773716,-149.24379291706728,1.776115275297623,0.7894279623126087,1.7762296209029456,-149.2438223342328,-98.26751072337822,-99.24403872469207,-48.17074650783331,-49.21043935503642,-148.26752215393014,-149.24375215767196,1.8340965574365367,-98.26758052071709,0.7894155110939971,-48.16616341375609,-148.26748570807928,-149.24380223693584,0.7896051337778401,-49.21039859564111,1.8340965574365367,1.8339991363044061,-99.24406228776554,1.776159553848344,1.8340999855415114,-48.170703225210204,-148.26755078029976,-98.26748392512866,1.834172594566702,-99.24373513410471,-99.24397658996472,0.7895665016489496,-149.24379199935748,-99.24398302576064,1.8291799506528643,-148.2675511297984,-149.24375215767196,1.8293998753663472,-48.17061217774285,1.8339917473985325,0.789501465077865,1.7759453006194317,1.776113855229558,-148.2675204231216,1.8293777684783021,-49.210477122895135,-148.26758999743174,1.834182575804007,-98.26752922333905,-98.26752242991303,1.8291741417959957,-49.21039859564111,-148.26748601942137,-48.223780097488465,-49.21039960863766,0.7894274788841241,1.8291091606759071,-99.24396546726155,-149.24384057793011,-98.26760142178199,0.7895617104867989,-149.24379291706728,0.7895898728829587,-99.24389456664608,-99.24381763893605,-48.17069309611094,-99.24375631259255,0.7895166744036172,1.7762560475035787	0.9990443117099597	1.834182575804007	0	true	2
26	6	6	100	0	0	0	0	0	-98.07136430192283	2.0230845037613094	2.0231045829160097	2.0231045829160097	-99.04880972770536,-98.071258437938,2.0169037811229567,-99.04886359349587,-47.98315705371417,-47.97731427897783,-98.07136332548934,-48.03215360171952,2.016759656157751,2.0228763552598186,1.9678067818589273,-49.0186554057773,-98.071376105658,-99.04883212568252,2.023076320784808,2.0230383356139465,1.9677124274148572,-148.07131160101585,2.02287176016741,1.9674457278245436,2.0228685546105645,2.0230383356139465,-99.04887447748835,-148.07125772213584,1.9678911717809031,-47.97695456015584,-98.07148322696446,-99.04896709271816,-148.07134374907952,1.9678418369588027,-99.04888932521605,-98.07140200599234,-149.04880221830607,-99.04893031319251,0.9811224043328594,2.016818772265432,-47.97689945390086,2.0230759217439185,-99.04897915424542,2.0168273745506564,-99.04881968298182,2.0168899676762098,-99.04887730445728,2.0167942109195773,0.9813414162134927,-149.04886758944411,-149.04874953288004,-149.04883046111604,-47.98309610184827,-99.04910398830785,-47.98317525118819,0.9811534537471263,1.9676809014684624,2.016907384983682,-98.07138137717632,-99.04898378299595,2.01667843518563,1.967931818136675,2.023035039554642,0.9812397252790992,2.016781158774053,1.9679067256855989,1.9677981738016757,1.967730276876325,-47.98319499407652,-99.04897915424542,2.0226057419760988,1.9678997490385057,0.9812504214221662,-48.0320796601824,-49.01870991465075,-48.0321383537219,1.967822561964779,-148.07133853351593,2.0230845037613094,-98.07148775237916,2.023018788730307,-47.9771918891597,-47.97693547078904,-149.04883284061924,-149.04875036831368,-98.07128320297083,-148.07164369700132,-148.07128116045828,-49.01868549189741,2.022869270938946,-48.032443382334485,1.9678894949286962,2.0168682080416747,-49.01868268704766,-49.01872658124485,-49.01877364603585,-49.01871871787169,2.0166911481000436,-149.04880323351296,0.9812571679538147,-98.07148643252131,-99.04886022920378,-47.976989543547226,-98.07136430192283	0.9990443117099597	2.0230845037613094	0	true	2
27	6	6	100	0	0	0	0	0	-47.82232698369035	2.1836155486520314	2.1836236987369775	2.1836236987369775	2.130821469132064,2.1308909201005264,-47.8691148433892,-148.88277039261254,2.1306453675048864,2.130870146026641,2.1774689113232886,2.1836018448847967,-97.9037249511829,-47.869180890919864,-148.8830965702154,-47.822282788695986,-147.90380110732954,-47.816461209961936,-148.882782384436,1.1441288739588191,1.1444042214478483,-97.90367323676404,-98.88301138274694,-98.88295315157382,-98.88275961649602,-97.9037249511829,2.1774157296079926,-47.81650608232099,2.1309048188293875,2.17773811466558,2.183429329631509,-148.88281534680917,1.1444544984137575,-47.8691148433892,-98.88297529547309,-148.88275926647356,-47.82238782490672,2.1836102339954397,-98.88283865542036,-48.85568527741446,2.1835521057163976,2.130831976525833,-97.9037165415265,-97.9035976039637,2.183354801927004,-48.85563037807809,2.1836155486520314,2.177727263489881,-48.85554826824991,-97.90369565678184,-47.86910233955158,-97.90365666737718,1.144246608477002,2.130665084700353,2.1775340610151734,1.1443968975721848,2.1308952004582298,-47.81644780603128,-97.90379321060472,1.144422603127111,-147.90372454506328,-148.8828088849083,2.183582563148132,1.144422603127111,1.1442753685227054,-47.82225406275868,-148.88280926741209,-148.88281508220723,-47.869163108245345,2.177741299860206,2.183370450018853,2.1775375796797167,-97.9036022717396,2.1306606083541837,2.1835074780718853,2.1307408869674007,-148.8828275027606,-97.9038861040914,-98.88289306271076,-148.88281369488695,-47.82241676760596,-147.9036019223863,-47.822354308945584,-47.816480060153765,2.1307968344931805,-47.81638179206612,-48.85590402254022,-148.8830965702154,-98.88290110062174,-47.81640853990417,2.130899570145838,-147.90367964049716,1.1443655133071995,-147.90368712597657,-47.869100671973705,-147.90367967270421,2.183429329631509,2.1776183591773646,2.177725553902429,-47.86911844768125,2.1836130022317493,2.1776918491035797,-148.88282828281928,-47.82232698369035	0.9990443117099597	2.1836155486520314	0	true	2
28	6	6	100	0	0	0	0	0	-97.7420489441397	2.337756253321858	2.337756253321858	2.337756253321858	2.3376958538749255,1.3023629479768957,-47.71071192164807,-148.72289874992234,2.2892880187332696,-148.72287744571656,1.3023404906448324,-47.66829566866593,-47.66827442818458,-148.72297225563165,-148.72297225563165,-47.662279925842,-47.66251112706795,-48.69764555062082,-47.66829606542968,2.3316483577259643,2.337613997205694,1.3022905435122991,1.3023452153363864,-98.72293771723285,-47.66256990255738,1.3023069594207688,-97.74209905777617,-98.72305211023743,-98.72286952293763,2.289115576705539,-47.7107125602429,-47.662313312371595,2.3377218803712294,1.3023364537400866,2.331585451816523,-97.74207914612468,-97.74225743791632,-47.66838023020335,-97.74212894662679,-47.710702515501914,-47.7107354935777,-97.74207720289178,-47.710723244073115,-47.71075434852136,-98.72290729758475,-47.71073738483511,-147.74202058589242,-47.7108166467422,2.2888741774415022,2.3376365133163075,2.2891560142170353,-98.72308731403204,-98.72309569777369,-47.71073481181136,-47.66830398989365,-97.74222957636763,-48.69770699167907,1.3022778840032325,-47.710701546123694,-47.710755200243604,2.289225482361093,-148.72321088447202,2.331543664022868,2.289263540561765,-48.69777742129603,-48.697668483955624,2.2890766240789326,2.289284364603386,-98.72309569777369,2.3376234156940443,2.3375691400794594,2.331597939637453,-98.72291800795114,-47.66832641220176,-148.72293646246644,-147.7420906590281,1.3023526434327306,-148.7228672364614,2.2893026899479376,2.2891319602177442,2.3313022647588313,2.2892868730886833,-148.72309990206085,1.302223023839108,-148.7229013229461,-98.72310666530193,2.3374604558766277,2.3377513105846273,-48.697693728007295,2.3316276871376647,-47.66225994423165,1.302363095157136,-47.668281918869674,2.337756253321858,2.3376959292486137,2.3314349798200364,1.3023657414721796,2.2892232975841176,-48.69764491202599,2.2893019488248116,-47.66231799973081,-148.722867349725,1.3021286676291255,-97.7420489441397	0.9990443117099597	2.337756253321858	0	true	1
29	6	6	100	0	0	0	0	0	2.4316538761797255	2.476337719070406	2.47634710080213	2.47634710080213	-47.56859126775057,-47.53062172245227,2.4761831544234143,-47.56839859316309,-97.59515324714029,2.43161441978315,-147.59518410872363,-47.53042938854163,1.4439438381704537,-148.57774366146486,2.4695549729576616,2.4693531311161285,-98.57792466017776,-147.59515356493426,1.443888909703539,2.431630271114824,-98.577828007176,2.469527542692648,-98.57781976896884,2.469575049590025,2.4695313205723286,-47.52371507420233,1.4439679364568356,2.4695430043865483,2.4694023650325736,2.4692731798676135,-48.55624986477072,-47.530432416323244,2.4695517084133876,-47.5236650609866,-147.59515866082143,2.4694494082132517,2.4694291244692055,1.4439476375325806,-148.57802845803616,-47.568386524922396,1.4439476375325806,2.469378692417892,-47.568469090629804,1.4439438381704537,-47.5304673386728,2.476321420931333,2.476253026394026,2.4760524710699525,-47.52370123745039,2.469540178255088,2.4762831922855737,2.4762831922855737,2.47622860380596,-98.57780260030367,2.476197250229419,-47.52375099030345,2.476321420931333,2.431644578472776,-47.56835366344117,2.4693878731243584,-47.56858002524796,2.4762125835536786,1.443807340456866,-98.57773773326757,1.4439012529520951,-97.59536192473854,-47.52371402606938,-148.5779522114481,-47.523702050768875,-148.5779841308261,2.431624622320466,-98.57789812892773,-47.568390874384036,-97.59517930104707,-147.59518917760735,-47.53043484941501,-48.55604164446156,-147.59521740540904,-47.523685669231575,2.4762482558629073,-98.57775435193874,2.476337719070406,-97.59514900054828,-48.556073585346546,-48.556043905497496,2.4762334724849016,-47.52365960011322,-98.57782452542745,-97.59536192473854,-98.57773738765728,-97.59516195116713,-97.59514900054828,-147.59528608976814,2.469509245815994,-98.57778379386235,-47.523685669231575,1.4438926870359226,-98.57786000438837,-47.568370166222195,-148.57778238474862,-47.53059817181205,-98.57782797399624,-147.59517744787163,2.4316538761797255	0.9990443117099597	2.476337719070406	0	true	1
30	6	6	100	0	0	0	0	0	-98.45191885817606	2.5961313071337924	2.5961320530620395	2.5961320530620395	2.5898118249594146,-98.45191390521948,2.5960366242811173,0.5671460648773752,2.5960047561667645,-148.45192319751263,-49.43261337701212,2.5961313071337924,2.5960018560957283,-47.41038274698818,-97.46727685636182,0.5673328646885528,-97.46729264853347,-148.45193307724028,0.5673212798166575,-97.46729617906142,2.5960545964611943,-147.46738484484445,2.55578767549247,2.596024931640891,-47.410122174284645,-49.43264568109785,-147.46731735936237,2.5897392047611243,-97.46742945981421,2.555731048134303,-98.45193220363089,-98.45226771646249,2.5959907496952392,-47.41012273825951,-147.46747490260404,-97.46727685636182,-97.46744241648103,-98.45209346792161,-97.46732264425101,2.5557700011141082,-97.46736725345323,-97.46742257240976,-98.45194054917792,-147.46728162611515,-47.410151493235695,-47.44449735528685,0.5673141331837329,-98.45209589384265,-148.45198681588107,2.5555910429249664,-47.44426579634693,2.5555497981001705,-98.45191577873936,2.5557700011141082,-147.46744769724904,-97.46732005719153,2.5959930029044838,2.596124990833587,-98.45209370429608,-47.444257551728036,-97.46726099750073,2.555434488282518,2.5961249009172924,-47.403905135440255,2.589813605420302,0.5673883040127544,-98.45191691490928,-98.45194452339794,0.5672502989780244,2.5898781049434954,-47.44424060155003,-47.410329985296684,-97.46726614620223,2.555759358655933,-98.45197051757668,0.5673637585114306,2.555749016718466,0.5673718782025352,2.5898785550344248,0.5673506194889003,-47.403914181230455,-47.40394189045382,0.5673747913137358,0.5673413798920465,-47.40394189045382,-98.45205581509165,-97.46761584159802,-98.45191885817606,-47.41014348634487,-98.45199748132553,-47.410155135955094,-98.45193259650749,-47.403899198242485,-47.44456509075195,-47.410154680020625,-148.45192375319,-47.41015137954797,-49.43266463748256,2.5898512797551674,-147.4675258919765,-47.403913515316624,-47.403878804462856,-97.46728867431345,-98.45191885817606	0.99887542860485	2.5961313071337924	0	true	1
31	6	6	100	0	0	0	0	0	-49.32783713717675	2.697382784165463	2.697398597149028	2.697398597149028	-147.35760422100657,2.697353580405126,0.6721424423993672,-147.35761326677334,-148.34448559233064,2.697346395925754,-97.3576335921403,-147.35759681156964,-47.30262653291925,-49.3278515266462,-148.34450152807543,0.672124519790736,-47.3379208335337,2.6972295653431373,-47.30262809073426,0.6720412174395511,2.697290792623974,-97.35769307321019,0.6721650931971496,2.692675849535267,2.662145087293423,-47.30731683052502,-97.35759194337,-98.3444897486809,-97.35773565037519,2.6925973889119525,0.6719925793074755,-98.34451259367304,-147.35761939741064,2.692643963176536,-98.34446455274589,2.6926645396398214,-47.30266251986833,-147.35759962938042,2.6926552050567283,0.6721529764241537,-97.35758358229496,-47.337889652796996,-97.35760767773111,0.6721113385622574,-49.32795286153728,-47.33801820029635,-148.34449034795023,-47.307571002064314,-49.32787759708814,-148.3444667026419,-97.35774188281593,2.697382784165463,-98.34448501457445,-47.302838186588964,-97.35759226197187,0.6720048839726999,2.6925682255509273,2.6620900967162,2.69730989371354,2.662109658213687,-97.3576377524698,0.6721446313685945,2.692668206708158,-148.34446699260792,-98.34470044113691,-47.33787864406456,-47.307317438393675,-148.34448167409622,2.6620889158265766,2.6620335950861898,-49.327836981915894,-147.35761791655926,-148.3446044214712,0.672155402993791,-47.307345783508865,-98.3445333345295,2.6926509765123794,2.69246547313563,2.6620985167926756,2.6925344455436675,-47.30733681745139,-47.307501088056455,2.6619936305755676,-49.32787345931122,-49.32785285116631,2.6620222129971967,0.6721638695479053,0.6720494072505792,-47.337857645493116,-49.327849236576384,0.6721650931971496,-47.30262234775647,2.69251706054155,-98.34460139832535,-147.35790367609252,-47.302624312649804,-49.327859075349245,-97.3576335921403,2.6621149530306694,-47.337871367478236,-97.3576315582561,-147.35760864257952,2.6620600104738963,-49.32783713717675	0.99887542860485	2.697382784165463	0	true	1
32	7	7	100	0	0	0	0	0	0.7691771864587933	2.789886528995944	2.789887403679415	2.789887403679415	-97.25606327012854,-148.2454908520718,2.7598933957374165,-147.25614283179823,1.7853008073902212,2.7598461479206207,2.7897771508530362,-47.21014438530957,-47.210127270856816,2.7897583560598775,0.7693434946896367,1.7852665686219245,2.7898734785494868,-49.23066506069491,1.785171225401336,-47.210167178769126,-47.210238606592796,2.7898701310747533,1.7853077846215961,-148.24548125512337,-49.23070166246781,2.75982598008798,-98.24547830071342,2.7598913231081172,-148.24550432580278,0.7692956629730319,0.7692968727684633,2.789878125644068,-97.25605437462852,-49.23065987112467,-147.25614316472803,-98.24549491270102,-49.23065467521366,2.7597933192596966,2.7898533905438234,-47.240393324517285,-97.25605894482119,-47.2101375173197,2.7898423627930775,1.7853080806166612,2.789880892150222,1.7852649013044197,0.7692562571610293,0.7693274805293894,-48.21471045429537,-49.230670722810856,-47.210114996021424,0.7693464867520943,2.7597605266203233,2.759852375044501,-98.24548872549991,-47.21011555073055,2.7598517359926342,2.7898717107450293,-98.24561603061221,2.7598693882768046,0.7692184077743958,-98.245528581833,-49.230675176173634,-48.21471242786322,-98.24567480688816,-148.24549704741486,-148.2454907622669,-47.24020284273972,-97.25610812243887,-98.24549222584334,-47.2403134960729,-49.23067887120132,2.789886528995944,-147.25606233757856,0.7693305419004479,2.789859207243556,1.7852752572436736,-49.23070038340496,-47.210124057382465,2.789846436202655,0.7693462792045853,-147.25604537825586,1.7852353820380262,-148.2454907622669,2.7598318666196313,-47.21013156739417,0.7692767049358226,1.7853016769345356,0.7692298858978581,2.7898801997078237,1.7852951974423747,-97.25604822064695,-147.2560462361294,1.7853082881641702,-98.24548757874877,-48.21469287380158,-97.25604866595039,-49.23094259966944,-148.2454983663876,-147.2561803207069,-47.240116122318184,-47.24012300818242,2.789859207243556,0.7691771864587933	0.9987036576717526	2.789886528995944	0	true	0
33	7	7	100	0	0	0	0	0	-148.16583845794491	2.8632295774191125	2.8632334947107854	2.8632334947107854	-148.16565639133484,0.8454396262563655,-48.14063660812869,2.820253355839892,-98.17447472877406,1.8594161251576136,-148.1745517555319,-49.15448621445688,-148.174494222551,-49.15463815898074,2.82032536833643,-49.15459631448272,-47.1368493678364,1.859432954787529,-148.17462138395427,-47.16168446768722,-98.16578303159007,-47.16168502837764,1.8594281541246587,-48.14055832553319,0.8455088811574026,-47.16179265377218,-148.1745846760894,2.838320650787764,-48.14058889069974,-98.16566661540894,1.8592525603555594,1.859400993649619,-48.14056830660431,-48.140573506757924,-98.17459310704042,-47.17965183554346,-47.1616783875303,2.8383108187850516,2.8632295774191125,-98.17451647532272,-48.140572724377876,-148.1656875575399,-47.161671745331425,1.8593153764309,2.838326599577121,2.8382341793535675,-47.16170145351872,-48.14058914951895,-47.13677855730388,-98.16575274832448,2.8383211817886496,-148.1656869537519,-47.136855338413326,-98.17447833561509,1.859423292964917,2.820355434728639,1.8594360919416957,2.863208182322212,-48.14055798331387,2.863175349169562,2.820356167298832,-148.17448067620182,-148.1745066125424,-49.15446013347306,-47.136774174772015,2.8203655034663075,-48.14056458566409,-98.16566492223255,-98.16567891229695,-98.17447508626408,-148.17448661768253,-98.174497693551,-98.17450883523568,1.8592602446181585,-98.17454951025218,0.8455214971040724,2.8202489887184066,2.8382446727144752,0.8455259521342372,-98.16566013264811,-148.16569741063623,0.8455309154148838,-148.17448228072126,2.8383043317344687,-148.17448813073162,-148.16566275943526,2.838253275498387,2.8632248492213903,2.820365549263437,-47.16169692513937,-48.1405911740319,2.820284338786093,0.8455348245565258,-47.16186986750546,0.8454996652015223,0.8454660802439732,-47.13690766837838,1.8593637489699026,1.85943680135605,0.8455309154148838,-47.17964717678054,-49.15446545384976,2.8632069136195812,-148.16583845794491	0.9986204224270916	2.8632295774191125	0	true	1
