# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 78ee803e-4ade-4778-948c-8452f9c1431f
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	34752	75240	601920	0	0	-7.09316423454289	-1.921581337331581	45.50728544381133	46.088713799447476	-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289	0.9975653416775723	-1.921581337331581	11	true	234
25	9	9	100	34814	75240	601920	0	0	20.20291811089443	27.463096988125116	47.06398506212222	46.843054248429745	2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,2.136211295749593,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,-1.4759323679226313,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,5.405622901664799,7.394234562888215,7.394234562888215,7.394234562888215,7.394234562888215,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,13.971995192290848,18.23902195670479,18.23902195670479,18.23902195670479,18.23902195670479,22.13593205126827,22.13593205126827,22.13593205126827,25.465020152140042,25.465020152140042,27.463096988125116,27.463096988125116,27.463096988125116,26.386054078298955,26.386054078298955,26.386054078298955,24.12562197037787,24.12562197037787,24.12562197037787,24.12562197037787,24.12562197037787,24.12562197037787,20.20291811089443,20.20291811089443	0.9975653416775723	27.463096988125116	7	true	113
26	9	9	100	34723	75240	601920	0	0	27.71010449339059	27.71010449339059	44.6876083915429	44.6876083915429	3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,3.115948339767808,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,6.386702390452392,9.69760924218605,9.69760924218605,9.69760924218605,9.69760924218605,9.69760924218605,9.69760924218605,9.69760924218605,9.69760924218605,9.69760924218605,11.929856863967009,11.929856863967009,11.929856863967009,11.929856863967009,11.929856863967009,11.929856863967009,11.929856863967009,11.929856863967009,13.22666915314207,13.22666915314207,13.22666915314207,18.740008105320868,18.740008105320868,18.734447464805342,17.810976538843462,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,15.919404495450657,25.335443048191465,27.145594353453546,27.145594353453546,27.145594353453546,27.145594353453546,27.145594353453546,27.71010449339059,27.71010449339059,27.71010449339059	0.9975653416775723	27.71010449339059	8	true	155
27	10	10	100	34912	75240	601920	0	0	25.876115927181147	28.323943095853977	44.04652881654561	44.42954083621941	10.254063256300991,10.254063256300991,10.254063256300991,10.254063256300991,10.254063256300991,12.488640635446307,12.488640635446307,16.52159159216703,16.52159159216703,16.52159159216703,16.52159159216703,16.52159159216703,18.406260113987756,19.322913385116685,19.32164122971797,19.32164122971797,19.32164122971797,19.32164122971797,19.32164122971797,19.32164122971797,19.32164122971797,19.32164122971797,18.400141966049908,18.400141966049908,18.400141966049908,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,16.5098103731492,22.41799040170214,22.41799040170214,22.41799040170214,22.41799040170214,22.41799040170214,22.41799040170214,22.41799040170214,22.41799040170214,22.41799040170214,22.41799040170214,22.41799040170214,25.93953247637333,27.75501475789217,27.75501475789217,27.75501475789217,27.75501475789217,27.75501475789217,27.75501475789217,28.323943095853977,27.72317971773919,27.72317971773919,27.72317971773919,27.72317971773919,27.72317971773919,27.72317971773919,27.72317971773919,25.876115927181147,25.876115927181147,25.876115927181147,25.876115927181147,25.876115927181147,25.876115927181147	0.997262083184068	28.323943095853977	8	true	97
28	10	10	100	35610	82764	662112	0	0	45.6731847944331	45.6731847944331	51.57721029262575	51.57721029262575	35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,35.04514525001148,37.03723198383525,37.03723198383525,37.03723198383525,37.03723198383525,37.03723198383525,37.03723198383525,37.03723198383525,37.03723198383525,41.64778825678122,41.64778825678122,41.64778825678122,41.64778825678122,41.64778825678122,41.64778825678122,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331,45.6731847944331	0.9970015206790418	45.6731847944331	3	true	59
29	12	12	100	35610	82764	662112	0	0	44.279574117612256	44.293595885270335	48.44968272076978	48.85460736529674	23.777671399154325,23.777671399154325,23.777671399154325,23.777671399154325,23.777671399154325,25.280105557343354,25.280105557343354,25.769807898249113,30.387000488195795,30.387000488195795,29.311324372429695,29.311324372429695,29.311324372429695,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,34.418128250617116,37.6653646352378,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,42.274232978133185,44.293595885270335,44.293595885270335,44.293595885270335,44.293595885270335,44.293595885270335,44.293595885270335,44.279574117612256,44.279574117612256,44.279574117612256,44.279574117612256,44.279574117612256,44.279574117612256,44.279574117612256	0.9966696763439367	44.293595885270335	4	true	50
30	13	13	100	36473	97812	782496	0	0	41.71293720388972	43.0248217961131	47.1638466020698	47.941397016071235	25.991672875075132,25.991672875075132,25.991672875075132,25.991672875075132,31.09938193489807,31.099294140763583,31.099294140763583,35.13188470030347,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,37.74950727540391,39.749476075448946,39.749476075448946,39.749476075448946,39.749476075448946,39.749476075448946,39.749476075448946,39.749476075448946,38.38846784860715,38.38846784860715,38.38846784860715,38.38846784860715,38.38846784860715,38.38846784860715,40.999415982771346,40.999415982771346,43.0248217961131,43.0248217961131,43.0248217961131,43.0248217961131,43.0248217961131,43.0248217961131,43.0248217961131,43.0248217961131,43.0248217961131,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,43.01508737449163,41.71299675269505,41.71299675269505,41.71299675269505,41.71299675269505,41.71299675269505,41.71299675269505,41.71299675269505,41.71299675269505,41.71299675269505,41.71299675269505,41.71299675269505,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972,41.71293720388972	0.9965839188191344	43.0248217961131	5	true	52
31	13	13	100	37189	105336	842688	0	0	21.89048204373951	26.374752142972575	43.81446561033204	44.36616614447083	21.92810071854303,21.92810071854303,21.92810071854303,21.92810071854303,21.92810071854303,21.92810071854303,25.300322898988398,25.300322898988398,25.300322898988398,25.300322898988398,25.300322898988398,25.300322898988398,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,26.374752142972575,24.52934186250878,24.52934186250878,24.52934186250878,25.016424964737013,25.016424964737013,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951,21.89048204373951	0.9960483181143581	26.374752142972575	9	true	126
32	13	13	100	37111	105336	842688	0	0	2.927205125951083	11.632343399079872	42.02583719594684	44.10454224873188	10.821463641145266,10.821463641145266,10.821463641145266,10.821463641145266,11.632343399079872,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,11.632163940654394,10.807646776313597,10.807646776313597,9.140960891015766,9.140960891015766,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,-2.2759879993530845,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,6.564794000708105,2.927205125951083,2.927205125951083,2.927205125951083,2.927205125951083	0.9955863021910939	11.632343399079872	11	true	123
33	15	15	100	36942	105336	842688	0	0	11.16164049417921	11.98637571737752	44.07513379111	44.07513379111	6.9694300421292645,6.9694300421292645,6.9694300421292645,6.9694300421292645,6.9694300421292645,11.175863972718291,11.175863972718291,11.98637571737752,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,6.920159280746006,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,9.495687529579705,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.98583108949132,11.16164049417921,11.16164049417921,11.16164049417921,11.16164049417921	0.9953466855776751	11.98637571737752	11	true	72
