# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0e31dcb6-b27c-4add-9deb-58f2f8e811b8
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	23	1334	7866	62928	0	0	45.03305543551479	45.419996539711484	45.03305543551479	46.0421357575572	14.906238930564744,20.791320473167286,25.739613728737698,33.96881813137095,33.96881813137095,33.96881813137095,36.718995253369116,36.718995253369116,39.746314912044625,39.746314912044625,39.746314912044625,42.52112533801434,44.0129699052949,44.0129699052949,44.0129699052949,44.0129699052949,45.419996539711484,44.40992878804436,44.41060555811841,44.41060555811841,44.41060555811841,45.03305543551479,45.03305543551479	0.9975653416775723	45.419996539711484	0	true	41
25	9	9	15	870	5130	41040	0	0	45.43357682759959	45.43357682759959	45.43357682759959	45.43357682759959	23.00258742672245,28.924755383490833,35.20502174666115,35.20502174666115,38.60393158031606,33.901356144189776,37.93508271085699,38.92904874338272,40.2392098481571,43.474714326039006,43.474714326039006,43.474714326039006,43.474714326039006,45.43357682759959,45.43357682759959	0.9975653416775723	45.43357682759959	0	true	6
26	9	9	15	870	5130	41040	0	0	45.4069906499952	45.4069906499952	45.4069906499952	45.4069906499952	20.198885276861255,25.36762450672623,30.8785564380526,34.92785537616906,34.92785537616906,34.92785537616906,34.92785537616906,42.40211673947727,44.355945823022445,42.482101151300306,44.50414522863955,44.55499970071883,44.55499970071883,45.4069906499952,45.4069906499952	0.9975653416775723	45.4069906499952	0	true	3
27	9	9	12	696	4104	32832	0	0	44.39363383579927	44.39363383579927	44.39363383579927	44.39363383579927	29.713716432480446,33.856987961835735,33.856987961835735,38.19285037247869,42.439201461909995,42.439201461909995,42.439201461909995,42.439201461909995,42.439201461909995,42.439201461909995,44.39363383579927,44.39363383579927	0.9975653416775723	44.39363383579927	0	true	8
28	10	10	16	928	5472	43776	0	0	44.12151024821896	44.12151024821896	44.12151024821896	44.12151024821896	25.96309867248923,30.26824039678631,31.69759418296016,35.70644655356752,40.10097342925752,40.10097342925752,42.00951010046626,42.00951010046626,42.00951010046626,42.00951010046626,42.00951010046626,44.05422474387708,44.05422474387708,44.05422474387708,44.12151024821896,44.12151024821896	0.9970015206790418	44.12151024821896	0	true	3
29	12	12	6	372	2052	16416	0	0	49.60690175429092	49.60690175429092	49.60690175429092	49.60690175429092	39.353499404976866,43.13796709230446,46.43330496688573,48.33165257189975,49.60690175429092,49.60690175429092	0.9966696763439367	49.60690175429092	0	true	2
30	13	13	4	280	1368	10944	0	0	48.78589320341743	48.78589320341743	48.78589320341743	48.78589320341743	45.9050459268565,48.23081257070875,48.78589320341743,48.78589320341743	0.9965839188191344	48.78589320341743	0	true	2
31	13	13	13	962	4446	35568	0	0	49.594355310207696	49.594355310207696	49.594355310207696	49.594355310207696	45.68696575078964,47.40794667363121,48.07745305731071,48.07745305731071,48.07745305731071,48.07745305731071,48.07745305731071,47.41351291938377,46.166462837779605,46.77224679125933,48.77064512295589,49.594355310207696,49.594355310207696	0.9964077978666628	49.594355310207696	0	true	3
32	13	13	6	444	2052	16416	0	0	43.408865229422446	43.408865229422446	43.408865229422446	43.408865229422446	37.606361081548144,34.90308303628068,39.18122045526558,41.916050373037315,43.408865229422446,43.408865229422446	0.9955863021910939	43.408865229422446	0	true	2
33	14	14	14	1036	4788	38304	0	0	43.58773483594984	43.58773483594984	43.58773483594984	43.58773483594984	17.02594133713096,22.293895048166952,27.21241730143798,27.21241730143798,31.357090673829788,35.14214104213028,35.14214104213028,38.41260764302955,38.41260764302955,41.24337255770199,41.24337255770199,41.24337255770199,43.58773483594984,43.58773483594984	0.99540882871159	43.58773483594984	0	true	3
34	15	15	15	1170	5130	41040	0	0	43.24795803487403	43.24795803487403	43.24795803487403	43.24795803487403	17.37406354982337,20.992234732210918,25.527825547553668,28.560768858059237,30.8317794982665,31.12799741663747,38.150645749866236,40.74974889937346,42.65735587804634,42.65735587804634,42.65735587804634,42.65735587804634,42.65735587804634,43.24795803487403,43.24795803487403	0.9953466855776751	43.24795803487403	0	true	3
35	17	17	13	1066	4446	35568	0	0	46.10480646135215	46.10480646135215	46.10480646135215	46.10480646135215	18.8399077194615,27.01682035124208,27.01682035124208,30.62466486705513,35.25214336032311,38.28524128603008,37.562700007445024,41.23183574827391,43.93978850116488,45.54728867173885,44.70458489249719,46.10480646135215,46.10480646135215	0.9952186707218108	46.10480646135215	0	true	3
36	17	16	25	2250	8550	68400	0	0	39.34898834511516	39.34898834511516	39.34898834511516	39.34898834511516	8.59423656590811,19.318647911947863,22.99359598780051,28.59321923939063,30.551960137348086,30.551960137348086,30.551960137348086,34.45328201152292,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,36.128520216193586,38.71330294172898,38.71330294172898,38.71330294172898,39.34898834511516,39.34898834511516	0.994762247680599	39.34898834511516	0	true	4
