# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 314f1c0c-4d23-400a-b53f-f67b8bbd8f3d
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	68800	668844	5350752	0	0	-2313.228599423268	-1773.434696877944	-154.44293531120826	-148.2788238302627	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2087.795839103581,-2087.795839103581,-2087.795839103581,-2087.7958418303306,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958480813836,-2087.7958539793635,-2087.7958539793635,-2087.7958539793635,-2087.795884051759,-2087.795884051759,-2087.795895655514,-2087.795895655514,-2087.795906184567,-2087.79591019819,-2087.795951011787,-2087.795951011787,-2087.795951011787,-1787.7960508544015,-1787.7960508544015,-1787.7960508544015,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1783.3644279196142,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1774.8985459448877,-1775.065221062335,-1776.584913745238,-1776.584913745238,-1773.434696877944,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1981.3470139386673,-2086.8497210774685,-2086.8497210774685,-2086.8497210774685,-2088.2784829636234,-2107.141827375595,-2115.0307694176977,-2115.0307694176977,-2313.228599423268,-2313.228599423268	0.9977516614149626	-1773.434696877944	13	false	697
24	13	13	100	78200	687060	5496480	0	0	-2433.9138469471654	-1482.723899362769	-151.0969732114502	-73.35360448234847	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2111.7574048473452,-2111.757410516733,-2111.757410516733,-2111.757410516733,-2111.7574149658085,-2111.7574149658085,-2111.7574149658085,-2111.7574258496165,-2111.7574258496165,-2111.7574258496165,-2111.7574258496165,-2111.7574258496165,-2111.75743621765,-2111.75743621765,-2111.7574928774125,-2111.7574928774125,-2111.757495800996,-2111.757495800996,-2111.757497442204,-2111.757499179319,-2111.757499179319,-2111.757499179319,-2111.757499179319,-2111.757499179319,-2111.757499179319,-2111.757499179319,-2111.757499179319,-2111.757503708482,-2111.757503708482,-2111.7575048764047,-2111.7575071106494,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575452012575,-2111.7575841223147,-2111.7575841223147,-2111.7575841223147,-2111.7575841223147,-2111.757586126071,-2111.757586126071,-2111.757586126071,-2111.757586126071,-2111.757586126071,-2111.757586126071,-2111.757586126071,-2111.757586126071,-1511.7575842975261,-1505.8433317110466,-1505.8433317110466,-1500.3254577563011,-1500.3254577563011,-1485.8261123675836,-1485.8261123675836,-1482.723899362769,-1482.7516673917926,-1482.7516673917926,-1482.7516673917926,-1482.7516673917926,-1581.4697577765758,-1681.5556324787688,-1783.0069165786797,-1783.0069369354037,-1783.0069369354037,-1783.0069369354037,-2374.5600419696107,-2372.0629506499654,-2367.462137966419,-2372.077397701465,-2372.0774129174197,-2372.0774129174197,-2373.435545288971,-2378.7616713900265,-2399.0319087209223,-2405.4450180561494,-2410.0924119439433,-2412.128454151082,-2433.396579227104,-2441.33325090768,-2437.2635893014512,-2433.9138469471654	0.9975615034251832	-1482.723899362769	15	true	438
25	15	15	100	72600	726660	5813280	0	0	-2130.5521823602217	-1195.7155944601905	-94.73797723618807	2.286964383828516	-2097.4468516655156,-2097.4468516655156,-1797.4468624532,-1797.4468632500211,-1797.4468638436347,-1497.4468676331915,-1497.4468823966167,-1497.4468940165673,-1497.4469026622726,-1497.4469026622726,-1497.4469026622726,-1497.4469082336802,-1497.4469082336802,-1497.4469197476722,-1195.7155944601905,-1195.8540285912636,-1195.8540285912636,-1195.8540285912636,-1195.8540285912636,-1495.8540463211536,-1495.8540463211536,-1495.8540463211536,-1495.8540463211536,-1495.8540463211536,-1495.8540463211536,-1495.8541005864338,-1495.8541005864338,-1495.8541005864338,-1495.8541005864338,-1495.8541005864338,-1495.8541005864338,-1495.8541005864338,-1495.8541005864338,-1495.8541005864338,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.854135508596,-1495.8541812823362,-1495.8541812823362,-1495.8541812823362,-1495.8542300535837,-1495.8542300535837,-1495.8542300535837,-1495.8542300535837,-1585.913893567199,-1685.2137525756307,-1788.5545923872583,-1788.5545923872583,-1788.5545923872583,-1788.5546544284089,-1788.5546544284089,-1778.4106678917597,-1776.1756150670308,-1767.528461793944,-1767.584133301343,-1778.5079973903948,-1778.5079973903948,-1778.5079973903948,-1778.5079973903948,-1782.4497412381506,-1788.7414700733796,-1788.7414700733796,-1891.0084888012682,-2101.6928308858087,-2103.2011261992843,-2105.751006630112,-2109.476992286961,-2130.5521864406687,-2130.5521823602217,-2130.5521823602217,-2130.5521823602217,-2130.5521823602217	0.9966306358339244	-1195.7155944601905	16	true	367
26	15	15	100	74000	723492	5787936	0	0	-1793.9698575837378	-879.0583810780871	-102.51808217467263	0.7215157927565734	-2078.899844487707,-2078.899844487707,-1778.8998779304927,-1778.8998779304927,-1480.729658876239,-1480.7296810620444,-1780.7296832989077,-1780.7296832989077,-1780.7296839199616,-1780.7296858902264,-1780.7296858902264,-1780.7296872900074,-1780.7296872900074,-1779.0583073067417,-1779.0583073067417,-1779.0583073067417,-1779.058309564806,-1779.058309564806,-1779.0583144074265,-1779.0583144074265,-1779.0583144074265,-1779.0583202300666,-1779.0583202300666,-1779.0583202300666,-1779.0583202300666,-1779.0583202300666,-1779.0583202300666,-1779.0583202300666,-1779.05837822757,-1779.0583836751941,-1779.0583836751941,-1779.0583836751941,-1779.0583836751941,-1179.0583794390782,-1179.0583794390782,-879.0583810780871,-879.0583810780871,-1179.0583996274954,-1179.0583996274954,-1179.0583996274954,-1179.0583996274954,-1179.0583996274954,-1179.0583996274954,-1179.0583996274954,-1179.0583996274954,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058410564128,-1779.058422265801,-1779.058422265801,-1779.058422265801,-1779.058422265801,-1779.058422265801,-1779.058422265801,-1779.058422265801,-1779.058422265801,-1779.058435356674,-1779.058435356674,-1779.058435356674,-1779.058435356674,-1779.058435356674,-1779.058435356674,-1774.6892009782246,-1769.9243604578892,-1769.9243604578892,-1769.9243604578892,-1769.9243604578892,-1771.2028382172912,-1771.2028382172912,-1867.1360964035407,-1965.5483192146426,-2072.23330462559,-2078.529023043475,-2078.529023043475,-2077.250545284073,-2087.180109979411,-2087.180109979411,-2087.180109979411,-2087.180109979411,-2089.5113768055126,-1995.6417885555884,-1904.4027017569247,-1797.6690278726396,-1691.2917927325332,-1691.2917927325332,-1587.3069941673427,-1587.3069941673427,-1793.9698575837378	0.9960817657423182	-879.0583810780871	14	true	375
27	15	15	100	81200	719928	5759424	0	0	-1778.6317307354232	-1481.0029239009252	-93.28416831863258	-140.8914446341234	-1783.247148489001,-1783.247148489001,-1783.24717280568,-1783.24717280568,-1783.2471939573443,-1784.0134287358371,-1784.013430583784,-1784.013430583784,-1482.7562841852507,-1482.7562841852507,-1482.7562841852507,-1481.0029239009252,-1481.0029239009252,-1780.6892377696388,-1780.6892377696388,-1780.68924042118,-1780.68924042118,-1780.6893156345104,-1780.6893183525622,-1780.6893183525622,-1780.6893183525622,-1780.689386568308,-1780.689386568308,-1780.689386568308,-1780.6894198469815,-1780.6894661145864,-1780.6894661145864,-1780.6895840629486,-1780.6895840629486,-1780.6896416911504,-1780.6896416911504,-1780.6896508029877,-1780.6896508029877,-1780.6896508029877,-1780.6896508029877,-1780.6896508029877,-1780.6896508029877,-1780.6896508029877,-1780.6896508029877,-1780.6896508029877,-1780.6896508029877,-1780.689656925283,-1780.689656925283,-1780.689656925283,-1780.689656925283,-1780.689656925283,-1780.689656925283,-1780.6896636946094,-1780.6896636946094,-1780.6896636946094,-1780.6896636946094,-1780.6896636946094,-1780.6896636946094,-1780.6896636946094,-1780.6896636946094,-1780.6896636946094,-1780.6896636946094,-1780.6896675274556,-1780.6896675274556,-1780.6896675274556,-1780.6896675274556,-1780.6896675274556,-1780.6896675274556,-1780.6896675274556,-1780.6896675274556,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1780.689634248782,-1775.9468354215132,-1770.0811140775568,-1770.0811140775568,-1770.0813596361206,-1770.0813596361206,-1762.393177071905,-1770.195461523171,-1770.195461523171,-1770.195461523171,-1770.195461523171,-1770.195461523171,-1770.195215964607,-1770.195215964607,-1778.8483230756237,-1770.2197314929745,-1768.953619752442,-1768.953619752442,-1768.953619752442,-1768.953619752442,-1769.9331230120422,-1778.6317307354232,-1778.6317307354232,-1778.6317307354232,-1778.6317307354232	0.9960817657423182	-1481.0029239009252	14	true	362
28	15	15	100	78800	712800	5702400	0	0	-2069.512661839086	-2061.070225482232	-86.30867957730294	-90.74199004162942	-2079.1663921436184,-2079.1663921436184,-2079.1664089413775,-2079.1664092103833,-2079.1664262472686,-2079.1664402359515,-2079.1664402359515,-2079.1664450959975,-2079.166445098442,-2077.331461780521,-2077.331461780521,-2077.331461780521,-2077.331461780521,-2077.331461780521,-2077.331461780521,-2075.5937170911748,-2075.5937170911748,-2075.5937194349485,-2074.863863682538,-2074.863863682538,-2074.863863682538,-2074.863863682538,-2074.863863682538,-2074.8639018073786,-2074.8639018073786,-2075.134309880905,-2075.134328682464,-2075.134328682464,-2075.134333748285,-2075.134333748285,-2075.134336892973,-2075.134336892973,-2075.134370205426,-2075.134370205426,-2075.134370205426,-2075.134370205426,-2075.134370205426,-2075.134370205426,-2075.134370205426,-2075.134367060738,-2075.134367060738,-2075.134367060738,-2075.1345122916737,-2075.1345700474667,-2075.1345700474667,-2075.1345700474667,-2075.1345700474667,-2075.1345700474667,-2075.1345700474667,-2075.134564981646,-2075.134564981646,-2075.134564981646,-2075.134564981646,-2075.134564981646,-2075.134564981646,-2075.134564981646,-2075.134564981646,-2075.134564981646,-2075.134652979441,-2075.134652979441,-2075.134669029968,-2075.134669029968,-2075.134669029968,-2075.134674095789,-2075.134674095789,-2075.134662921867,-2075.134662921867,-2075.1346426452387,-2075.1346426452387,-2075.1346426452387,-2075.1346426452387,-2075.1346426452387,-2075.1346426452387,-2075.1346426452387,-2075.1346426452387,-2075.1346426452387,-2075.134645789927,-2075.134645789927,-2066.7245215433545,-2068.0647222746156,-2069.3431254513525,-2069.3431254513525,-2061.070225482232,-2068.873547205187,-2068.873547205187,-2068.873547205187,-2068.8735201931195,-2068.8735201931195,-2066.8401068590733,-2068.8733985345293,-2073.4919018550368,-2073.4919018550368,-2073.4919018550368,-2069.4764344005976,-2069.512661839086,-2069.512661839086,-2069.512661839086,-2069.512661839086,-2069.512661839086,-2069.512661839086	0.9960817657423182	-2061.070225482232	11	true	324
29	15	15	100	82600	706464	5651712	0	0	-2069.2689707147597	-1174.5768286123314	-85.92705530448292	-42.34526568762121	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2077.303184241547,-2075.4212219046944,-2075.4212415276197,-2075.4212415276197,-2075.4212415276197,-2075.4212498130614,-2075.421249283187,-2075.4212612383303,-2075.4212612383303,-2075.4212612383303,-2074.096093587179,-2074.0961824386027,-2074.0961824386027,-2074.0961824386027,-2073.8305868387374,-2073.830596491246,-2073.8306419650075,-2074.5764508592542,-2074.576629021863,-2074.576629021863,-2074.576629021863,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.5766331799578,-2074.576642316655,-2074.5767366018335,-2074.5767366018335,-2074.5767366018335,-2074.5767366018335,-2074.5767366018335,-2074.5767366018335,-2074.5767366018335,-2074.5767600197714,-2074.5767600197714,-2074.5767600197714,-2074.5767600197714,-2074.5767600197714,-2074.5767600197714,-2074.5768460264217,-2074.5768460264217,-2074.5768349128934,-2074.5768349128934,-1174.5768524947805,-1174.5768524947805,-1174.5768286123314,-1174.5768286123314,-1174.5768286123314,-1174.5768286123314,-1174.5768286123314,-1174.5768286123314,-1174.5768286123314,-1174.5768286123314,-1174.5768286123314,-1174.5768286123314,-2074.5768455105963,-2074.5768455105963,-2074.5768455105963,-2074.5768455105963,-2074.5768455105963,-2073.99236660966,-2070.55572316312,-2069.141220019602,-2069.141220019602,-2068.5558989900223,-2069.140377890958,-2071.082711680514,-2071.0827020280053,-2071.0827020280053,-2071.0827020280053,-2071.0827020280053,-2066.6354136709415,-2066.6354136709415,-2068.683269973441,-2069.268980490425,-2073.3183140713986,-2073.3183140713986,-2073.3183140713986,-2073.3183140713986,-2073.3183140713986,-2073.3183042957335,-2069.2689707147597	0.9960817657423182	-1174.5768286123314	14	true	474
30	15	14	100	80800	687456	5499648	0	0	-1777.6373103695967	-1777.6373103695967	-104.56012835176605	-104.56012835176605	-2097.4354391204647,-2097.4354391204647,-2097.4354468155666,-2097.4354498004545,-2097.435465676272,-2097.435465676272,-2095.454105406454,-2095.497860477881,-2095.497873347328,-2095.4978786357533,-2095.4978786357533,-2092.718624588625,-2092.718624588625,-2090.867386207822,-2090.8674053750883,-2090.8674053750883,-2089.863690415315,-2089.8637323840608,-2089.8638711359313,-2089.8638711359313,-2089.8638711359313,-2089.8638711359313,-2089.8638711359313,-2089.8638711359313,-2089.8638711359313,-2089.8638952444057,-2089.863904427154,-2089.863904427154,-2089.863904427154,-2089.863904427154,-2089.863904427154,-2089.8639286940593,-2089.864002396056,-2089.864002396056,-2089.864002396056,-2089.864002396056,-2089.864002396056,-2089.864002396056,-2089.864002396056,-2089.8640152223797,-2089.8640152223797,-2089.8640152223797,-2089.8640152223797,-2089.8640152223797,-2089.8640152223797,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.8640608755804,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2089.864148014621,-2084.652799772963,-2077.522940033627,-2077.522940033627,-2077.522940033627,-2077.522940033627,-2077.637277059546,-2077.637277059546,-2077.637277059546,-2077.637277059546,-2077.637277059546,-1777.6373163676546,-1777.6373163676546,-1777.6373163676546,-1777.6373163676546,-1777.6373103695967,-1777.6373103695967,-1777.6373103695967,-1777.6373103695967,-1777.6373103695967	0.9959217654498799	-1777.6373103695967	14	true	350
31	15	14	100	76800	681120	5448960	0	0	-1482.112453406727	-1482.112453406727	-95.40079372167196	-95.40079372167196	-2095.1108554971556,-2095.1108554971556,-2095.110973560607,-2095.110974531409,-2095.113262470968,-2095.113264790092,-2095.113281308257,-2095.113296344872,-2095.113296344872,-2095.1132973208328,-2095.1132973208328,-2089.3590397249473,-1789.3590506669739,-1789.3590506669739,-1789.3591291130604,-1789.3591349295184,-2089.3591467628357,-2089.3591467628357,-2089.3591467628357,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.359160776242,-2089.3591847493503,-2089.3592717512447,-2089.3592717512447,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.359273092191,-2089.3592212873396,-2089.359191675662,-2089.35918409602,-2089.35918409602,-2089.35918409602,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.359172370102,-2089.3591692605114,-2089.3591692605114,-2089.359167355303,-2089.359167355303,-2397.1770099687255,-2397.1769943201148,-2391.1033299691535,-2391.1033299691535,-2381.998197033742,-2081.998195824896,-2081.998195824896,-2082.112457474089,-2082.112457474089,-2082.112457474089,-2082.112457474089,-2082.112457474089,-1482.112453406727,-1482.112453406727,-1482.112453406727,-1482.112453406727,-1482.112453406727,-1482.112453406727,-1482.112453406727	0.9957118678763863	-1482.112453406727	14	true	342
32	16	16	100	72200	718344	5746752	0	0	-1173.949806173758	-1168.8221758315592	-46.34790114593167	53.61352372918317	-2082.174078092318,-2082.174078092318,-2082.174132810695,-2082.174145658198,-2077.560290044795,-2073.551079636809,-2073.551098359171,-2073.5511023598015,-1773.5511148633022,-1473.55113074799,-1472.1238489201648,-1472.2827910200565,-1472.2827910200565,-1472.282910279579,-1472.282910279579,-1472.282914903756,-1472.282914903756,-1472.282914903756,-1472.282914903756,-1472.282914903756,-1472.2829401684673,-1472.2829401684673,-1472.2829401684673,-1472.2829401684673,-1472.282982207428,-1472.282982207428,-1472.282982207428,-1472.282982207428,-1472.282982207428,-1472.282982207428,-1472.2829703636023,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830341959573,-1472.2830325283746,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.283033472131,-1472.2830095959218,-1472.2830095959218,-1472.2830095959218,-1472.2830095959218,-1472.2830095959218,-1472.2830095959218,-1472.2830095959218,-1472.282979206714,-1472.282979206714,-1472.282979206714,-1474.6974658571783,-1478.233718538363,-1478.2337095256948,-1477.3160994984075,-1477.3160994984075,-1477.3160994984075,-1482.8613271929428,-1482.8613271929428,-1484.1620262842468,-1184.1620274456443,-1184.1620185467527,-1184.1620185467527,-1184.047421776536,-1188.6408922871806,-1188.6408922871806,-1182.0414983632897,-1168.8221758315592,-1173.949799843361,-1173.94980636904,-1173.949806173758,-1173.949806173758,-1173.949806173758,-1173.949806173758,-1173.949806173758,-1173.949806173758,-1173.949806173758	0.9955252557007185	-1168.8221758315592	11	true	364
