# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: c04b956f-bb77-408b-b45b-74cbd77cf549
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	1.5479167997405379	1.5702754224014286	1.5702754224014286	1.5702754224014286	1.5212379681698165,1.5702754224014286,1.5702754224014286,1.5702754224014286,1.5212379681698165,1.5212379681698165,1.5212379681698165,1.5212379681698165,1.5479167997405379,1.5212379681698165,1.5702754224014286,1.5702754224014286,1.5479167997405379,1.5702754224014286,1.5702754224014286,1.5702754224014286,1.5702754224014286,1.5479167997405379,1.5479167997405379,1.5212379681698165,1.5479167997405379,1.5212379681698165,1.5212379681698165,1.5479167997405379,1.5702754224014286,1.5702754224014286,1.5479167997405379,1.5702754224014286,1.5479167997405379,1.5212379681698165,1.5479167997405379,1.5212379681698165,1.5479167997405379,1.5702754224014286,1.5479167997405379,1.5212379681698165,1.5702754224014286,1.5212379681698165,1.5702754224014286,1.5702754224014286,1.5702754224014286,1.5212379681698165,1.5702754224014286,1.5212379681698165,1.5479167997405379,1.5479167997405379,1.5212379681698165,1.5479167997405379,1.5479167997405379,1.5479167997405379,1.5212379681698165,1.5212379681698165,1.5212379681698165,1.5702754224014286,1.5702754224014286,1.5212379681698165,1.5212379681698165,1.5479167997405379,1.5212379681698165,1.5479167997405379,1.5702754224014286,1.5212379681698165,1.5702754224014286,1.5479167997405379,1.5702754224014286,1.5212379681698165,1.5212379681698165,1.5702754224014286,1.5702754224014286,1.5479167997405379,1.5702754224014286,1.5702754224014286,1.5212379681698165,1.5702754224014286,1.5702754224014286,1.5702754224014286,1.5212379681698165,1.5479167997405379,1.5702754224014286,1.5702754224014286,1.5212379681698165,1.5702754224014286,1.5212379681698165,1.5702754224014286,1.5212379681698165,1.5702754224014286,1.5479167997405379,1.5702754224014286,1.5212379681698165,1.5212379681698165,1.5212379681698165,1.5212379681698165,1.5479167997405379,1.5212379681698165,1.5479167997405379,1.5212379681698165,1.5702754224014286,1.5479167997405379,1.5702754224014286,1.5479167997405379	0.9991239280309399	1.5702754224014286	0	true	7
25	6	6	100	0	0	0	0	0	1.721210218684735	1.824801726841993	1.824801726841993	1.824801726841993	1.721210218684735,0.7461055181102256,1.721210218684735,1.7658827177232763,1.721210218684735,1.7658827177232763,1.824801726841993,1.7658827177232763,1.824801726841993,1.7658827177232763,1.721210218684735,1.824801726841993,1.824801726841993,1.7658827177232763,0.7461055181102256,1.721210218684735,1.7658827177232763,1.721210218684735,1.824801726841993,1.721210218684735,1.7658827177232763,0.7461055181102256,1.7658827177232763,1.824801726841993,1.7658827177232763,1.721210218684735,0.7461055181102256,0.7461055181102256,1.824801726841993,1.824801726841993,1.824801726841993,1.721210218684735,1.824801726841993,1.824801726841993,0.7461055181102256,1.7658827177232763,1.721210218684735,1.721210218684735,1.824801726841993,1.7658827177232763,1.721210218684735,1.824801726841993,1.7658827177232763,1.7658827177232763,1.7658827177232763,0.7461055181102256,1.7658827177232763,1.824801726841993,0.7461055181102256,1.824801726841993,1.824801726841993,0.7461055181102256,1.7658827177232763,0.7461055181102256,0.7461055181102256,1.7658827177232763,1.824801726841993,0.7461055181102256,1.824801726841993,0.7461055181102256,1.7658827177232763,1.824801726841993,1.7658827177232763,1.721210218684735,1.7658827177232763,0.7461055181102256,1.721210218684735,1.824801726841993,1.824801726841993,1.824801726841993,1.7658827177232763,1.721210218684735,1.7658827177232763,1.721210218684735,0.7461055181102256,1.721210218684735,1.824801726841993,1.824801726841993,1.7658827177232763,1.824801726841993,0.7461055181102256,0.7461055181102256,1.7658827177232763,1.721210218684735,0.7461055181102256,1.7658827177232763,1.721210218684735,1.824801726841993,1.721210218684735,1.824801726841993,1.824801726841993,1.721210218684735,1.7658827177232763,0.7461055181102256,0.7461055181102256,0.7461055181102256,1.824801726841993,1.7658827177232763,1.824801726841993,1.721210218684735	0.9990443117099597	1.824801726841993	0	true	1
26	6	6	100	0	0	0	0	0	1.9964154317397553	2.0019887596022	2.0019887596022	2.0019887596022	2.0019887596022,1.9964154317397553,1.9461840829150707,0.9290100550289557,0.9599564305764703,1.9964154317397553,0.9290100550289557,1.9067356995700429,0.9599564305764703,0.9290100550289557,0.9290100550289557,1.9067356995700429,1.9461840829150707,1.9964154317397553,1.9067356995700429,1.9461840829150707,0.9599564305764703,1.9461840829150707,1.9461840829150707,1.9461840829150707,0.9290100550289557,0.9599564305764703,0.9290100550289557,1.9461840829150707,1.9067356995700429,1.9067356995700429,1.9964154317397553,0.9290100550289557,1.9461840829150707,1.9964154317397553,1.9461840829150707,1.9461840829150707,1.9964154317397553,1.9461840829150707,1.9964154317397553,1.9964154317397553,0.9290100550289557,2.0019887596022,1.9461840829150707,1.9461840829150707,1.9461840829150707,0.9290100550289557,1.9964154317397553,0.9290100550289557,0.9599564305764703,1.9964154317397553,2.0019887596022,1.9964154317397553,0.9290100550289557,1.9964154317397553,0.9599564305764703,2.0019887596022,1.9461840829150707,2.0019887596022,0.9599564305764703,1.9964154317397553,1.9964154317397553,1.9964154317397553,1.9067356995700429,0.9290100550289557,1.9964154317397553,1.9461840829150707,1.9067356995700429,0.9599564305764703,1.9964154317397553,1.9964154317397553,1.9067356995700429,2.0019887596022,1.9067356995700429,1.9461840829150707,0.9290100550289557,1.9461840829150707,2.0019887596022,1.9461840829150707,1.9964154317397553,1.9461840829150707,1.9964154317397553,1.9461840829150707,1.9964154317397553,1.9067356995700429,0.9290100550289557,1.9067356995700429,1.9067356995700429,2.0019887596022,0.9290100550289557,0.9599564305764703,0.9290100550289557,0.9599564305764703,1.9964154317397553,0.9290100550289557,2.0019887596022,0.9290100550289557,1.9067356995700429,0.9599564305764703,2.0019887596022,0.9290100550289557,1.9964154317397553,1.9964154317397553,0.9290100550289557,1.9964154317397553	0.9990443117099597	2.0019887596022	0	true	1
27	6	6	100	0	0	0	0	0	2.1096341903188525	2.1624927338010815	2.1624927338010815	2.1624927338010815	2.155812051026613,2.1624927338010815,1.1230612018317159,2.155812051026613,1.1230612018317159,2.155812051026613,2.1096341903188525,1.0954781445613864,1.1230612018317159,1.0954781445613864,2.1096341903188525,1.1230612018317159,2.1096341903188525,2.0736708942354376,1.0954781445613864,1.0954781445613864,2.1624927338010815,2.0736708942354376,2.1096341903188525,1.0954781445613864,2.0736708942354376,1.1230612018317159,2.155812051026613,2.1624927338010815,2.1624927338010815,2.0736708942354376,2.1624927338010815,2.0736708942354376,2.0736708942354376,2.1096341903188525,2.1624927338010815,1.0954781445613864,2.1096341903188525,2.1624927338010815,2.155812051026613,1.0954781445613864,2.155812051026613,2.1624927338010815,2.1624927338010815,2.1096341903188525,2.1096341903188525,2.0736708942354376,2.0736708942354376,1.0954781445613864,2.155812051026613,1.1230612018317159,2.0736708942354376,2.1624927338010815,2.1624927338010815,1.1230612018317159,1.0954781445613864,1.1230612018317159,2.155812051026613,2.1096341903188525,2.1096341903188525,2.0736708942354376,2.155812051026613,2.1624927338010815,2.1624927338010815,2.1624927338010815,2.155812051026613,1.1230612018317159,2.1096341903188525,2.155812051026613,1.1230612018317159,2.0736708942354376,2.1096341903188525,2.0736708942354376,2.0736708942354376,2.155812051026613,1.1230612018317159,2.155812051026613,1.1230612018317159,1.1230612018317159,2.1624927338010815,1.0954781445613864,2.155812051026613,2.1096341903188525,2.1096341903188525,2.0736708942354376,2.0736708942354376,2.1096341903188525,1.1230612018317159,1.1230612018317159,2.1624927338010815,2.0736708942354376,2.0736708942354376,1.0954781445613864,2.1624927338010815,2.1096341903188525,2.155812051026613,1.1230612018317159,2.155812051026613,2.0736708942354376,2.155812051026613,2.1624927338010815,1.0954781445613864,1.0954781445613864,1.0954781445613864,2.1096341903188525	0.9990443117099597	2.1624927338010815	0	true	1
28	6	6	100	0	0	0	0	0	1.2748739083259517	2.3108399686026955	2.3108399686026955	2.3108399686026955	2.262383073707763,1.2492266570355426,2.2309108755796974,1.2748739083259517,2.262383073707763,2.2309108755796974,2.3108399686026955,2.3108399686026955,2.262383073707763,1.2748739083259517,1.2748739083259517,1.2492266570355426,2.3108399686026955,2.3108399686026955,2.2309108755796974,1.2492266570355426,2.304906979913036,2.262383073707763,2.304906979913036,2.262383073707763,1.2492266570355426,2.262383073707763,2.262383073707763,2.3108399686026955,2.2309108755796974,2.304906979913036,2.304906979913036,2.262383073707763,1.2492266570355426,1.2492266570355426,2.3108399686026955,2.304906979913036,1.2748739083259517,1.2492266570355426,1.2748739083259517,2.304906979913036,1.2748739083259517,2.304906979913036,1.2748739083259517,2.2309108755796974,2.3108399686026955,2.3108399686026955,2.3108399686026955,1.2492266570355426,2.304906979913036,2.2309108755796974,1.2748739083259517,1.2492266570355426,1.2492266570355426,2.304906979913036,2.3108399686026955,1.2492266570355426,1.2492266570355426,2.262383073707763,1.2748739083259517,1.2748739083259517,1.2492266570355426,2.262383073707763,1.2748739083259517,2.2309108755796974,1.2748739083259517,1.2748739083259517,2.304906979913036,2.304906979913036,1.2492266570355426,1.2492266570355426,2.304906979913036,1.2748739083259517,2.2309108755796974,2.304906979913036,2.262383073707763,2.2309108755796974,2.262383073707763,2.2309108755796974,2.3108399686026955,2.304906979913036,2.262383073707763,2.262383073707763,2.262383073707763,2.3108399686026955,2.3108399686026955,2.262383073707763,2.2309108755796974,2.2309108755796974,2.304906979913036,2.262383073707763,2.304906979913036,2.3108399686026955,1.2748739083259517,2.304906979913036,2.3108399686026955,2.2309108755796974,1.2748739083259517,1.2492266570355426,1.2492266570355426,1.2748739083259517,2.304906979913036,2.304906979913036,2.3108399686026955,1.2748739083259517	0.9990443117099597	2.3108399686026955	0	true	1
29	6	6	100	0	0	0	0	0	2.444962960477891	2.444962960477891	2.444962960477891	2.444962960477891	2.3718650647114194,1.3897575292201805,1.4118934218633319,2.4384412737585834,2.3718650647114194,1.4118934218633319,2.3997801072741494,2.4384412737585834,2.3718650647114194,1.4118934218633319,1.4118934218633319,1.3897575292201805,2.4384412737585834,2.4384412737585834,2.444962960477891,1.3897575292201805,2.3997801072741494,2.444962960477891,2.4384412737585834,2.3997801072741494,2.4384412737585834,2.3718650647114194,1.3897575292201805,1.4118934218633319,2.3997801072741494,2.3718650647114194,2.3718650647114194,2.444962960477891,2.444962960477891,2.3718650647114194,1.3897575292201805,2.3997801072741494,2.4384412737585834,2.3997801072741494,2.444962960477891,1.3897575292201805,1.3897575292201805,1.3897575292201805,1.4118934218633319,2.4384412737585834,1.4118934218633319,1.4118934218633319,2.3997801072741494,2.3997801072741494,1.4118934218633319,2.4384412737585834,1.3897575292201805,1.3897575292201805,2.444962960477891,2.444962960477891,2.3718650647114194,1.3897575292201805,1.4118934218633319,1.4118934218633319,2.3997801072741494,2.4384412737585834,2.4384412737585834,2.4384412737585834,1.3897575292201805,2.3718650647114194,2.3997801072741494,2.3718650647114194,2.3718650647114194,2.3718650647114194,1.3897575292201805,2.444962960477891,1.3897575292201805,2.3718650647114194,1.4118934218633319,2.4384412737585834,1.3897575292201805,1.4118934218633319,2.444962960477891,2.4384412737585834,1.4118934218633319,2.4384412737585834,1.4118934218633319,2.3718650647114194,1.3897575292201805,2.3718650647114194,1.4118934218633319,1.3897575292201805,2.4384412737585834,1.3897575292201805,2.444962960477891,2.4384412737585834,2.4384412737585834,1.4118934218633319,2.3997801072741494,2.3718650647114194,1.3897575292201805,1.4118934218633319,2.3997801072741494,1.3897575292201805,2.3997801072741494,2.4384412737585834,2.444962960477891,1.4118934218633319,2.3718650647114194,2.444962960477891	0.9990443117099597	2.444962960477891	0	true	4
30	6	6	100	0	0	0	0	0	2.5217855933604367	2.563836322264526	2.563836322264526	2.563836322264526	1.5145325163421766,0.5342943777417177,2.5217855933604367,2.5573603557030853,2.4989115213160047,0.5342943777417177,2.5573603557030853,0.5342943777417177,2.5573603557030853,1.5145325163421766,1.5145325163421766,2.563836322264526,2.563836322264526,2.5217855933604367,0.5342943777417177,0.5342943777417177,2.5217855933604367,0.5342943777417177,2.5217855933604367,2.5217855933604367,2.4989115213160047,2.563836322264526,2.4989115213160047,1.5145325163421766,2.563836322264526,2.563836322264526,0.5342943777417177,2.5573603557030853,2.4989115213160047,1.5145325163421766,2.5217855933604367,2.4989115213160047,2.5217855933604367,2.4989115213160047,1.5145325163421766,1.5145325163421766,0.5342943777417177,2.4989115213160047,2.5573603557030853,1.5145325163421766,2.5217855933604367,2.4989115213160047,2.563836322264526,2.4989115213160047,2.5217855933604367,1.5145325163421766,0.5342943777417177,2.5217855933604367,2.563836322264526,2.5573603557030853,2.563836322264526,1.5145325163421766,1.5145325163421766,1.5145325163421766,1.5145325163421766,1.5145325163421766,2.5217855933604367,2.5573603557030853,2.563836322264526,2.563836322264526,2.5573603557030853,1.5145325163421766,2.5217855933604367,2.563836322264526,2.563836322264526,1.5145325163421766,2.5573603557030853,2.5573603557030853,2.5573603557030853,2.5573603557030853,2.5573603557030853,2.5217855933604367,0.5342943777417177,1.5145325163421766,1.5145325163421766,2.4989115213160047,2.563836322264526,2.4989115213160047,2.5573603557030853,2.563836322264526,2.5573603557030853,0.5342943777417177,0.5342943777417177,2.5217855933604367,2.4989115213160047,2.4989115213160047,2.5217855933604367,2.4989115213160047,0.5342943777417177,2.4989115213160047,0.5342943777417177,2.5573603557030853,0.5342943777417177,2.4989115213160047,2.563836322264526,2.563836322264526,0.5342943777417177,1.5145325163421766,2.5573603557030853,2.5217855933604367	0.99887542860485	2.563836322264526	0	true	0
31	6	6	100	0	0	0	0	0	2.6329379555287953	2.6695982300863843	2.6695982300863843	2.6695982300863843	2.6126882280936172,2.6695982300863843,0.6435114283441252,2.6643341026774534,2.6695982300863843,1.626576865404897,2.6329379555287953,1.626576865404897,2.6643341026774534,2.6329379555287953,0.6435114283441252,2.6329379555287953,1.626576865404897,2.6329379555287953,2.6126882280936172,2.6329379555287953,2.6643341026774534,2.6643341026774534,2.6126882280936172,1.626576865404897,2.6329379555287953,2.6695982300863843,2.6126882280936172,0.6435114283441252,2.6329379555287953,2.6695982300863843,1.626576865404897,2.6126882280936172,0.6435114283441252,1.626576865404897,2.6329379555287953,1.626576865404897,1.626576865404897,2.6126882280936172,1.626576865404897,0.6435114283441252,2.6126882280936172,2.6329379555287953,2.6126882280936172,2.6695982300863843,2.6126882280936172,2.6643341026774534,2.6126882280936172,2.6695982300863843,2.6126882280936172,1.626576865404897,2.6126882280936172,0.6435114283441252,0.6435114283441252,2.6329379555287953,2.6643341026774534,2.6695982300863843,0.6435114283441252,2.6695982300863843,2.6329379555287953,1.626576865404897,2.6643341026774534,2.6126882280936172,2.6643341026774534,2.6695982300863843,2.6126882280936172,0.6435114283441252,2.6643341026774534,1.626576865404897,0.6435114283441252,0.6435114283441252,0.6435114283441252,1.626576865404897,2.6643341026774534,2.6126882280936172,1.626576865404897,2.6643341026774534,1.626576865404897,2.6695982300863843,2.6695982300863843,2.6126882280936172,2.6643341026774534,2.6643341026774534,2.6126882280936172,2.6695982300863843,0.6435114283441252,1.626576865404897,2.6695982300863843,2.6695982300863843,2.6329379555287953,2.6695982300863843,2.6329379555287953,2.6329379555287953,2.6695982300863843,0.6435114283441252,2.6329379555287953,1.626576865404897,1.626576865404897,2.6643341026774534,2.6695982300863843,2.6643341026774534,1.626576865404897,2.6695982300863843,2.6643341026774534,2.6329379555287953	0.99887542860485	2.6695982300863843	0	true	1
32	7	7	100	0	0	0	0	0	2.7603854976238598	2.7603854976238598	2.7603854976238598	2.7603854976238598	1.722601724439524,2.7280315976849394,2.7603854976238598,1.7548396268405517,0.737399564525618,2.710479599831501,2.710479599831501,2.710479599831501,1.7548396268405517,2.7280315976849394,2.710479599831501,2.7603854976238598,1.722601724439524,2.7280315976849394,2.7603854976238598,2.7280315976849394,2.710479599831501,1.722601724439524,1.7548396268405517,2.7603854976238598,2.7603854976238598,2.710479599831501,2.7280315976849394,1.7548396268405517,1.722601724439524,2.7280315976849394,0.737399564525618,0.737399564525618,2.710479599831501,2.7603854976238598,2.7280315976849394,2.7280315976849394,2.710479599831501,1.7548396268405517,0.737399564525618,2.7280315976849394,2.710479599831501,1.7548396268405517,1.722601724439524,2.7280315976849394,2.7603854976238598,2.7603854976238598,2.7603854976238598,2.7280315976849394,2.7603854976238598,2.7603854976238598,2.710479599831501,1.7548396268405517,2.7603854976238598,1.722601724439524,0.737399564525618,1.722601724439524,2.7603854976238598,1.722601724439524,2.710479599831501,1.722601724439524,2.710479599831501,2.7280315976849394,1.722601724439524,1.7548396268405517,1.722601724439524,2.710479599831501,2.710479599831501,1.7548396268405517,2.7280315976849394,1.7548396268405517,0.737399564525618,1.7548396268405517,1.7548396268405517,2.7280315976849394,1.722601724439524,2.710479599831501,1.722601724439524,0.737399564525618,2.710479599831501,1.7548396268405517,1.722601724439524,2.7603854976238598,2.7603854976238598,2.7603854976238598,2.7280315976849394,2.7603854976238598,2.7603854976238598,2.7603854976238598,2.710479599831501,2.7603854976238598,2.710479599831501,0.737399564525618,2.7280315976849394,0.737399564525618,0.737399564525618,1.7548396268405517,2.7603854976238598,2.710479599831501,1.7548396268405517,2.7603854976238598,2.7280315976849394,2.7280315976849394,1.7548396268405517,2.7603854976238598	0.9987036576717526	2.7603854976238598	0	true	2
33	7	7	100	0	0	0	0	0	2.837247894903781	2.837247894903781	2.837247894903781	2.837247894903781	2.7917848684933237,2.837247894903781,2.837247894903781,1.7957924835430767,1.8061755521031966,1.8331081525924764,2.837247894903781,0.8179776496931028,2.837247894903781,0.8179776496931028,2.810660122746789,1.8061755521031966,1.8061755521031966,0.8179776496931028,1.7957924835430767,2.7917848684933237,2.810660122746789,2.7917848684933237,0.8179776496931028,1.8331081525924764,2.7917848684933237,1.7957924835430767,2.837247894903781,1.8061755521031966,1.7957924835430767,0.8179776496931028,1.8061755521031966,2.837247894903781,0.8179776496931028,0.8179776496931028,0.8179776496931028,2.837247894903781,2.810660122746789,1.7957924835430767,1.7957924835430767,1.8061755521031966,0.8179776496931028,2.837247894903781,0.8179776496931028,1.8061755521031966,1.7957924835430767,0.8179776496931028,2.837247894903781,2.7917848684933237,0.8179776496931028,0.8179776496931028,1.7957924835430767,2.837247894903781,1.8061755521031966,1.8061755521031966,2.837247894903781,1.8061755521031966,2.7917848684933237,1.7957924835430767,2.810660122746789,1.7957924835430767,1.7957924835430767,1.8061755521031966,0.8179776496931028,1.7957924835430767,2.810660122746789,1.8061755521031966,1.7957924835430767,0.8179776496931028,2.837247894903781,1.8061755521031966,1.8331081525924764,1.8061755521031966,0.8179776496931028,1.7957924835430767,1.8331081525924764,1.8331081525924764,0.8179776496931028,2.7917848684933237,2.837247894903781,1.7957924835430767,1.8331081525924764,2.7917848684933237,1.8061755521031966,2.810660122746789,1.7957924835430767,1.8061755521031966,2.7917848684933237,1.8061755521031966,1.8061755521031966,1.7957924835430767,1.8331081525924764,1.7957924835430767,1.8061755521031966,2.7917848684933237,2.810660122746789,1.8331081525924764,2.837247894903781,1.7957924835430767,1.8331081525924764,2.7917848684933237,2.810660122746789,0.8179776496931028,1.8331081525924764,2.837247894903781	0.9986204224270916	2.837247894903781	0	true	1
