# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 5a8e1a32-4f4d-4b52-9b6a-a4b6a50902e6
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	481	2	16	0	0	1.697132711725244	1.697132711725244	1.697132711725244	1.697132711725244	1.697132711725244	0.9991239280309399	1.697132711725244	0	true	7
25	6	6	6	2886	12	96	0	0	1.9166372789756032	1.9166372789756032	1.9166372789756032	1.9166372789756032	1.9116780819957788,1.9116780819957788,1.9116780819957788,1.9116780819957788,1.9166372789756032,1.9166372789756032	0.9990443117099597	1.9166372789756032	0	true	4
26	6	6	1	481	2	16	0	0	2.110713004825294	2.110713004825294	2.110713004825294	2.110713004825294	2.110713004825294	0.9990443117099597	2.110713004825294	0	true	2
27	6	6	1	481	2	16	0	0	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295	0.9990443117099597	2.2439078341090295	0	true	1
28	6	6	2	962	4	32	0	0	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284,2.405021444597284	0.9990443117099597	2.405021444597284	0	true	3
29	6	6	30	14430	60	480	0	0	2.545931671342405	2.545931671342405	2.545931671342405	2.545931671342405	2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.545931671342405,2.545931671342405	0.9990443117099597	2.545931671342405	0	true	8
30	6	6	2	962	4	32	0	0	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246,2.6698602317609246	0.99887542860485	2.6698602317609246	0	true	1
31	6	6	5	2405	10	80	0	0	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724353830130632,2.7724353830130632,2.7724353830130632,2.7724368099423553,2.7724368099423553	0.99887542860485	2.7724368099423553	0	true	1
32	7	7	1	481	2	16	0	0	2.8576350855871278	2.8576350855871278	2.8576350855871278	2.8576350855871278	2.8576350855871278	0.9987036576717526	2.8576350855871278	0	true	1
33	7	7	1	481	2	16	0	0	2.921243821010684	2.921243821010684	2.921243821010684	2.921243821010684	2.921243821010684	0.9986204224270916	2.921243821010684	0	true	1
