# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 7a344c99-7068-4004-92ad-e076742fd937
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	3	1446	6	48	0	0	2.9468601938154713	2.9468601938154713	2.9468601938154713	2.9468601938154713	-97.05299305539334,2.9468601938154713,2.9468601938154713	0.9991239280309399	2.9468601938154713	0	true	6
25	6	6	4	1936	8	64	0	0	2.969094522085114	2.969094522085114	2.969094522085114	2.969094522085114	1.9672801359608851,1.9672801359608851,2.969094522085114,2.969094522085114	0.9990443117099597	2.969094522085114	0	true	12
26	6	6	1	484	2	16	0	0	2.9997806220605883	2.9997806220605883	2.9997806220605883	2.9997806220605883	2.9997806220605883	0.9990443117099597	2.9997806220605883	0	true	1
27	6	6	1	484	2	16	0	0	2.9995553823896297	2.9995553823896297	2.9995553823896297	2.9995553823896297	2.9995553823896297	0.9990443117099597	2.9995553823896297	0	true	1
28	6	6	1	484	2	16	0	0	2.9989600848920794	2.9989600848920794	2.9989600848920794	2.9989600848920794	2.9989600848920794	0.9990443117099597	2.9989600848920794	0	true	2
29	6	6	1	484	2	16	0	0	2.999369302694923	2.999369302694923	2.999369302694923	2.999369302694923	2.999369302694923	0.9990443117099597	2.999369302694923	0	true	1
30	6	6	1	484	2	16	0	0	2.9996521363556723	2.9996521363556723	2.9996521363556723	2.9996521363556723	2.9996521363556723	0.99887542860485	2.9996521363556723	0	true	1
31	6	6	1	484	2	16	0	0	2.9996858664229156	2.9996858664229156	2.9996858664229156	2.9996858664229156	2.9996858664229156	0.99887542860485	2.9996858664229156	0	true	1
32	6	6	1	484	2	16	0	0	2.9995326508084506	2.9995326508084506	2.9995326508084506	2.9995326508084506	2.9995326508084506	0.9988428582917216	2.9995326508084506	0	true	1
33	7	7	1	484	2	16	0	0	2.99953979147956	2.99953979147956	2.99953979147956	2.99953979147956	2.99953979147956	0.9987036576717526	2.99953979147956	0	true	0
34	7	7	1	484	2	16	0	0	2.999276296454609	2.999276296454609	2.999276296454609	2.999276296454609	2.999276296454609	0.9987036576717526	2.999276296454609	0	true	1
35	8	8	17	8228	34	272	0	0	2.984709240124346	2.984709240124346	2.984709240124346	2.984709240124346	1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,1.9994735668586294,2.984702209315348,2.984702209315348,2.984702209315348,2.984702209315348,2.984709240124346,2.984709240124346	0.9983518909790103	2.984709240124346	0	true	13
36	8	8	1	481	2	16	0	0	2.99940168669908	2.99940168669908	2.99940168669908	2.99940168669908	2.99940168669908	0.9983518909790103	2.99940168669908	0	true	1
37	10	10	1	481	2	16	0	0	2.9994745679783783	2.9994745679783783	2.9994745679783783	2.9994745679783783	2.9994745679783783	0.9981269328342386	2.9994745679783783	0	true	1
38	10	10	1	483	2	16	0	0	2.999397422216519	2.999397422216519	2.999397422216519	2.999397422216519	2.999397422216519	0.9978048486266367	2.999397422216519	0	true	0
39	10	10	1	483	2	16	0	0	2.99904757397588	2.99904757397588	2.99904757397588	2.99904757397588	2.99904757397588	0.9978048486266367	2.99904757397588	0	true	0
40	11	11	4	1932	8	64	0	0	2.999433941698899	2.999433941698899	2.999433941698899	2.999433941698899	2.999433904388246,2.999433904388246,2.999433941698899,2.999433941698899	0.9975972905593614	2.999433941698899	0	true	1
41	11	11	13	6292	26	208	0	0	2.99996984465718	2.99996984465718	2.99996984465718	2.99996984465718	2.999159599247409,2.999159599247409,2.999159599247409,2.999159599247409,2.999159599247409,2.999159599247409,2.999159599247409,2.999159599247409,2.999159599247409,2.999159599247409,2.999159599247409,2.99996984465718,2.99996984465718	0.9975972905593614	2.99996984465718	0	true	2
42	12	12	10	4810	20	160	0	0	2.999371125398631	2.999371125398631	2.999371125398631	2.999371125398631	-47.00088442612469,-47.00088442612469,-47.00088442612469,2.9991154805853464,2.9991154805853464,2.9991154805853464,2.9991154805853464,2.9991154805853464,2.999371125398631,2.999371125398631	0.9975264473866985	2.999371125398631	0	true	1
43	13	13	24	11520	48	384	0	0	2.999742655467797	2.999742655467797	2.999742655467797	2.999742655467797	-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,-47.00025685357121,2.999742655467797,2.999742655467797	0.9975127758972373	2.999742655467797	0	true	1
44	14	14	5	2395	10	80	0	0	2.9996746111482135	2.9996746111482135	2.9996746111482135	2.9996746111482135	2.999195423082783,2.999195423082783,2.999195423082783,2.9996746111482135,2.9996746111482135	0.9973835181786945	2.9996746111482135	0	true	1
