# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: d82f4f79-4236-4d91-a9b3-ff590e060d8e
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	20	10972	14040	112320	0	0	-9.245769490874597	-9.245769490874597	-9.245769490874597	-9.245769490874597	-Infinity,-Infinity,-Infinity,-Infinity,-117.81580019437759,-117.81580019437759,-117.81580019437759,-117.81580019437759,-114.79675842205783,-114.79675842205783,-111.19779041566186,-109.24576878183655,-109.24576878183655,-59.245769000932256,-59.245769000932256,-59.245769000932256,-59.245769000932256,-59.245769000932256,-9.245769490874597,-9.245769490874597	0.9977623354120823	-9.245769490874597	0	true	129
25	14	14	35	19530	24570	196560	0	0	37.31188128660382	37.31188128660382	37.31188128660382	37.31188128660382	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,35.821026100805135,35.821026100805135,35.821026100805135,36.54657645721438,36.6106010155767,36.6106010155767,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188080347146,37.31188128660382,37.31188128660382	0.9968314678208231	37.31188128660382	0	true	43
26	14	14	23	12788	16146	129168	0	0	40.856671337842926	40.856671337842926	40.856671337842926	40.856671337842926	33.963596774216526,33.963596774216526,35.91690891260028,35.91690891260028,35.91714945441031,35.91714945441031,36.953702312053835,36.953707089996215,39.254015469564834,37.39691757389805,39.344147446635084,39.344147446635084,40.85612600909127,40.85612600909127,40.85612600909127,40.85612600909127,40.85612600909127,40.85616139251796,40.856517042578744,40.856517042578744,40.856517042578744,40.856671337842926,40.856671337842926	0.9962825977292168	40.856671337842926	0	true	30
27	14	14	13	7020	9126	73008	0	0	42.353021295557035	42.353021295557035	42.353021295557035	42.353021295557035	31.831300231196984,35.09369893277406,35.09372744776256,35.09374526705012,38.539244474619736,40.940872721448564,42.313006855487316,42.313006855487316,42.3528554250605,42.35297583406812,42.35297583406812,42.353021295557035,42.353021295557035	0.9962825977292168	42.353021295557035	0	true	18
28	14	14	18	9720	12636	101088	0	0	43.32370886895506	43.32370886895506	43.32370886895506	43.32370886895506	-13.804764698381998,-13.80470403828252,-12.582194332245017,-8.704321736137892,-8.675414378745037,-6.6763292173957876,-6.6763292173957876,-6.6763292173957876,-6.67630440575037,-6.67630285660155,-6.67630285660155,-6.676295850162957,-6.676295850162957,-6.676295850162957,-6.676295850162957,-6.676295850162957,43.32370886895506,43.32370886895506	0.9962825977292168	43.32370886895506	0	true	20
29	14	13	26	14040	18252	146016	0	0	43.20900153159378	43.20900153159378	43.20900153159378	43.20900153159378	-31.146782762510288,-31.146782762510288,-30.17626680236707,22.335204718456566,28.141425187045307,28.141425187045307,28.145664287097055,28.145741332952348,31.42099467006659,31.42099467006659,36.99748451670983,40.24345643886083,40.24345643886083,42.14264942363388,42.14264942363388,42.14264942363388,42.14264942363388,42.14264942363388,42.14264942363388,42.14264942363388,42.14264942363388,42.14264942363388,42.14264942363388,42.14264942363388,43.20900153159378,43.20900153159378	0.9962914805418883	43.20900153159378	0	true	25
30	14	13	26	14040	18252	146016	0	0	39.933518647289596	39.933518647289596	39.933518647289596	39.933518647289596	-Infinity,-Infinity,32.654561197679875,35.82314138616566,37.78155842153235,38.08044070677697,39.75417880231958,39.75417880231958,39.7541794673356,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.93351793126097,39.933518647289596,39.933518647289596	0.9961225974367784	39.933518647289596	0	true	25
31	14	13	31	16678	21762	174096	0	0	45.48969251779731	45.48969251779731	45.48969251779731	45.48969251779731	-26.322285535750808,-25.367321919445473,-11.029199394773716,40.920223463544815,40.92027801107592,40.92027801107592,43.48931803949719,43.48931803949719,43.48931803949719,43.48931803949719,43.48936091482739,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,44.48956931478594,45.48969251779731,45.48969251779731	0.9959126998632849	45.48969251779731	0	true	27
32	14	13	23	12328	16146	129168	0	0	40.775331800804246	40.775331800804246	40.775331800804246	40.775331800804246	20.951675318653955,24.893554130919803,28.82615157312012,32.11249485512903,34.07964728385545,34.07964728385545,37.28408672159449,37.28408672159449,38.54652785086574,38.54652785086574,38.54652785086574,38.80781392046963,38.80781392046963,38.823404434289955,38.823404434289955,40.391398688717295,40.391398688717295,40.391398688717295,40.391398688717295,40.391398688717295,40.391398688717295,40.775331800804246,40.775331800804246	0.9959126998632849	40.775331800804246	1	true	23
33	15	15	29	15486	20358	162864	0	0	46.65287653776383	46.65287653776383	46.65287653776383	46.65287653776383	-26.018556105863226,-26.01855197435281,29.06934734820851,29.069355004056533,29.069368971888835,29.069368971888835,29.069368971888835,29.069368971888835,34.176863534930426,34.176863534930426,34.176863534930426,34.17688849159136,34.17688849159136,37.98879649727573,41.03995377607916,41.03995377607916,43.55073417880043,45.328714204135,45.328748727530446,45.328748727530446,45.328748727530446,45.328748727530446,45.328748727530446,45.328748727530446,45.328748727530446,45.328748727530446,45.328748727530446,46.65287653776383,46.65287653776383	0.9957260876876175	46.65287653776383	0	true	25
34	15	14	32	17024	22464	179712	0	0	41.82776551855641	41.82776551855641	41.82776551855641	41.82776551855641	-45.739240422379076,-32.342112368529946,-29.87349790754827,20.126682010084323,26.138240312670497,36.046545980785,36.04656122016908,38.513821177794895,38.513821177794895,38.62180365102756,38.62180365102756,38.62180365102756,38.62180365102756,38.62180365102756,38.62180365102756,38.6219155770811,38.6219155770811,41.02696607027883,41.02696607027883,41.433334502130855,41.433334502130855,41.433334502130855,41.82770076542168,41.82774436416784,41.82774436416784,41.82774436416784,41.82774436416784,41.82774436416784,41.82774436416784,41.82774436416784,41.82776551855641,41.82776551855641	0.9957467045861633	41.82776551855641	0	true	29
35	15	13	26	13832	18252	146016	0	0	38.7578742448409	38.7578742448409	38.7578742448409	38.7578742448409	3.947510499530786,3.947642330962964,11.616183949930775,11.616183949930775,11.616183949930775,18.021858443528032,28.104135510495684,31.611746799026633,31.611746799026633,32.66957057592791,32.66957057592791,32.669574244152656,32.669574244152656,32.66960650312106,32.66960650312106,32.66960650312106,36.19396823350862,38.524677249120714,38.524677249120714,38.524677249120714,38.524677249120714,38.524677249120714,38.524677249120714,38.524677249120714,38.7578742448409,38.7578742448409	0.9953213165571241	38.7578742448409	0	true	25
36	15	13	23	12236	16146	129168	0	0	33.96334035817897	33.96334035817897	33.96334035817897	33.96334035817897	-77.35100441738795,-77.35100441738795,-74.34884091450644,-71.48403259751318,-71.48401059919861,-69.4037889420937,-69.4037889420937,-69.4037889420937,-67.89257069199772,-67.89257069199772,-66.036977607857,-66.036977607857,-16.036755021685643,-16.036755021685643,-16.036716821937908,-16.036716821937908,-16.036716821937908,-16.036716821937908,-16.036716821937908,-16.036716821937908,-16.036716821937908,33.96334035817897,33.96334035817897	0.9948050167786461	33.96334035817897	2	true	22
37	15	12	33	17556	23166	185328	0	0	24.267440876930948	24.267440876930948	24.267440876930948	24.267440876930948	-56.7899976173765,-53.54507914619136,-47.85947524534684,-42.562593397893906,-42.562593397893906,-37.72355812446588,12.276623245569644,12.276625416071509,15.23850572833626,20.535050741643968,20.535050741643968,20.535050741643968,21.846225206371404,23.095888928979313,23.095888928979313,24.267434744466264,24.267434744466264,24.267434744466264,24.267434744466264,24.267434744466264,24.267434744466264,24.267434744466264,24.267439057174947,24.267439057174947,24.267439057174947,24.267439057174947,24.267439057174947,24.267439057174947,24.267439057174947,24.267439057174947,24.267439057174947,24.267440876930948,24.267440876930948	0.9946092659068145	24.267440876930948	1	true	27
