# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 3e88bc7c-b498-4ddd-aa3d-57b410510257
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	18	1044	6156	49248	0	0	45.65416366977295	45.65416366977295	45.65416366977295	45.65416366977295	11.464689654108547,17.700071647699843,23.031727620424,32.6532593552154,32.6532593552154,32.6532593552154,34.07410699951194,34.07410699951194,34.07410699951194,37.676824981145764,37.676824981145764,37.676824981145764,41.157955169644296,44.17948693617078,44.17948693617078,44.17948693617078,45.65416366977295,45.65416366977295	0.9975653416775723	45.65416366977295	0	true	22
25	9	9	14	812	4788	38304	0	0	44.93711825774796	44.93711825774796	44.93711825774796	44.93711825774796	5.716793934647754,20.518481544922167,30.312318272198098,36.827437476411944,36.827437476411944,42.32882416690659,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,42.97223793709343,44.93711825774796,44.93711825774796	0.9975653416775723	44.93711825774796	0	true	7
26	9	9	13	754	4446	35568	0	0	47.36905859366922	47.36905859366922	47.36905859366922	47.36905859366922	35.41544628061363,38.74702553625869,38.74702553625869,41.015572487672614,45.377465905614145,46.026861285601214,46.026861285601214,45.404888533175665,45.404888533175665,45.404888533175665,45.404888533175665,47.36905859366922,47.36905859366922	0.9975653416775723	47.36905859366922	0	true	3
27	10	10	10	580	3420	27360	0	0	46.83981426440423	46.83981426440423	46.83981426440423	46.83981426440423	36.06685029153807,41.38302572811776,39.38437533482761,42.382883566973234,43.506120575627094,43.506120575627094,43.506120575627094,45.95855551416734,46.83981426440423,46.83981426440423	0.997262083184068	46.83981426440423	0	true	3
28	10	10	45	2790	15390	123120	0	0	52.27555248155272	52.27555248155272	52.27555248155272	52.27555248155272	36.82514728407369,40.103177291299694,42.09235808273189,42.85002143331154,46.008192093459556,46.008192093459556,49.27990193895074,49.27990193895074,50.35236443351144,51.28662422812185,51.29728525797262,51.29728525797262,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.309120701629524,51.30979989368103,51.30979989368103,51.30979989368103,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.218169283216554,52.27555248155272,52.27555248155272	0.9970015206790418	52.27555248155272	0	true	18
29	12	12	8	496	2736	21888	0	0	53.27345719019559	53.27345719019559	53.27345719019559	53.27345719019559	50.43820172095456,50.330291070371416,49.07783242643772,52.29389295231117,52.29389295231117,52.29389295231117,53.27345719019559,53.27345719019559	0.9966696763439367	53.27345719019559	0	true	3
30	13	13	6	420	2052	16416	0	0	52.65329448845184	52.65329448845184	52.65329448845184	52.65329448845184	51.16533945549404,52.63396583510956,52.63396583510956,52.63396583510956,52.65329448845184,52.65329448845184	0.9965839188191344	52.65329448845184	0	true	2
31	13	13	13	962	4446	35568	0	0	48.474934068651166	48.474934068651166	48.474934068651166	48.474934068651166	45.73957732299574,48.017507275867345,48.017507275867345,48.017507275867345,48.017507275867345,48.017507275867345,48.017507275867345,48.017507275867345,48.017507275867345,48.017507275867345,48.017507275867345,48.474934068651166,48.474934068651166	0.9960483181143581	48.474934068651166	0	true	2
32	13	13	6	444	2052	16416	0	0	46.59163368124507	46.59163368124507	46.59163368124507	46.59163368124507	44.07346698120027,44.310249515674485,44.310249515674485,45.96680606838667,46.59163368124507,46.59163368124507	0.9955863021910939	46.59163368124507	0	true	23
33	15	15	14	1036	4788	38304	0	0	47.27251642163586	47.27251642163586	47.27251642163586	47.27251642163586	32.08855522627373,35.121607685949144,44.045193400996425,44.85183120186423,44.85183120186423,44.85183120186423,40.54902223793087,40.54902223793087,45.29435914615274,45.29435914615274,45.29435914615274,45.29435914615274,47.27251642163586,47.27251642163586	0.9953466855776751	47.27251642163586	0	true	3
