# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ad788083-8e67-4f25-9b0d-02ed232ec958
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	68800	668844	5350752	0	0	-2313.228599423268	-1773.434696877944	-154.44293531120826	-148.2788238302627	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2087.795839103581,-2087.795839103581,-2087.795839103581,-2087.7958418303306,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958480813836,-2087.7958539793635,-2087.7958539793635,-2087.7958539793635,-2087.795884051759,-2087.795884051759,-2087.795895655514,-2087.795895655514,-2087.795906184567,-2087.79591019819,-2087.795951011787,-2087.795951011787,-2087.795951011787,-1787.7960508544015,-1787.7960508544015,-1787.7960508544015,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1783.3644279196142,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1774.8985459448877,-1775.065221062335,-1776.584913745238,-1776.584913745238,-1773.434696877944,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1981.3470139386673,-2086.8497210774685,-2086.8497210774685,-2086.8497210774685,-2088.2784829636234,-2107.141827375595,-2115.0307694176977,-2115.0307694176977,-2313.228599423268,-2313.228599423268	0.9977516614149626	-1773.434696877944	13	false	662
24	13	13	100	78200	687060	5496480	0	0	-2129.624536654655	-1481.3906174891538	-195.95937163710826	-63.78023613166122	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2111.757805781571,-2111.757805781571,-2111.757805781571,-1511.7578302341872,-1511.757830800337,-1511.757830800337,-1511.7578344577469,-1511.7578400082384,-1511.7578410936774,-1511.7578410936774,-1511.7578410936774,-2111.757847754778,-2111.7578514614693,-2111.75786244733,-2111.7578657851836,-2111.7578657851836,-2111.7578657851836,-2111.7578657851836,-2111.7578729113657,-2111.7578729113657,-2111.757930406813,-2111.757930406813,-2111.757926749403,-2111.7579326518467,-2111.7579326518467,-2111.757938853242,-2111.757938853242,-2111.757938853242,-2111.757938853242,-2111.757938853242,-2111.757938853242,-2111.7579409200303,-2111.7579409200303,-2111.7579409200303,-2111.7579409200303,-2111.7579409200303,-2111.7579409200303,-2111.7579409200303,-2111.7579409200303,-2111.7579409200303,-2111.7579480981117,-2111.7579480981117,-2111.7579480981117,-2111.7579480981117,-2111.7579480981117,-2111.7579480981117,-2111.7579480981117,-2111.7579480981117,-2111.7579480981117,-2111.7579480981117,-2111.7579502898457,-2111.7579589551397,-2111.757966790103,-2111.757966790103,-2111.757966790103,-2111.757966790103,-2111.757966790103,-2111.757966790103,-2111.757966790103,-2111.757966790103,-1511.7579639386956,-1511.7579639386956,-1505.8431341939222,-1505.8431341939222,-1500.325197316101,-1500.325197316101,-1485.8258448485083,-1482.7231684028807,-1481.3906174891538,-1482.7489756696125,-1482.7489756696125,-1482.7489756696125,-1482.7489756696125,-1581.4672794156002,-1681.5523736215575,-1783.0032291243397,-1783.0032291243397,-1783.0032291243397,-1783.0032291243397,-1774.5564842376327,-1772.0591075488048,-1772.0591075488048,-2372.0742056362246,-2372.0742056362246,-2373.4317479303736,-2373.4317479303736,-2375.6308708364627,-2199.029686875757,-2105.442991527509,-2105.4783643385845,-2112.86162313989,-2133.39389185948,-2141.331326901461,-2137.2620301711167,-2129.624536654655	0.9975615034251832	-1481.3906174891538	15	true	352
25	15	15	100	72600	726660	5813280	0	0	-1530.5552108976094	-895.8593360632071	-4.127920179902002	1.7751630500940347	-Infinity,-Infinity,-1797.4505573715744,-1797.4505573715744,-1797.4505575245716,-1497.4505609009284,-1497.450576404697,-1497.4505771360837,-1497.450590885185,-1497.450590885185,-1497.4505928086144,-1497.4505928086144,-1497.4505928086144,-1497.4505928086144,-1495.7206847327798,-1495.8592151748262,-1495.8592228882558,-1495.8592228882558,-1495.8592228882558,-1495.8592272360588,-1495.8592272360588,-1495.8592272360588,-1495.8592272360588,-1495.8592272360588,-1495.8592272360588,-1495.8592734578592,-1495.8592734578592,-1495.8592734578592,-1495.8592734578592,-1495.8592734578592,-1495.8592734578592,-1495.8592734578592,-1495.8592734578592,-1495.8592734578592,-1495.8592734578592,-1495.8593030730867,-1495.8593030730867,-1495.8593030730867,-1495.8593030730867,-1495.8593030730867,-1495.8593030730867,-1495.8593120647479,-1495.8593120647479,-1495.8593120647479,-1495.8593120647479,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593304080232,-1495.8593347821584,-895.8593360632071,-895.8593763328315,-895.8593763328315,-895.8593763328315,-895.8593763328315,-895.8593763328315,-895.8593763328315,-895.8593763328315,-895.8593763328315,-895.8593763328315,-895.8593763328315,-895.8593763328315,-985.9184260385418,-1085.2181573516739,-1188.5588687511276,-1188.5588687511276,-1188.5588687511276,-1188.5588687511276,-1182.3111828967087,-1182.3111828967087,-1176.1788672301548,-1166.2555009174016,-1166.3105365329864,-1178.5106805030862,-1178.5106805030862,-1178.5106805030862,-1178.5106805030862,-1188.7427434426158,-1188.7427434426158,-1188.7427434426158,-1291.0092510654501,-1501.6947152138173,-1603.2038675557696,-1705.7538531774117,-1809.4799147060787,-2130.5551744874315,-1530.5552108976094,-1530.5552108976094,-1530.5552108976094,-1530.5552108976094	0.9966306358339244	-895.8593360632071	16	true	433
26	15	15	100	74000	723492	5787936	0	0	-1793.9713073845376	-1482.0053296477618	-102.51229194112592	-47.015083060344466	-1782.0052962860009,-1782.0052962860009,-1482.0053296477618,-1482.0053304586236,-1483.8356261208999,-1483.8356347653823,-1483.8356347653823,-1483.8356347653823,-1483.8356347653823,-1783.8356357272028,-1783.8356357272028,-1783.8356357272028,-1783.8356357272028,-1782.1643571152756,-1782.1643700931345,-1782.16437633921,-1782.16437633921,-1782.16437633921,-1782.164394597259,-1782.164394597259,-1782.164415032829,-1782.164415032829,-1782.164415032829,-1782.164415032829,-1782.1644171102628,-1782.1644171102628,-1782.1644171102628,-1782.1644171102628,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1644556319666,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1645130619668,-1782.1646533562277,-1782.1646533562277,-1782.1646533562277,-1782.1646533562277,-1782.1646533562277,-1782.1646533562277,-1782.1646533562277,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1782.1646954989676,-1777.306524306924,-1771.2014496151508,-1771.2014496151508,-1771.2014496151508,-1769.9234890526907,-1771.2018944216964,-1771.2018944216964,-1867.1364661422617,-1969.1108164913908,-2068.28617056716,-2078.529260076228,-2078.529260076228,-2078.5288152696826,-2087.180668358198,-2087.180668358198,-2087.1806262154582,-2087.1806654154934,-2089.511420182861,-1995.6415740261446,-1904.4029197309214,-1797.668576603791,-1797.668576603791,-1691.2919279934601,-1587.307581482292,-1587.307581482292,-1793.9713073845376	0.9960817657423182	-1482.0053296477618	15	true	346
27	15	15	100	72600	711216	5689728	0	0	-1497.492212846254	-1486.8706140652378	-136.65315565304388	-136.00634277257208	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1779.3328340300977,-1779.3328340300977,-1779.3328390629686,-1777.5785603527197,-1777.5785603527197,-1777.5785603527197,-1777.5785911081139,-1777.5785911081139,-1777.5785911081139,-1777.5785911081139,-1777.5785911081139,-1777.5786412248858,-1777.5786348106171,-1777.5786348106171,-1777.5786345901788,-1777.5786345901788,-1777.5786700976037,-1777.5786700976037,-1777.5786700976037,-1777.5788101804233,-1777.5789250718813,-1777.5789250718813,-1777.5789250718813,-1777.5789282971423,-1777.5789282971423,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5789304306968,-1777.5788944752367,-1777.5788944752367,-1777.5788944752367,-1777.5788944752367,-1777.5788944752367,-1777.5788944752367,-1777.5788944752367,-1777.578900889505,-1777.578900889505,-1777.578900889505,-1777.578900889505,-1777.578900889505,-1777.578868121243,-1777.6935362638278,-1777.6935362638278,-1777.6935362638278,-1777.6935362638278,-1777.6935362638278,-1777.6935362638278,-1773.4415891724248,-1768.9144696691073,-1768.9144696691073,-1770.192697195787,-1770.192697195787,-1770.192697195787,-1770.192697195787,-1770.1926974162257,-1768.9145448214542,-1770.1929037563066,-1792.147950231154,-1796.7670270590552,-1796.7670270590552,-1796.7670270590552,-1788.139107807049,-1786.8731747576694,-1785.5321295728597,-1486.8706140652378,-1491.8377710387913,-1492.4115093165144,-1492.4115093165144,-1497.492212846254,-1497.492212846254,-1497.492212846254	0.9960817657423182	-1486.8706140652378	15	true	316
28	15	15	100	70200	700524	5604192	0	0	-2070.9748262631724	-1270.9506725811243	-42.20658488143387	-60.82399541382411	-1490.5379453201333,-1490.5379453201333,-1490.5380230094736,-1490.5380246819975,-1490.5380507504262,-1490.5380654919388,-1490.5384466288235,-1490.538469324544,-1488.7041850066555,-1488.7041850066555,-1488.7041850066555,-1488.7041850066555,-1488.7041850066555,-1488.7041850066555,-1488.704204969751,-1488.704204969751,-1488.704204969751,-1488.704204969751,-1488.7042247489178,-1488.7042247489178,-1488.7043716545757,-1488.7043716545757,-1488.7043716545757,-1488.704430805057,-1488.704430805057,-1488.7044883132164,-1488.7044883132164,-1488.7044883132164,-1488.7044883132164,-1488.7044883132164,-1488.7045089549317,-1488.7045089549317,-1488.7045089549317,-1488.7045089549317,-1488.7045089549317,-1488.7045089549317,-1488.70474958922,-1488.7046220621198,-1488.7046220621198,-1488.7046220621198,-1488.7047104527853,-1488.7046331102513,-1488.7046331102513,-1775.1318339984714,-1775.1318339984714,-1775.1318339984714,-1775.1318339984714,-1775.131455128538,-1775.131455128538,-1775.131455128538,-1775.131455128538,-1775.131455128538,-1775.1314807833573,-1775.1314807833573,-1775.1314807833573,-1775.1314807833573,-1775.1314464130614,-1775.1314464130614,-1775.1314464130614,-1775.1314464130614,-1775.1314464130614,-1775.1314464130614,-1775.1314464130614,-1775.1314464130614,-1775.1314464130614,-1767.480014443102,-1775.2438115387679,-1775.2438115387679,-1777.0794125972427,-1792.8215691158546,-1792.8215691158546,-1786.559771015612,-1777.1186224133505,-1775.29650946719,-1775.29650946719,-1775.29650946719,-1775.2965299078226,-1769.5053373348633,-1769.5053373348633,-1769.5053373348633,-1769.5053373348633,-1771.327450281024,-1766.2197431839488,-1766.2197431839488,-1766.219721211017,-1764.8875683161123,-1764.8875683161123,-1764.8875683161123,-1764.8875683161123,-1764.8875683161123,-1764.8875683161123,-1764.8875683161123,-1464.8875882195525,-1369.1850081386337,-1369.1850081386337,-1270.9506725811243,-1274.217042361891,-1774.2170494278935,-1878.2502640004652,-2070.9748262631724	0.9960817657423182	-1270.9506725811243	12	true	311
29	15	15	100	74200	700920	5607360	0	0	-2007.7689707940867	-1181.9236010281716	-93.56740899222558	6.214547437343171	-1483.805342832983,-1483.805342832983,-1483.8054199808253,-1483.8054312108957,-1483.8054486820095,-1483.8054486820095,-1483.8054647132917,-1481.9235753531839,-1481.9235780854337,-1481.9235780854337,-1481.9235780854337,-1181.9236010281716,-1181.9236010281716,-1181.9236010281716,-1181.9236010281716,-1181.9236793277255,-1181.9237558383702,-1181.923769284353,-1181.923769284353,-1481.9237823835633,-1481.9237823835633,-1481.923803401572,-1481.923803401572,-1481.923803401572,-1481.9238149704593,-1481.9238149704593,-1481.9238620884462,-1481.9238620884462,-1481.9238620884462,-1481.9238620884462,-1481.9240325406968,-1481.9240325406968,-1481.9240325406968,-1481.9240325406968,-1481.9240325406968,-1481.9240325406968,-1481.9239070226095,-1481.9239070226095,-1481.9239070226095,-1481.9239070226095,-1481.9239070226095,-1587.1178750898382,-1587.1178750898382,-1587.1178750898382,-1873.9661396836323,-1873.9660849802717,-1873.9660849802717,-1873.9660849802717,-1873.9660849802717,-1873.9660849802717,-1873.9660849802717,-1873.966063962263,-1873.966063962263,-1873.966063962263,-1873.9660505162801,-1873.9660505162801,-1873.9660505162801,-1873.9660538687376,-1873.9660538687376,-1873.9660538687376,-1873.9660538687376,-1873.9660538687376,-1873.9660538687376,-1874.0804336259928,-1874.0804336259928,-1874.0804336259928,-1874.0804336259928,-1874.0803886918295,-1874.0803722867217,-1874.0803722867217,-1874.0803722867217,-1885.975511790976,-1885.975511790976,-1885.975511790976,-1874.5331182535467,-1870.0991726859922,-1870.0991726859922,-1870.0991726859922,-1871.2819388428343,-1874.6340089116097,-1886.8085291203934,-1886.8085291203934,-1880.540204478648,-1880.540204478648,-1880.540204478648,-1876.690038822347,-1876.690038822347,-1876.690005518474,-1972.9558657056884,-1972.9558657056884,-1972.9558657056884,-1986.9668614140203,-1992.047445914008,-1995.5823798132146,-2001.5005433962817,-2007.7689707940867,-2007.7689707940867,-2007.7689707940867,-2007.7689707940867,-2007.7689707940867	0.9960817657423182	-1181.9236010281716	13	true	319
30	15	15	100	69800	697356	5578848	0	0	-1773.957660983902	-1186.0706003946123	-98.13381979585898	7.2615014887436775	-1488.0073586843446,-1488.0073586843446,-1488.0074292988534,-1488.007436416294,-1488.0074386177955,-1488.0074386177955,-1486.0705262480994,-1486.0705964182582,-1186.0706003946123,-1486.070620478992,-1486.070621424157,-1486.0706085048166,-1486.0706085048166,-1486.0706789806256,-1486.0706789806256,-1486.0706789806256,-1486.0706789806256,-1486.0706789806256,-1486.0706789806256,-1486.0706789806256,-1486.0706789806256,-1486.0706773133825,-1486.0706773133825,-1486.0706773133825,-1486.0706773133825,-1486.0706784692695,-1486.0706784692695,-1486.0706784692695,-1486.0706784692695,-1486.0706784692695,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716990728,-1486.070716045563,-1486.070716045563,-1486.070828950834,-1676.24070400804,-1773.3151211669128,-1773.3151211669128,-1773.3151211669128,-1773.3151211669128,-1773.3151211669128,-1773.3151211669128,-1773.3151211669128,-1773.3151211669128,-1773.3151211669128,-1773.3151211669128,-1773.3151228969723,-1773.3151228969723,-1773.3151050758997,-1773.3151050758997,-1773.3151050758997,-1773.3151050758997,-1773.3151050758997,-1773.3151080612836,-1773.3151080612836,-1773.4268886310294,-1773.4268886310294,-1773.4268886310294,-1773.4268886310294,-1773.4268886310294,-1773.426850565694,-1773.426850565694,-1773.426850565694,-1775.8531998569351,-1785.3208052506393,-1785.3208052506393,-1779.4083663371507,-1773.8790953762207,-1791.5885491973297,-1791.5885491973297,-1785.7358733619826,-1786.4972069373343,-1786.4972069373343,-1770.7755773004355,-1770.7755773004355,-1768.3477299621572,-1770.750165671265,-1770.750165671265,-1766.3038319915097,-1767.3242369816771,-1768.3717183512158,-1768.3717183512158,-1768.3717183512158,-1773.957660983902,-1773.957660983902,-1773.957660983902,-1773.957660983902,-1773.957660983902,-1773.957660983902,-1773.957660983902	0.9959128826372083	-1186.0706003946123	14	true	302
31	15	14	100	68000	669636	5357088	0	0	-1583.3354217446424	-994.1854950928863	44.5431597322822	-44.661345103300626	-1487.872463682554,-1487.872463682554,-1587.8725449216054,-1587.8726697045547,-1587.8746590670387,-1587.8746590670387,-1587.8746645710987,-1587.8747218895114,-1594.1854303769712,-1594.1854360040463,-1594.1854489232435,-1594.1854479983974,-1594.1854479983974,-994.1854950928863,-994.1854950928863,-994.1856254380067,-994.1856254380067,-994.1856254380067,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.18564522243,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1594.1856734844416,-1691.6646564089265,-1889.0784337413725,-1889.0784337413725,-1889.078450485391,-1889.078450485391,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1889.0784404051783,-1789.078434880253,-1789.0784005961216,-1789.0784005961216,-1789.192813769527,-1789.1927725666117,-1789.1927725666117,-1794.7716256423212,-1794.7716256423212,-1794.7716256423212,-1794.7716256423212,-1794.7716256423212,-1780.2465391624887,-1778.9200586199638,-1778.9200586199638,-1778.9200586199638,-1778.9200487147311,-1778.9200487147311,-1778.9200487147311,-1776.4454831867695,-1778.173365745102,-2185.4121966034313,-2185.4121966034313,-2285.42120640153,-2285.42120640153,-2385.8135364000664,-2385.358462738809,-2385.358462738809,-2385.358462738809,-2283.344497175345,-2283.3444306507017,-2283.3444306507017,-1683.3444352281092,-1683.3444352281092,-1683.3444352281092,-1583.3354217446424,-1583.3354217446424	0.9957118678763863	-994.1854950928863	16	true	355
32	16	16	100	83800	709632	5677056	0	0	-2077.4825667644	-1663.7491357324454	-89.21821210259706	-88.43369681117325	-1678.9817552736706,-1678.9817552736706,-1678.981819461113,-1678.9819416354235,-1668.347351087662,-1663.7491357324454,-1663.7491357324454,-1663.7491357324454,-1673.5758653367418,-1673.5758653367418,-1673.5758653367418,-1673.5759130401236,-1673.5759130401236,-1673.5759484356422,-1673.5759530893233,-1673.5759530893233,-1673.5759530893233,-1673.5760998068145,-1673.5760998068145,-1673.5761352150287,-1673.5761339929438,-1673.5761339929438,-1673.5761339929438,-1673.5761339929438,-1673.5761339929438,-1673.5761339929438,-1673.5761339929438,-1673.5761311302306,-1673.5761311302306,-1673.5761311302306,-1673.5761311302306,-1673.5761311302306,-1673.5761311302306,-1673.5761311302306,-1673.5761311302306,-1673.5761311302306,-1872.4576943511884,-1872.4576943511884,-1872.4576943511884,-1872.4576943511884,-1976.9471072488723,-1976.9471072488723,-1976.9471072488723,-1976.9471072488723,-1976.9471072488723,-1976.9471072488723,-1976.9471072488723,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2074.2092672722533,-2072.379594809195,-2071.795327263134,-2072.3806099309886,-2072.3806099309886,-2074.2162498468274,-2083.683188308192,-2089.95791759273,-2089.95791759273,-2089.9578743278516,-2081.533170460252,-2090.0724555530305,-2090.0724555530305,-2090.0724555530305,-2090.0724555530305,-2083.8114831033695,-2083.8114831033695,-2090.0724555530305,-2090.0724085058246,-2090.072399456379,-2090.072399456379,-2083.797669153089,-2074.33069464003,-2072.4950547241915,-2072.4949935006257,-2069.388293495102,-2064.260654532251,-2069.679469380474,-2072.278412477121,-2072.278407719325,-2068.9433247954585,-2077.482609888237,-2077.482609888237,-2077.4825675533234,-2077.4825667644,-2077.4825667644,-2077.4825667644,-2077.4825667644,-2077.4825667644,-2077.4825667644,-2077.4825667644,-2077.4825667644	0.9955252557007185	-1663.7491357324454	10	true	331
