# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ead80828-74dc-49da-bcd2-c21450e16080
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	480	2	16	0	0	1.6969283165757403	1.6969283165757403	1.6969283165757403	1.6969283165757403	1.6969283165757403	0.9991239280309399	1.6969283165757403	0	true	6
25	6	6	4	1924	8	64	0	0	1.9164682620877687	1.9164682620877687	1.9164682620877687	1.9164682620877687	1.9116571189011016,1.9116571189011016,1.9164682620877687,1.9164682620877687	0.9990443117099597	1.9164682620877687	0	true	5
26	6	6	1	481	2	16	0	0	2.110713004825294	2.110713004825294	2.110713004825294	2.110713004825294	2.110713004825294	0.9990443117099597	2.110713004825294	0	true	1
27	6	6	1	481	2	16	0	0	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295	2.2439078341090295	0.9990443117099597	2.2439078341090295	0	true	2
28	6	6	2	962	4	32	0	0	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284	2.405021444597284,2.405021444597284	0.9990443117099597	2.405021444597284	0	true	1
29	6	6	30	14430	60	480	0	0	2.545931671342405	2.545931671342405	2.545931671342405	2.545931671342405	2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.5459312009771193,2.545931671342405,2.545931671342405	0.9990443117099597	2.545931671342405	0	true	16
30	6	6	2	962	4	32	0	0	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246	2.6698602317609246,2.6698602317609246	0.99887542860485	2.6698602317609246	0	true	1
31	6	6	5	2405	10	80	0	0	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724368099423553	2.7724353830130632,2.7724353830130632,2.7724353830130632,2.7724368099423553,2.7724368099423553	0.99887542860485	2.7724368099423553	0	true	1
32	7	7	1	481	2	16	0	0	2.8576350855871278	2.8576350855871278	2.8576350855871278	2.8576350855871278	2.8576350855871278	0.9987036576717526	2.8576350855871278	0	true	3
33	7	7	1	481	2	16	0	0	2.921243821010684	2.921243821010684	2.921243821010684	2.921243821010684	2.921243821010684	0.9986204224270916	2.921243821010684	0	true	1
