# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0ad21dd7-ca41-49a4-9520-577f4decfff9
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	191600	96228	769824	0	0	2.949376319320298	2.949376319320298	2.949376319320298	2.949376319320298	-97.0504716012786,-97.0504780034962,-97.0504780034962,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298,2.949376319320298	0.9991239280309399	2.949376319320298	0	true	194
25	6	6	100	191800	97416	779328	0	0	2.9694095104350566	2.9694095104350566	2.9694095104350566	2.9694095104350566	2.954734494360167,2.9547327854080128,2.9547327854080128,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.954606632721364,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566,2.9694095104350566	0.9990443117099597	2.9694095104350566	0	true	82
26	6	6	100	192000	98208	785664	0	0	2.999070004356448	2.999070004356448	2.999070004356448	2.999070004356448	2.9813432415027847,2.9813432415027847,2.9813432415027847,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.981238617134138,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448,2.999070004356448	0.9990443117099597	2.999070004356448	0	true	63
27	6	6	100	192200	99000	792000	0	0	2.999353183538985	2.999353183538985	2.999353183538985	2.999353183538985	2.9807593831027916,2.9807593831027916,2.9807593831027916,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.980674505950506,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985,2.999353183538985	0.9990443117099597	2.999353183538985	0	true	59
28	6	6	100	192200	99000	792000	0	0	2.9995950411183623	2.9995950411183623	2.9995950411183623	2.9995950411183623	2.9812167881880387,2.9812167881880387,2.9812167881880387,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.981150064759152,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623,2.9995950411183623	0.9990443117099597	2.9995950411183623	0	true	78
29	6	6	100	192200	99000	792000	0	0	2.999339493842879	2.999339493842879	2.999339493842879	2.999339493842879	2.980935401745063,2.980935401745063,2.980935401745063,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.9808845610099346,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879,2.999339493842879	0.9990443117099597	2.999339493842879	0	true	90
30	6	6	100	192200	99000	792000	0	0	2.9996558612086597	2.9996558612086597	2.9996558612086597	2.9996558612086597	2.98097570850169,2.98097570850169,2.98097570850169,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9809393283713614,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597,2.9996558612086597	0.99887542860485	2.9996558612086597	0	true	55
31	6	6	100	192200	99000	792000	0	0	2.99923399994798	2.99923399994798	2.99923399994798	2.99923399994798	2.9807272764678174,2.9807272764678174,2.9807272764678174,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.980702672954691,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798,2.99923399994798	0.99887542860485	2.99923399994798	0	true	69
32	6	6	100	192200	99000	792000	0	0	2.9994674764533187	2.9994674764533187	2.9994674764533187	2.9994674764533187	2.9812491482076258,2.981248060559895,2.981248060559895,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9812310639728845,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187,2.9994674764533187	0.9988428582917216	2.9994674764533187	0	true	70
33	7	7	100	192200	99000	792000	0	0	2.999260745103202	2.999260745103202	2.999260745103202	2.999260745103202	2.9806300392712255,2.9806289658395375,2.9806289658395375,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.980610375624502,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202,2.999260745103202	0.9987036576717526	2.999260745103202	0	true	75
