# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 5b9070ce-df88-47b5-bba9-151d2eaa4951
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	482	2	16	0	0	1.6969280314128314	1.6969280314128314	1.6969280314128314	1.6969280314128314	1.6969280314128314	0.9991239280309399	1.6969280314128314	0	true	6
25	6	6	2	966	4	32	0	0	1.9168257674991545	1.9168257674991545	1.9168257674991545	1.9168257674991545	1.9168257674991545,1.9168257674991545	0.9990443117099597	1.9168257674991545	0	true	8
26	6	6	1	483	2	16	0	0	2.110712607203888	2.110712607203888	2.110712607203888	2.110712607203888	2.110712607203888	0.9990443117099597	2.110712607203888	0	true	2
27	6	6	1	483	2	16	0	0	2.2440136578837047	2.2440136578837047	2.2440136578837047	2.2440136578837047	2.2440136578837047	0.9990443117099597	2.2440136578837047	0	true	1
28	6	6	5	2415	10	80	0	0	2.405242047790209	2.405242047790209	2.405242047790209	2.405242047790209	2.405240949573988,2.405240949573988,2.405240949573988,2.405242047790209,2.405242047790209	0.9990443117099597	2.405242047790209	0	true	1
29	6	6	23	11109	46	368	0	0	2.5456432357119865	2.5456432357119865	2.5456432357119865	2.5456432357119865	2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456417419946202,2.5456432357119865,2.5456432357119865	0.9990443117099597	2.5456432357119865	0	true	4
30	6	6	12	5796	24	192	0	0	2.6698601489192897	2.6698601489192897	2.6698601489192897	2.6698601489192897	2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.669859106028028,2.6698601489192897,2.6698601489192897	0.99887542860485	2.6698601489192897	0	true	4
31	6	6	5	2415	10	80	0	0	2.772394309809611	2.772394309809611	2.772394309809611	2.772394309809611	2.7723928516393945,2.7723928516393945,2.7723928516393945,2.772394309809611,2.772394309809611	0.99887542860485	2.772394309809611	0	true	1
32	7	7	27	13041	54	432	0	0	2.857288718220247	2.857288718220247	2.857288718220247	2.857288718220247	2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.8572884370372074,2.857288718220247,2.857288718220247	0.9987036576717526	2.857288718220247	0	true	2
33	7	7	1	483	2	16	0	0	2.9213486673081035	2.9213486673081035	2.9213486673081035	2.9213486673081035	2.9213486673081035	0.9986204224270916	2.9213486673081035	0	true	1
34	8	8	1	483	2	16	0	0	2.9651224656740856	2.9651224656740856	2.9651224656740856	2.9651224656740856	2.9651224656740856	0.9984128643598162	2.9651224656740856	0	true	1
35	9	9	1	484	2	16	0	0	2.999880338358926	2.999880338358926	2.999880338358926	2.999880338358926	2.999880338358926	0.998144332911735	2.999880338358926	0	true	0
36	10	10	7	3388	14	112	0	0	2.99990797885084	2.99990797885084	2.99990797885084	2.99990797885084	2.9993978360428333,2.9993978360428333,2.9993978900883858,2.9993978900883858,2.9993978900883858,2.99990797885084,2.99990797885084	0.9981368757356651	2.99990797885084	0	true	1
37	11	11	12	5820	24	192	0	0	2.9995324023624232	2.9995324023624232	2.9995324023624232	2.9995324023624232	2.9995322907907176,2.9995322907907176,2.9995322907907176,2.9995322907907176,2.9995322907907176,2.9995322907907176,2.9995322907907176,2.9995322907907176,2.9995322907907176,2.9995322907907176,2.9995324023624232,2.9995324023624232	0.9979193747669632	2.9995324023624232	0	true	1
38	11	11	41	19926	82	656	0	0	2.9997212166095024	2.9997212166095024	2.9997212166095024	2.9997212166095024	2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997211070791128,2.9997212166095024,2.9997212166095024	0.9975972905593614	2.9997212166095024	0	true	3
39	12	12	4	1944	8	64	0	0	2.9990322898477237	2.9990322898477237	2.9990322898477237	2.9990322898477237	2.9990310337128685,2.9990310337128685,2.9990322898477237,2.9990322898477237	0.9975264473866985	2.9990322898477237	0	true	1
40	12	12	5	2425	10	80	0	0	2.999873469045462	2.999873469045462	2.999873469045462	2.999873469045462	2.999872962532195,2.999872962532195,2.999872962532195,2.999873469045462,2.999873469045462	0.9975264473866985	2.999873469045462	0	true	1
41	13	13	1	485	2	16	0	0	2.999413856313556	2.999413856313556	2.999413856313556	2.999413856313556	2.999413856313556	0.9974928900943846	2.999413856313556	0	true	0
42	15	15	8	3880	16	128	0	0	2.9990088124856946	2.9990088124856946	2.9990088124856946	2.9990088124856946	2.9990070227428474,2.9990070227428474,2.9990070227428474,2.9990070227428474,2.9990070227428474,2.9990070227428474,2.9990088124856946,2.9990088124856946	0.9973089464179967	2.9990088124856946	0	true	1
43	15	15	1	484	2	16	0	0	2.999281060418749	2.999281060418749	2.999281060418749	2.999281060418749	2.999281060418749	0.9972257111733355	2.999281060418749	0	true	0
