# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 0668fad0-2c33-4f53-8211-663cd1b9e8b9
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	1	0	0	0	0	0	2.141994667805502	2.141994667805502	45.19448122507911	45.19448122507911	2.141994667805502	0.9975653416775723	2.141994667805502	11	true	5
25	9	9	1	0	0	0	0	0	3.0560043584324283	3.0560043584324283	46.06943664464374	46.06943664464374	3.0560043584324283	0.9975653416775723	3.0560043584324283	11	true	2
26	9	9	1	0	0	0	0	0	0.6514039492637309	0.6514039492637309	44.755864794915354	44.755864794915354	0.6514039492637309	0.9975653416775723	0.6514039492637309	11	true	1
27	9	9	1	0	0	0	0	0	9.338863825372728	9.338863825372728	45.267760528531745	45.267760528531745	9.338863825372728	0.9975653416775723	9.338863825372728	11	true	1
28	10	10	1	0	0	0	0	0	9.239352121880366	9.239352121880366	43.63700005048612	43.63700005048612	9.239352121880366	0.9970015206790418	9.239352121880366	10	true	1
29	12	12	1	0	0	0	0	0	10.083687624248938	10.083687624248938	49.41087670566727	49.41087670566727	10.083687624248938	0.9966696763439367	10.083687624248938	10	true	1
30	13	13	1	0	0	0	0	0	36.741134269503036	36.741134269503036	49.76517920682332	49.76517920682332	36.741134269503036	0.9965839188191344	36.741134269503036	6	true	2
31	13	13	1	0	0	0	0	0	37.72451864129577	37.72451864129577	50.17752734949186	50.17752734949186	37.72451864129577	0.9964077978666628	37.72451864129577	6	true	1
32	13	13	1	0	0	0	0	0	4.326122112701704	4.326122112701704	43.13455530295419	43.13455530295419	4.326122112701704	0.9955863021910939	4.326122112701704	11	true	2
33	14	14	1	0	0	0	0	0	12.366466271645558	12.366466271645558	43.40600329213224	43.40600329213224	12.366466271645558	0.99540882871159	12.366466271645558	11	true	1
34	15	15	1	0	0	0	0	0	13.267485953810862	13.267485953810862	43.420702589832075	43.420702589832075	13.267485953810862	0.9953466855776751	13.267485953810862	11	true	2
35	17	17	1	0	0	0	0	0	28.42306405731284	28.42306405731284	46.10456227168995	46.10456227168995	28.42306405731284	0.9952186707218108	28.42306405731284	9	true	1
36	17	16	1	0	0	0	0	0	-31.882331646535327	-31.882331646535327	38.78577096952912	38.78577096952912	-31.882331646535327	0.994762247680599	-31.882331646535327	15	true	1
37	19	17	1	0	0	0	0	0	0.20077390702497766	0.20077390702497766	33.207876329861286	33.207876329861286	0.20077390702497766	0.9945591492970514	0.20077390702497766	11	true	2
38	20	19	1	0	0	0	0	0	-0.3122718155325508	-0.3122718155325508	33.10050284511386	33.10050284511386	-0.3122718155325508	0.9943707459369359	-0.3122718155325508	11	true	1
39	21	20	1	0	0	0	0	0	-31.86572194952597	-31.86572194952597	38.87744468331847	38.87744468331847	-31.86572194952597	0.9943061170776643	-31.86572194952597	15	true	1
40	21	20	1	0	0	0	0	0	-3.8708536061980983	-3.8708536061980983	33.16755904433863	33.16755904433863	-3.8708536061980983	0.9943699417316734	-3.8708536061980983	11	true	2
41	21	20	1	0	0	0	0	0	-48.7309506326542	-48.7309506326542	35.945486116245384	35.945486116245384	-48.7309506326542	0.9941407432318816	-48.7309506326542	17	true	1
42	21	19	1	0	0	0	0	0	-59.11907402718408	-59.11907402718408	30.51824056519961	30.51824056519961	-59.11907402718408	0.9935580234096842	-59.11907402718408	16	true	1
43	24	24	1	0	0	0	0	0	-31.966750538091702	-31.966750538091702	35.581921776191976	35.581921776191976	-31.966750538091702	0.9929424773908655	-31.966750538091702	15	true	1
44	25	24	1	0	0	0	0	0	-48.73285915807682	-48.73285915807682	33.7134467270017	33.7134467270017	-48.73285915807682	0.992644044128936	-48.73285915807682	17	true	2
45	25	22	1	0	0	0	0	0	-48.77473917567883	-48.77473917567883	32.554219461130074	32.554219461130074	-48.77473917567883	0.9926036145371068	-48.77473917567883	17	true	2
46	27	23	1	0	0	0	0	0	-59.10421780721515	-59.10421780721515	28.333841111535143	28.333841111535143	-59.10421780721515	0.992117874558601	-59.10421780721515	16	true	2
47	27	24	1	0	0	0	0	0	-59.236722993842186	-59.236722993842186	29.816150599671722	29.816150599671722	-59.236722993842186	0.9920215527010331	-59.236722993842186	16	true	1
48	28	25	1	0	0	0	0	0	-24.578988547501417	-24.578988547501417	30.36365187828523	30.36365187828523	-24.578988547501417	0.9917704944400172	-24.578988547501417	14	true	3
49	28	25	1	0	0	0	0	0	-59.18232216247476	-59.18232216247476	29.124813574199838	29.124813574199838	-59.18232216247476	0.9916815932037345	-59.18232216247476	16	true	1
50	29	26	1	0	0	0	0	0	-31.797676004716877	-31.797676004716877	33.94166309159049	33.94166309159049	-31.797676004716877	0.9915691506861334	-31.797676004716877	15	true	1
51	29	25	1	0	0	0	0	0	-77.64680236287725	-77.64680236287725	24.681990943960432	24.681990943960432	-77.64680236287725	0.9906493957494097	-77.64680236287725	17	true	2
52	29	25	1	0	0	0	0	0	-78.628937797942	-78.628937797942	24.07764451281081	24.07764451281081	-78.628937797942	0.9905661605047485	-78.628937797942	17	true	1
53	29	25	1	0	0	0	0	0	-79.29956666635681	-79.29956666635681	23.290284070178867	23.290284070178867	-79.29956666635681	0.9904515612548528	-79.29956666635681	17	true	1
54	29	25	1	0	0	0	0	0	-78.4456221001756	-78.4456221001756	22.97627117015866	22.97627117015866	-78.4456221001756	0.9902537267602958	-78.4456221001756	17	true	2
55	29	25	1	0	0	0	0	0	-78.36308932887925	-78.36308932887925	21.600822322608728	21.600822322608728	-78.36308932887925	0.9900281471841852	-78.36308932887925	17	true	8
56	29	25	1	0	0	0	0	0	-78.20862869473348	-78.20862869473348	21.83937587642497	21.83937587642497	-78.20862869473348	0.9899774822526521	-78.20862869473348	17	true	1
57	30	26	1	0	0	0	0	0	-78.26953220709466	-78.26953220709466	21.730122214902927	21.730122214902927	-78.26953220709466	0.9899066390799893	-78.26953220709466	17	true	2
58	31	27	1	0	0	0	0	0	-78.27399585502872	-78.27399585502872	22.985583262109518	22.985583262109518	-78.27399585502872	0.9877273524831667	-78.27399585502872	17	true	2
