# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b57e2daa-6adf-455d-84ee-2a46e592284c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-97.05047783135569	-97.05047783135569	2.9493736380985185	2.9493736380985185	-97.05047783135569	0.9991239280309399	-97.05047783135569	0	true	5
25	6	6	1	0	0	0	0	0	-97.03046540845537	-97.03046540845537	2.954731713830935	2.954731713830935	-97.03046540845537	0.9990443117099597	-97.03046540845537	0	true	3
26	6	6	1	0	0	0	0	0	-97.00031527926018	-97.00031527926018	2.9815586496585675	2.9815586496585675	-97.00031527926018	0.9990443117099597	-97.00031527926018	0	true	3
27	6	6	1	0	0	0	0	0	-97.00032983707312	-97.00032983707312	2.9813848221245736	2.9813848221245736	-97.00032983707312	0.9990443117099597	-97.00032983707312	0	true	4
28	6	6	1	0	0	0	0	0	-97.00043825285732	-97.00043825285732	2.9809284971945122	2.9809284971945122	-97.00043825285732	0.9990443117099597	-97.00043825285732	0	true	3
29	6	6	1	0	0	0	0	0	-97.00030469076349	-97.00030469076349	2.981434561260825	2.981434561260825	-97.00030469076349	0.9990443117099597	-97.00030469076349	0	true	3
30	6	6	1	0	0	0	0	0	-97.00034395903482	-97.00034395903482	2.981537211714193	2.981537211714193	-97.00034395903482	0.99887542860485	-97.00034395903482	0	true	3
31	6	6	1	0	0	0	0	0	-97.00044815395266	-97.00044815395266	2.980888788880783	2.980888788880783	-97.00044815395266	0.99887542860485	-97.00044815395266	0	true	4
32	6	6	1	0	0	0	0	0	-97.000545146239	-97.000545146239	2.9814780844930464	2.9814780844930464	-97.000545146239	0.9988428582917216	-97.000545146239	0	true	11
33	7	7	1	0	0	0	0	0	-97.00046635105389	-97.00046635105389	2.981213931807045	2.981213931807045	-97.00046635105389	0.9987036576717526	-97.00046635105389	0	true	2
34	7	7	1	0	0	0	0	0	-97.0003733676375	-97.0003733676375	2.9851634288791344	2.9851634288791344	-97.0003733676375	0.9987036576717526	-97.0003733676375	0	true	2
35	8	8	1	0	0	0	0	0	-98.00071455709617	-98.00071455709617	2.9847002877605155	2.9847002877605155	-98.00071455709617	0.9983518909790103	-98.00071455709617	0	true	2
36	8	8	1	0	0	0	0	0	2.999176390487964	2.999176390487964	2.9994008868362365	2.9994008868362365	2.999176390487964	0.9983518909790103	2.999176390487964	0	true	13
37	10	10	1	0	0	0	0	0	2.999703427941384	2.999703427941384	2.999703427941384	2.999703427941384	2.999703427941384	0.9981269328342386	2.999703427941384	0	true	3
38	10	10	1	0	0	0	0	0	2.999922604198318	2.999922604198318	2.999922604198318	2.999922604198318	2.999922604198318	0.9978048486266367	2.999922604198318	0	true	2
